"NetC","Comune di Barletta","","","","","","",""
"Stat","Via Casardi - C. Sportivo","","","","","","",""
,NO2,NOX,O3
18/01/2012 18.00,"71,69556416","106,21506072","9,27574253"
18/01/2012 19.00,"65,31311696","96,5869744","10,79998238"
18/01/2012 20.00,"60,99540032","88,56779784","12,51593973"
18/01/2012 21.00,"59,76760952","87,42904888","12,32220129"
18/01/2012 22.00,"62,00048136","95,67779928","9,95618516"
18/01/2012 23.00,"49,9517648","70,39328184","15,98901927"
19/01/2012 0.00,"34,74040904","48,24939648","24,8502786"
19/01/2012 1.00,"23,03518328","33,59485336","33,20324385"
19/01/2012 2.00,"18,0493603","28,11515696","37,1252343"
19/01/2012 3.00,"14,58415093","24,25924568","40,1156595"
19/01/2012 4.00,"12,6239647","22,60496416","44,8301637"
19/01/2012 5.00,"13,41608718","23,43632088","44,75928135"
19/01/2012 6.00,"18,6077427","29,02305104","42,7456281"
19/01/2012 7.00,"29,491644","40,95261176","35,54900475"
19/01/2012 8.00,"46,41060696","62,48175088","25,90673085"
19/01/2012 9.00,"55,6829848","85,19047928","21,92734425"
19/01/2012 10.00,"57,83989288","100,52976696","27,9109278"
19/01/2012 11.00,"29,93897552","49,4043592","53,6718441"
