MANDURIA,,,,
,NO2,CO,O3,PM10
18/01/2011 19.00,"52,644281","1,464364","13,955506",
18/01/2011 20.00,"56,716993","1,677336","14,654911",
18/01/2011 21.00,"51,782483","1,542144","12,120679",
18/01/2011 22.00,"45,188015","1,455277","11,661635",
18/01/2011 23.00,"32,862116","0,908569","12,275728",
19/01/2011 0.00,"24,36884","0,805763","14,447728",
19/01/2011 1.00,"15,80289","0,737845","16,390204",
19/01/2011 2.00,,"0,539602","20,97184",
19/01/2011 3.00,"11,741842",,"24,151989",
19/01/2011 4.00,"12,495912","0,501667",,
19/01/2011 5.00,"11,902783","0,465481","21,786357",
19/01/2011 6.00,"19,956078","0,513108","20,610983",
19/01/2011 7.00,"31,60578","0,665578","17,078772",
19/01/2011 8.00,"48,898616","0,890804","10,388095",
19/01/2011 9.00,"61,271223","1,936064","13,585837",
19/01/2011 10.00,"46,57152","1,126137","21,455268",
19/01/2011 11.00,"30,898437","0,665318","40,594339",
19/01/2011 12.00,"27,411043","0,506761","52,014939",
19/01/2011 13.00,"45,229545","0,811439","39,378347",
19/01/2011 14.00,"39,232059","0,681554","48,123211",
19/01/2011 15.00,"25,342239","0,477916","55,464553",
19/01/2011 16.00,"29,539558","0,519714","50,129322",
19/01/2011 17.00,"36,903683","0,785057","41,674913",
19/01/2011 18.00,"47,55272","1,049362","28,602296",
19/01/2011 19.00,"50,327569","1,060071","24,894728",
19/01/2011 20.00,"44,631203","1,193799","26,395088",
19/01/2011 21.00,"47,657841","0,950393","20,646196",
19/01/2011 22.00,"43,400832","1,22735","21,973887",
19/01/2011 23.00,"30,867289","1,263276","20,56019",
20/01/2011 0.00,"17,876887","0,624643","22,554811",
20/01/2011 1.00,"13,452442","0,597311","22,369296",
20/01/2011 2.00,,"0,663029","20,858104",
20/01/2011 3.00,"9,334296",,"25,570414",
20/01/2011 4.00,"6,315447","0,389022",,
20/01/2011 5.00,"8,298594","0,269183","48,10697",
20/01/2011 6.00,"17,727636","0,329167","49,384568",
20/01/2011 7.00,"44,008233","0,587691","30,355202",
20/01/2011 8.00,"48,601412","0,809934","23,072075",
20/01/2011 9.00,"49,12964","1,042197","27,250882",
20/01/2011 10.00,"24,117049","0,543055","56,557311",
20/01/2011 11.00,"24,649179","0,456852","57,928356",
20/01/2011 12.00,"20,985289","0,503278","60,230368",
20/01/2011 13.00,"30,862088","0,489849","53,329123",
20/01/2011 14.00,"29,231955","0,592636","53,991282",
20/01/2011 15.00,"22,402559","0,466998","58,61693",
20/01/2011 16.00,"24,65956","0,549194","53,441501",
20/01/2011 17.00,"29,896472","0,658249","39,179965",
20/01/2011 18.00,"40,483213","0,801237","32,359957",
20/01/2011 19.00,"49,681234","1,199597","26,466168",
20/01/2011 20.00,"47,369721","1,06347","23,625249",
