,Provincia di TARANTO,,,,
,Paolo VI -CISI,,,,
Parm,SO2,NOX,NO,NO2,PM10
,,,,,,
,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,,
15/01/2006 13.00,"7,247752","12,75834","3,042655","8,098723",
15/01/2006 14.00,"5,421817","10,565156","2,447996","6,816425","41,514042"
15/01/2006 15.00,"3,456814","8,474433","1,956537","5,478317",
15/01/2006 16.00,"2,387622","9,024349","1,948924","6,040297","34,67643"
15/01/2006 17.00,"1,220902","9,636522","1,982759","6,600977",
15/01/2006 18.00,"1,024041","18,256216","2,178159","14,926819","30,76923"
15/01/2006 19.00,"0,821761","15,459938","1,962457","12,459567",
15/01/2006 20.00,"0,809119","13,82056","1,894787","10,922889","30,76923"
15/01/2006 21.00,"0,854271","21,283351","1,908321","18,370077",
15/01/2006 22.00,"0,809119","34,630507","2,78466","30,381869","30,76923"
15/01/2006 23.00,"0,832598","22,620527","1,890557","19,735435",
16/01/2006 0.00,"0,762161","9,895917","1,825425","7,101955","30,76923"
16/01/2006 1.00,,"16,506595","1,819501","13,726288",
16/01/2006 2.00,"1,569473",,,,"36,141621"
16/01/2006 3.00,"2,29732","7,588598","1,837266","4,774872",
16/01/2006 4.00,"1,838577","5,484906","1,879561","2,604828","32,722832"
16/01/2006 5.00,"1,556831","7,552283","2,124867","4,297254",
16/01/2006 6.00,"2,033633","10,954247","2,297429","7,436808","22,46641"
16/01/2006 7.00,"2,947504","20,655602","2,849793","16,297374",
16/01/2006 8.00,"2,795794","45,335738","7,23064","34,272886","21,48962"
16/01/2006 9.00,"3,655482","61,41302","12,212063","42,718153",
16/01/2006 10.00,"5,389309","51,10728","10,795202","34,579188","26,86202"
16/01/2006 11.00,"7,56562","46,282522","12,590161","26,997018",
16/01/2006 12.00,"6,592149","26,380456","7,016631","15,632866","36,630032"
16/01/2006 13.00,"3,231057","16,570147","4,85962","9,125339",
16/01/2006 14.00,"2,609768","23,127647","6,451577","13,244783","43,956032"
16/01/2006 15.00,"2,52669","18,625853","5,153989","10,747679",
16/01/2006 16.00,"2,497792","33,92754","9,675253","19,10597","29,79241"
16/01/2006 17.00,"2,561005","61,506402","10,401017","45,590339",
16/01/2006 18.00,"2,786763","111,33488","22,229895","77,303843","21,97802"
