,,lecce,,
,,GUAGNANO,,
Parm,SO2,NO2,NOX,PM10



19/03/2009 6.00,"0,4",,,
19/03/2009 7.00,"0,4",,,
19/03/2009 8.00,"0,4","4,5","2,7",
19/03/2009 9.00,"0,5","5,9","4,7",
19/03/2009 10.00,"0,7","5,9","6,0",
19/03/2009 11.00,"1,6","6,6","9,9",
19/03/2009 12.00,"2,0","6,9","14,6",
19/03/2009 13.00,"2,1","7,0","16,4",
19/03/2009 14.00,"2,6","7,3","16,5",
19/03/2009 15.00,"2,3","6,6","16,4",
19/03/2009 16.00,"2,5","9,5","21,2",
19/03/2009 17.00,"1,2","9,8","23,2",
19/03/2009 18.00,"1,3","9,1","24,8",
19/03/2009 19.00,"1,2","11,4","26,1",
19/03/2009 20.00,"1,1","9,1","20,0",
19/03/2009 21.00,"0,9","15,3","23,7",
19/03/2009 22.00,"1,2","11,4","17,2",
19/03/2009 23.00,"0,8","9,5","13,6",
20/03/2009 0.00,"0,6","6,3","9,0",
20/03/2009 1.00,"0,5","4,3","6,4","6,9"
20/03/2009 2.00,"0,6","3,5","6,2","6,9"
20/03/2009 3.00,"0,5","4,3","7,8","6,9"
20/03/2009 4.00,"0,6","4,8","9,2","6,9"
20/03/2009 5.00,"0,6","4,7","10,1","6,9"
20/03/2009 6.00,"0,6","4,8","10,5","6,9"
20/03/2009 7.00,"0,8","4,1","10,5","6,9"
20/03/2009 8.00,"0,6","5,5","12,9","6,9"
20/03/2009 9.00,"0,5","4,4","11,2","6,9"
20/03/2009 10.00,"0,7","5,5","11,4","6,9"
20/03/2009 11.00,"0,6","5,7","11,4","6,9"
20/03/2009 12.00,"0,5","5,6","11,5","6,9"
20/03/2009 13.00,"0,5","5,4","11,9","6,9"
20/03/2009 14.00,"0,6","6,6","14,7","6,9"
20/03/2009 15.00,"0,6","10,3","20,8","6,9"
20/03/2009 16.00,"0,8","11,3","23,0","6,9"
20/03/2009 17.00,"0,7","9,0","21,8","6,9"
20/03/2009 18.00,"0,6","8,3","21,2","6,9"
20/03/2009 19.00,"0,6","5,6","16,5","6,9"
20/03/2009 20.00,"0,4","5,7","14,0","6,9"
20/03/2009 21.00,"0,6","6,6","13,6","6,9"
20/03/2009 22.00,"0,3","4,7","10,7","6,9"
20/03/2009 23.00,"0,4","4,6","10,1","6,9"
21/03/2009 0.00,"0,3","3,3","8,0","6,9"
21/03/2009 1.00,,"3,2","7,2","5,9"
21/03/2009 2.00,"0,6",,,"5,9"
21/03/2009 3.00,"0,4","2,6","4,3","5,9"
21/03/2009 4.00,"0,5","2,7","3,3","5,9"
21/03/2009 5.00,"0,6","3,0","3,4","5,9"
21/03/2009 6.00,"0,5","2,8","2,9","5,9"
21/03/2009 7.00,"0,6","3,0","3,3","5,9"
21/03/2009 8.00,"0,5","3,3","4,1","5,9"
21/03/2009 9.00,"0,8","3,3","4,4","5,9"
21/03/2009 10.00,"0,6","3,9","6,3","5,9"
21/03/2009 11.00,"0,7","4,0","7,4","5,9"
21/03/2009 12.00,"0,9","4,1","7,8","5,9"
21/03/2009 13.00,"0,7","3,2","6,9","5,9"
21/03/2009 14.00,"0,8","3,8","7,6","5,9"
21/03/2009 15.00,"0,8","3,6","8,1","5,9"
21/03/2009 16.00,"0,7","3,8","8,3","5,9"
21/03/2009 17.00,"0,7","3,6","8,0","5,9"
21/03/2009 18.00,"0,7","4,2","8,8","5,9"
21/03/2009 19.00,"0,7","3,7","7,9","5,9"
21/03/2009 20.00,"0,7","3,8","6,9","5,9"
21/03/2009 21.00,"0,5","2,9","4,8","5,9"
21/03/2009 22.00,"0,7","3,0","4,1","5,9"
21/03/2009 23.00,"0,6","2,8","3,4","5,9"
22/03/2009 0.00,"0,6","2,7","2,9","5,9"
22/03/2009 1.00,"0,5","2,4","2,4","13,6"
22/03/2009 2.00,"0,5","2,0","1,9","13,6"
22/03/2009 3.00,"0,5","2,2","2,2","13,6"
22/03/2009 4.00,"0,6","2,6","2,6","13,6"
22/03/2009 5.00,"0,6","2,4","2,8","13,6"
22/03/2009 6.00,"0,6","2,8","3,6","13,6"
22/03/2009 7.00,"0,7","3,2","4,1","13,6"
22/03/2009 8.00,"0,7","3,2","4,0","13,6"
22/03/2009 9.00,"0,6","3,2","4,1","13,6"
22/03/2009 10.00,"0,8","3,2","5,2","13,6"
22/03/2009 11.00,"0,9","4,8","10,0","13,6"
22/03/2009 12.00,"1,2","4,9","13,1","13,6"
22/03/2009 13.00,"1,1","5,9","17,2","13,6"
22/03/2009 14.00,"1,2","6,6","19,9","13,6"
22/03/2009 15.00,"1,0","5,4","18,6","13,6"
22/03/2009 16.00,"1,1","5,9","18,6","13,6"
22/03/2009 17.00,"1,0","5,2","16,4","13,6"
22/03/2009 18.00,"1,0","5,6","15,9","13,6"
22/03/2009 19.00,"1,1","7,2","16,8","13,6"
22/03/2009 20.00,"1,1","7,2","16,1","13,6"
22/03/2009 21.00,"1,0","8,8","16,2","13,6"
22/03/2009 22.00,"0,7","9,1","14,6","13,6"
22/03/2009 23.00,"0,7","9,1","13,8","13,6"
23/03/2009 0.00,"0,7","5,5","9,4","13,6"
23/03/2009 1.00,,"3,5","7,2","27,4"
23/03/2009 2.00,"1,1",,,"27,4"
23/03/2009 3.00,"1,3","4,3","8,1","27,4"
23/03/2009 4.00,"1,1","3,7","7,1","27,4"
23/03/2009 5.00,"1,2","3,7","6,1","27,4"
23/03/2009 6.00,"1,0","3,6","5,5","27,4"
23/03/2009 7.00,"1,2","5,3","7,2","27,4"
23/03/2009 8.00,"1,2","7,6","10,2","27,4"
23/03/2009 9.00,"1,5","6,8","10,7","27,4"
23/03/2009 10.00,"1,5","4,7","10,6","27,4"
23/03/2009 11.00,"1,8","4,5","11,9","27,4"
23/03/2009 12.00,"1,5","4,9","14,5","27,4"
23/03/2009 13.00,"1,8","5,0","16,9","27,4"
23/03/2009 14.00,"2,2","4,6","17,3","27,4"
23/03/2009 15.00,"2,0","4,5","17,2","27,4"
23/03/2009 16.00,"2,0","6,3","19,2","27,4"
23/03/2009 17.00,"2,3","6,2","19,9","27,4"
23/03/2009 18.00,"1,8","5,5","20,3","27,4"
23/03/2009 19.00,"1,9","9,8","24,3","27,4"
23/03/2009 20.00,"1,7","8,6","20,3","27,4"
23/03/2009 21.00,"1,8","9,0","18,2","27,4"
23/03/2009 22.00,"2,3","17,8","25,8","27,4"
23/03/2009 23.00,"1,7","17,9","25,2","27,4"
24/03/2009 0.00,"1,7","10,5","14,8","27,4"
24/03/2009 1.00,"1,6","8,2","11,6","27,7"
24/03/2009 2.00,"1,4","7,4","9,5","27,7"
24/03/2009 3.00,"1,2","5,3","6,7","27,7"
24/03/2009 4.00,"1,1","4,5","5,3","27,7"
24/03/2009 5.00,"1,1","4,2","4,7","27,7"
24/03/2009 6.00,"1,2","3,3","3,2","27,7"
24/03/2009 7.00,"1,6","11,1","12,5","27,7"
24/03/2009 8.00,"1,6","12,9","15,6","27,7"
24/03/2009 9.00,"1,6","4,3","8,0","27,7"
24/03/2009 10.00,"1,8","4,7","12,7","27,7"
24/03/2009 11.00,"2,1","5,0","16,8","27,7"
24/03/2009 12.00,"2,1","15,2","33,9","27,7"
24/03/2009 13.00,"2,2","8,2","22,4","27,7"
24/03/2009 14.00,"1,8","6,2","19,0","27,7"
24/03/2009 15.00,"1,9","5,6","19,3","27,7"
24/03/2009 16.00,"1,7","6,2","20,5","27,7"
24/03/2009 17.00,"1,6","6,2","20,8","27,7"
24/03/2009 18.00,"1,7","7,2","23,2","27,7"
24/03/2009 19.00,"1,6","9,7","26,3","27,7"
24/03/2009 20.00,"1,9","9,5","26,5","27,7"
24/03/2009 21.00,"2,0","8,3","25,2","27,7"
24/03/2009 22.00,"1,8","8,3","25,9","27,7"
24/03/2009 23.00,"1,7","7,9","26,3","27,7"
25/03/2009 0.00,"1,8","5,6","24,1","27,7"
25/03/2009 1.00,,"5,3","23,6","10,5"
25/03/2009 2.00,"0,7",,,"10,5"
25/03/2009 3.00,"0,6","5,6","24,2","10,5"
25/03/2009 4.00,"0,6","5,8","23,7","10,5"
25/03/2009 5.00,"0,6","5,6","22,2","10,5"
25/03/2009 6.00,"0,6","4,8","19,5","10,5"
25/03/2009 7.00,"0,4","4,9","17,2","10,5"
25/03/2009 8.00,"0,4","6,1","16,8","10,5"
25/03/2009 9.00,"0,4","5,5","15,8","10,5"
25/03/2009 10.00,"1,0","5,3","16,8","10,5"
25/03/2009 11.00,"0,5","5,4","16,7","10,5"
25/03/2009 12.00,"0,7","6,5","19,1","10,5"
25/03/2009 13.00,"0,6","4,4","15,9","10,5"
25/03/2009 14.00,"0,4","4,3","16,4","10,5"
25/03/2009 15.00,"1,4","4,8","17,8","10,5"
25/03/2009 16.00,,,,"10,5"
25/03/2009 17.00,,,,"10,5"
25/03/2009 18.00,"1,6",,,"10,5"
25/03/2009 19.00,"1,8",,,"10,5"
25/03/2009 20.00,"1,6",,,"10,5"
25/03/2009 21.00,"1,7",,,"10,5"
25/03/2009 22.00,"1,4",,,"10,5"
25/03/2009 23.00,"1,4",,,"10,5"
26/03/2009 0.00,"1,5",,,"10,5"
26/03/2009 1.00,"1,7",,,"13,6"
26/03/2009 2.00,"1,2",,,"13,6"
26/03/2009 3.00,"1,4",,,"13,6"
26/03/2009 4.00,"1,3",,,"13,6"
26/03/2009 5.00,"1,2",,,"13,6"
26/03/2009 6.00,"1,2",,,"13,6"
26/03/2009 7.00,"2,1",,,"13,6"
26/03/2009 8.00,"1,9",,,"13,6"
26/03/2009 9.00,"1,9",,,"13,6"
26/03/2009 10.00,"5,6",,,"13,6"
26/03/2009 11.00,"2,4",,,"13,6"
26/03/2009 12.00,"2,2",,,"13,6"
26/03/2009 13.00,"2,2",,,"13,6"
26/03/2009 14.00,"1,9",,,"13,6"
26/03/2009 15.00,"1,9",,,"13,6"
26/03/2009 16.00,"1,8",,,"13,6"
26/03/2009 17.00,"2,0",,,"13,6"
26/03/2009 18.00,"2,2",,,"13,6"
26/03/2009 19.00,"1,8",,,"13,6"
26/03/2009 20.00,"1,9",,,"13,6"
26/03/2009 21.00,"1,7",,,"13,6"
26/03/2009 22.00,"2,0",,,"13,6"
26/03/2009 23.00,"2,0",,,"13,6"
27/03/2009 0.00,"1,6",,,"13,6"
27/03/2009 1.00,,,,"33,4"
27/03/2009 2.00,"0,3",,,"33,4"
27/03/2009 3.00,"0,4",,,"33,4"
27/03/2009 4.00,"0,4",,,"33,4"
27/03/2009 5.00,"0,3",,,"33,4"
27/03/2009 6.00,"0,3",,,"33,4"
27/03/2009 7.00,"1,1",,,"33,4"
27/03/2009 8.00,"0,6",,,"33,4"
27/03/2009 9.00,"0,7",,,"33,4"
27/03/2009 10.00,"1,1",,,"33,4"
27/03/2009 11.00,"1,1",,,"33,4"
27/03/2009 12.00,"1,0",,,"33,4"
27/03/2009 13.00,"0,8",,,"33,4"
27/03/2009 14.00,"1,1",,,"33,4"
27/03/2009 15.00,"0,7",,,"33,4"
27/03/2009 16.00,"0,7",,,"33,4"
27/03/2009 17.00,"0,7",,,"33,4"
27/03/2009 18.00,"1,0",,,"33,4"
27/03/2009 19.00,"1,2",,,"33,4"
27/03/2009 20.00,"1,5",,,"33,4"
27/03/2009 21.00,"1,3",,,"33,4"
27/03/2009 22.00,"1,3",,,"33,4"
27/03/2009 23.00,"1,0",,,"33,4"
28/03/2009 0.00,"0,8",,,"33,4"
28/03/2009 1.00,"0,6",,,"17,6"
28/03/2009 2.00,"0,6",,,"17,6"
28/03/2009 3.00,"0,5",,,"17,6"
28/03/2009 4.00,"0,4",,,"17,6"
28/03/2009 5.00,"0,3",,,"17,6"
28/03/2009 6.00,"0,4",,,"17,6"
28/03/2009 7.00,"0,4",,,"17,6"
28/03/2009 8.00,"0,6",,,"17,6"
28/03/2009 9.00,"0,6",,,"17,6"
28/03/2009 10.00,"0,6",,,"17,6"
28/03/2009 11.00,"0,5",,,"17,6"
28/03/2009 12.00,"0,6",,,"17,6"
28/03/2009 13.00,"0,5",,,"17,6"
28/03/2009 14.00,"0,7",,,"17,6"
28/03/2009 15.00,"0,7",,,"17,6"
28/03/2009 16.00,"0,5",,,"17,6"
28/03/2009 17.00,"0,6",,,"17,6"
28/03/2009 18.00,"0,5",,,"17,6"
28/03/2009 19.00,"0,8",,,"17,6"
28/03/2009 20.00,"0,8",,,"17,6"
28/03/2009 21.00,"0,6",,,"17,6"
28/03/2009 22.00,"0,6",,,"17,6"
28/03/2009 23.00,"0,6",,,"17,6"
29/03/2009 0.00,"0,6",,,"17,6"
29/03/2009 1.00,,,,"26,4"
29/03/2009 2.00,"0,4",,,"26,4"
29/03/2009 3.00,"0,6",,,"26,4"
29/03/2009 4.00,"0,5",,,"26,4"
29/03/2009 5.00,"0,4",,,"26,4"
29/03/2009 6.00,"0,4",,,"26,4"
29/03/2009 7.00,"0,6",,,"26,4"
29/03/2009 8.00,"0,5",,,"26,4"
29/03/2009 9.00,"0,5",,,"26,4"
29/03/2009 10.00,"0,7",,,"26,4"
29/03/2009 11.00,"0,6",,,"26,4"
29/03/2009 12.00,"0,5",,,"26,4"
29/03/2009 13.00,"0,6",,,"26,4"
29/03/2009 14.00,"0,5",,,"26,4"
29/03/2009 15.00,"0,5",,,"26,4"
29/03/2009 16.00,"0,5",,,"26,4"
29/03/2009 17.00,"0,6",,,"26,4"
29/03/2009 18.00,"0,6",,,"26,4"
29/03/2009 19.00,"0,3",,,"26,4"
29/03/2009 20.00,"0,5",,,"26,4"
29/03/2009 21.00,"0,5",,,"26,4"
29/03/2009 22.00,"0,4",,,"26,4"
29/03/2009 23.00,"0,3",,,"26,4"
30/03/2009 0.00,"0,3",,,"26,4"
30/03/2009 1.00,"0,3",,,"45,9"
30/03/2009 2.00,"0,3",,,"45,9"
30/03/2009 3.00,"0,2",,,"45,9"
30/03/2009 4.00,"0,2",,,"45,9"
30/03/2009 5.00,"0,3",,,"45,9"
30/03/2009 6.00,"0,3",,,"45,9"
30/03/2009 7.00,"0,3",,,"45,9"
30/03/2009 8.00,"0,4",,,"45,9"
30/03/2009 9.00,"0,3",,,"45,9"
30/03/2009 10.00,"0,4",,,"45,9"
30/03/2009 11.00,"0,4",,,"45,9"
30/03/2009 12.00,"0,3",,,"45,9"
30/03/2009 13.00,"0,3",,,"45,9"
30/03/2009 14.00,"0,3",,,"45,9"
30/03/2009 15.00,"0,3",,,"45,9"
30/03/2009 16.00,"0,2",,,"45,9"
30/03/2009 17.00,"0,2",,,"45,9"
30/03/2009 18.00,"0,2",,,"45,9"
30/03/2009 19.00,"0,3",,,"45,9"
30/03/2009 20.00,"0,7",,,"45,9"
30/03/2009 21.00,"0,5",,,"45,9"
30/03/2009 22.00,"0,3",,,"45,9"
30/03/2009 23.00,"0,3",,,"45,9"
31/03/2009 0.00,"0,2",,,"45,9"
31/03/2009 1.00,,,,"37,7"
31/03/2009 2.00,"0,7",,,"37,7"
31/03/2009 3.00,"0,8",,,"37,7"
31/03/2009 4.00,"0,6",,,"37,7"
31/03/2009 5.00,"0,6",,,"37,7"
31/03/2009 6.00,"1,5",,,"37,7"
31/03/2009 7.00,"1,0",,,"37,7"
31/03/2009 8.00,"1,4",,,"37,7"
31/03/2009 9.00,"1,1","10,1","19,2","37,7"
31/03/2009 10.00,"1,1","6,6","14,9","37,7"
31/03/2009 11.00,"0,9","7,3","15,1","37,7"
31/03/2009 12.00,"0,9","5,9","13,3","37,7"
31/03/2009 13.00,"0,9","7,7","15,4","37,7"
31/03/2009 14.00,"1,1","7,7","16,2","37,7"
31/03/2009 15.00,"1,2","8,9","16,9","37,7"
31/03/2009 16.00,"1,1","7,6","15,2","37,7"
31/03/2009 17.00,"1,4","8,7","16,1","37,7"
31/03/2009 18.00,"1,3","14,5","22,5","37,7"
31/03/2009 19.00,"1,4","14,6","22,8","37,7"
31/03/2009 20.00,"1,3","16,7","25,3","37,7"
31/03/2009 21.00,"1,4","13,9","22,8","37,7"
31/03/2009 22.00,"1,7","15,8","24,7","37,7"
31/03/2009 23.00,"1,3","13,2","21,8","37,7"
01/04/2009 0.00,"1,0","9,0","17,4","37,7"
01/04/2009 1.00,"1,0","6,6","15,1","37,9"
01/04/2009 2.00,"0,9","5,6","14,1","37,9"
01/04/2009 3.00,"1,0","6,0","14,7","37,9"
01/04/2009 4.00,"1,2","7,5","16,4","37,9"
01/04/2009 5.00,"0,9","7,4","16,6","37,9"
01/04/2009 6.00,"1,5","8,8","18,6","37,9"
01/04/2009 7.00,"1,3","16,7","35,2","37,9"
01/04/2009 8.00,"1,6","18,6","36,4","37,9"
01/04/2009 9.00,"2,0","22,7","40,3","37,9"
01/04/2009 10.00,"2,2","13,0","24,1","37,9"
01/04/2009 11.00,"1,6","7,8","15,7","37,9"
01/04/2009 12.00,"1,8","6,3","13,1","37,9"
01/04/2009 13.00,"1,7","6,0","13,2","37,9"
01/04/2009 14.00,"1,7","7,3","15,0","37,9"
01/04/2009 15.00,"1,4","6,9","13,4","37,9"
01/04/2009 16.00,"1,5","8,1","15,1","37,9"
01/04/2009 17.00,"1,5","8,8","16,1","37,9"
01/04/2009 18.00,"1,6","11,2","19,1","37,9"
01/04/2009 19.00,"1,8","12,2","20,0","37,9"
01/04/2009 20.00,"1,8","15,6","23,7","37,9"
01/04/2009 21.00,"1,7","10,3","18,7","37,9"
01/04/2009 22.00,"1,1","7,1","15,4","37,9"
01/04/2009 23.00,"1,0","5,7","14,0","37,9"
02/04/2009 0.00,"0,9","7,4","15,5","37,9"
02/04/2009 1.00,,"8,3","16,5","33,4"
02/04/2009 2.00,"1,2",,,"33,4"
02/04/2009 3.00,"1,2","6,4","14,7","33,4"
02/04/2009 4.00,"0,9","5,8","14,3","33,4"
02/04/2009 5.00,"1,2","5,7","14,7","33,4"
02/04/2009 6.00,"1,5","7,0","16,8","33,4"
02/04/2009 7.00,"1,4","8,7","21,7","33,4"
02/04/2009 8.00,"1,6","11,2","23,5","33,4"
02/04/2009 9.00,"1,6","11,6","21,8","33,4"
02/04/2009 10.00,"1,2","8,0","16,7","33,4"
02/04/2009 11.00,"1,3","9,4","18,0","33,4"
02/04/2009 12.00,"1,1","5,2","12,6","33,4"
02/04/2009 13.00,"0,9","4,6","11,6","33,4"
02/04/2009 14.00,"1,3","8,9","16,4","33,4"
02/04/2009 15.00,"1,3","6,3","13,8","33,4"
02/04/2009 16.00,"1,0","5,6","11,5","33,4"
02/04/2009 17.00,"1,0","5,2","11,9","33,4"
02/04/2009 18.00,"1,1","5,0","12,1","33,4"
02/04/2009 19.00,"0,8","6,4","14,4","33,4"
02/04/2009 20.00,"1,0","9,3","17,9","33,4"
02/04/2009 21.00,"1,0","10,2","19,3","33,4"
02/04/2009 22.00,"0,8","8,9","17,4","33,4"
02/04/2009 23.00,"1,0","7,5","16,0","33,4"
03/04/2009 0.00,"0,9","4,3","12,5","33,4"
03/04/2009 1.00,"0,7","4,2","12,2","16,6"
03/04/2009 2.00,"1,1","4,8","13,1","16,6"
03/04/2009 3.00,"0,8","5,0","13,5","16,6"
03/04/2009 4.00,"0,9","5,7","14,1","16,6"
03/04/2009 5.00,"0,9","6,5","14,6","16,6"
03/04/2009 6.00,"1,0","6,7","14,6","16,6"
03/04/2009 7.00,"1,4","7,4","15,7","16,6"
03/04/2009 8.00,"0,9","8,6","17,0","16,6"
03/04/2009 9.00,"1,0","10,0","18,3","16,6"
03/04/2009 10.00,"1,3","10,1","18,5","16,6"
03/04/2009 11.00,"1,0","7,1","15,2","16,6"
03/04/2009 12.00,"1,2","8,6","16,8","16,6"
03/04/2009 13.00,"1,3","7,2","14,5","16,6"
03/04/2009 14.00,"1,2","7,1","14,6","16,6"
03/04/2009 15.00,"1,0","6,4","13,9","16,6"
03/04/2009 16.00,"0,9","4,5","11,6","16,6"
03/04/2009 17.00,"1,1","4,6","11,6","16,6"
03/04/2009 18.00,"0,9","4,6","11,8","16,6"
03/04/2009 19.00,"0,8","4,9","12,3","16,6"
03/04/2009 20.00,"0,8","6,0","13,4","16,6"
03/04/2009 21.00,"0,8","5,4","12,9","16,6"
03/04/2009 22.00,"0,8","5,6","13,5","16,6"
03/04/2009 23.00,"0,6","5,1","13,0","16,6"
04/04/2009 0.00,"0,9","4,1","12,2","16,6"
04/04/2009 1.00,,"3,9","11,8","19,3"
04/04/2009 2.00,"0,7",,,"19,3"
04/04/2009 3.00,"1,0","3,0","10,4","19,3"
04/04/2009 4.00,"0,9","2,9","10,2","19,3"
04/04/2009 5.00,"0,6","3,2","10,4","19,3"
04/04/2009 6.00,"0,7","4,0","11,1","19,3"
04/04/2009 7.00,"0,7","5,2","12,7","19,3"
04/04/2009 8.00,"0,9","6,5","14,3","19,3"
04/04/2009 9.00,"1,1","8,7","17,1","19,3"
04/04/2009 10.00,"1,0","10,1","18,6","19,3"
04/04/2009 11.00,"1,2","7,0","14,5","19,3"
04/04/2009 12.00,"1,1","4,9","12,2","19,3"
04/04/2009 13.00,"0,8","6,0","13,5","19,3"
04/04/2009 14.00,"0,8","4,6","12,4","19,3"
04/04/2009 15.00,"0,6","4,7","11,6","19,3"
04/04/2009 16.00,"0,8","5,2","12,6","19,3"
04/04/2009 17.00,"1,0","6,3","14,0","19,3"
04/04/2009 18.00,"0,9","8,5","16,4","19,3"
04/04/2009 19.00,"0,7","8,1","16,2","19,3"
04/04/2009 20.00,"1,0","7,2","15,6","19,3"
04/04/2009 21.00,"1,2","7,4","16,1","19,3"
04/04/2009 22.00,"1,0","7,3","16,1","19,3"
04/04/2009 23.00,"0,8","5,7","14,1","19,3"
05/04/2009 0.00,"1,0","4,0","12,0","19,3"
05/04/2009 1.00,"0,6","4,4","12,5","20,9"
05/04/2009 2.00,"0,9","4,4","11,8","20,9"
05/04/2009 3.00,"0,9","4,0","10,6","20,9"
05/04/2009 4.00,"0,8","3,3","9,3","20,9"
05/04/2009 5.00,"0,6","2,9","8,2","20,9"
05/04/2009 6.00,"0,8","3,0","8,3","20,9"
05/04/2009 7.00,"0,9","3,3","8,7","20,9"
05/04/2009 8.00,"0,8","3,3","8,6","20,9"
05/04/2009 9.00,"0,9","3,5","9,4","20,9"
05/04/2009 10.00,"0,9","3,6","10,0","20,9"
05/04/2009 11.00,"1,0","3,2","9,6","20,9"
05/04/2009 12.00,"0,8","4,5","11,1","20,9"
05/04/2009 13.00,"0,7","3,7","10,0","20,9"
05/04/2009 14.00,"0,7","3,1","9,4","20,9"
05/04/2009 15.00,"0,9","3,2","9,5","20,9"
05/04/2009 16.00,"0,9","3,3","9,6","20,9"
05/04/2009 17.00,"0,9","3,8","10,4","20,9"
05/04/2009 18.00,"0,7","4,1","10,7","20,9"
05/04/2009 19.00,"1,0","3,8","10,7","20,9"
05/04/2009 20.00,"1,0","4,6","12,6","20,9"
05/04/2009 21.00,"0,9","6,2","15,4","20,9"
05/04/2009 22.00,"1,0","10,7","19,4","20,9"
05/04/2009 23.00,"1,0","10,7","19,3","20,9"
06/04/2009 0.00,"0,8","8,0","16,5","20,9"
06/04/2009 1.00,,"5,8","12,1","25,6"
06/04/2009 2.00,"0,6",,,"25,6"
06/04/2009 3.00,"0,8","4,4","8,2","25,6"
06/04/2009 4.00,"0,9","4,2","7,8","25,6"
06/04/2009 5.00,"0,7","3,7","6,7","25,6"
06/04/2009 6.00,"0,9","4,3","7,5","25,6"
06/04/2009 7.00,"0,9","4,0","7,5","25,6"
06/04/2009 8.00,"1,2","4,4","8,4","25,6"
06/04/2009 9.00,"1,1","4,4","9,4","25,6"
06/04/2009 10.00,"0,9","4,6","10,0","25,6"
06/04/2009 11.00,"0,9","4,3","10,2","25,6"
06/04/2009 12.00,"1,1","4,5","10,6","25,6"
06/04/2009 13.00,"0,9","4,6","11,0","25,6"
06/04/2009 14.00,"0,8","4,7","11,1","25,6"
06/04/2009 15.00,"1,2","4,7","11,3","25,6"
06/04/2009 16.00,"1,0","4,9","11,4","25,6"
06/04/2009 17.00,"1,0","4,6","11,4","25,6"
06/04/2009 18.00,"0,9","5,1","12,4","25,6"
06/04/2009 19.00,"0,8","5,1","12,6","25,6"
06/04/2009 20.00,"0,9","6,8","14,6","25,6"
06/04/2009 21.00,"1,0","12,0","20,8","25,6"
06/04/2009 22.00,"1,3","11,4","20,2","25,6"
06/04/2009 23.00,"1,1","8,4","17,4","25,6"
07/04/2009 0.00,"0,8","6,9","15,5","25,6"
07/04/2009 1.00,"0,9","6,2","14,1","33,7"
07/04/2009 2.00,"0,9","4,8","11,4","33,7"
07/04/2009 3.00,"0,9","4,0","9,5","33,7"
07/04/2009 4.00,"0,7","3,5","8,2","33,7"
07/04/2009 5.00,"0,7","3,5","7,3","33,7"
07/04/2009 6.00,"1,2","4,3","8,0","33,7"
07/04/2009 7.00,"1,8","9,3","20,8","33,7"
07/04/2009 8.00,"2,4","16,2","26,9","33,7"
07/04/2009 9.00,"2,0","13,0","19,4","33,7"
07/04/2009 10.00,"2,0","9,2","15,7","33,7"
07/04/2009 11.00,"1,2","6,5","13,9","33,7"
07/04/2009 12.00,"1,5","4,7","11,0","33,7"
07/04/2009 13.00,"1,6","4,9","10,5","33,7"
07/04/2009 14.00,"1,5","5,0","11,3","33,7"
07/04/2009 15.00,"1,4","7,0","13,9","33,7"
07/04/2009 16.00,"1,5","4,9","11,0","33,7"
07/04/2009 17.00,"1,3","6,2","12,8","33,7"
07/04/2009 18.00,"1,3","7,0","13,4","33,7"
07/04/2009 19.00,"0,9","8,2","15,2","33,7"
07/04/2009 20.00,"1,4","9,8","17,5","33,7"
07/04/2009 21.00,"1,2","15,7","25,0","33,7"
07/04/2009 22.00,"1,0","10,1","19,0","33,7"
07/04/2009 23.00,"0,9","8,4","17,2","33,7"
08/04/2009 0.00,"1,1","7,1","15,8","33,7"
08/04/2009 1.00,,"5,8","14,4","28,1"
08/04/2009 2.00,"0,7",,,"28,1"
08/04/2009 3.00,"0,9","6,8","14,3","28,1"
08/04/2009 4.00,"0,9","6,0","13,0","28,1"
08/04/2009 5.00,"0,7","5,8","12,2","28,1"
08/04/2009 6.00,"1,6","5,8","12,2","28,1"
08/04/2009 7.00,"1,2","7,9","17,4","28,1"
08/04/2009 8.00,"1,4","16,2","25,7","28,1"
08/04/2009 9.00,"1,2","9,9","17,2","28,1"
08/04/2009 10.00,"1,1","5,9","12,8","28,1"
08/04/2009 11.00,"1,2","4,9","11,4","28,1"
08/04/2009 12.00,"1,3","4,9","11,4","28,1"
08/04/2009 13.00,"1,1","4,6","11,1","28,1"
08/04/2009 14.00,"1,1","3,8","10,7","28,1"
08/04/2009 15.00,"0,9","4,2","11,2","28,1"
08/04/2009 16.00,"1,3","5,9","12,6","28,1"
08/04/2009 17.00,"1,1","5,1","12,1","28,1"
08/04/2009 18.00,"1,0","5,8","13,1","28,1"
08/04/2009 19.00,"0,6","8,7","16,5","28,1"
08/04/2009 20.00,"0,7","9,9","18,2","28,1"
08/04/2009 21.00,"0,9","8,4","19,0","28,1"
08/04/2009 22.00,"0,7","9,4","19,2","28,1"
08/04/2009 23.00,"0,8","9,1","19,3","28,1"
09/04/2009 0.00,"0,8","7,3","17,2","28,1"
09/04/2009 1.00,"0,9",,,"21,6"
09/04/2009 2.00,"0,6",,,"21,6"
09/04/2009 3.00,"0,5",,,"21,6"
09/04/2009 4.00,"0,9",,,"21,6"
09/04/2009 5.00,"0,5",,,"21,6"
09/04/2009 6.00,"0,9",,,"21,6"
09/04/2009 7.00,"0,9",,,"21,6"
09/04/2009 8.00,"0,8",,,"21,6"
09/04/2009 9.00,"0,9",,,"21,6"
09/04/2009 10.00,"1,0",,,"21,6"
09/04/2009 11.00,"1,6",,,"21,6"
09/04/2009 12.00,"1,8",,,"21,6"
09/04/2009 13.00,"0,8",,,"21,6"
09/04/2009 14.00,"0,3",,,"21,6"
