, Brindisi,,
,Via Dei Mille,,
Parm,SO2,NO2,PM10
,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
21/01/2008 1.00,"1,630756","30,459746",
21/01/2008 2.00,"1,481754","26,854249","27,35042"
21/01/2008 3.00,"1,456862","23,178678",
21/01/2008 4.00,"1,378841","22,698479","24,42001"
21/01/2008 5.00,"1,098077","21,007334",
21/01/2008 6.00,"1,197119","21,564128","22,46641"
21/01/2008 7.00,"1,616595","23,67836",
21/01/2008 8.00,"1,638936","26,875032","20,51281"
21/01/2008 9.00,"2,457569","30,97501",
21/01/2008 10.00,"1,898151","34,562325","26,86202"
21/01/2008 11.00,"1,637793","33,293006",
21/01/2008 12.00,"1,683532","29,630416","22,954821"
21/01/2008 13.00,"1,657144","32,285859",
21/01/2008 14.00,"1,75038","31,630425","21,001221"
21/01/2008 15.00,"1,651866","26,328621",
21/01/2008 16.00,"1,632515","26,584295","12,21001"
21/01/2008 17.00,"1,627238","25,564185",
21/01/2008 18.00,"1,62196","29,556421","25,88522"
21/01/2008 19.00,"1,709919","32,92311",
21/01/2008 20.00,"1,62196","30,53114","29,79241"
21/01/2008 21.00,"1,608942","27,656352",
21/01/2008 22.00,"1,626622","25,273447","25,39682"
21/01/2008 23.00,"1,651866","24,014509",
22/01/2008 0.00,"1,634274","25,318876","21,001221"
22/01/2008 1.00,,"26,814021",
22/01/2008 2.00,"1,696229",,"30,28083"
22/01/2008 3.00,"1,748581","36,05617",
22/01/2008 4.00,"1,722405","33,827733","31,746031"
22/01/2008 5.00,"1,844561","28,018448",
22/01/2008 6.00,"1,757307","27,052829","29,79241"
22/01/2008 7.00,"1,722405","26,950309",
22/01/2008 8.00,"2,083639","31,930247","28,327221"
22/01/2008 9.00,"3,851415","34,220976",
22/01/2008 10.00,"3,345339","36,449432","44,444431"
22/01/2008 11.00,"2,643812","32,647955",
22/01/2008 12.00,"2,390775","31,688837","27,35042"
22/01/2008 13.00,"2,67697","35,46825",
22/01/2008 14.00,"2,547833","36,139227","24,42001"
22/01/2008 15.00,"2,558303","35,028261",
22/01/2008 16.00,"2,788656","31,225501","23,44322"
22/01/2008 17.00,"2,865439","32,261195",
22/01/2008 18.00,"2,996321","36,463713","31,25762"
22/01/2008 19.00,"3,060889","41,056874",
22/01/2008 20.00,"3,381987","38,907591","32,722832"
22/01/2008 21.00,"3,066125","39,490351",
22/01/2008 22.00,"3,027733","37,67462","24,908421"
22/01/2008 23.00,"2,785165","32,63239",
23/01/2008 0.00,"2,685694","28,868561","27,35042"
23/01/2008 1.00,"1,825365","29,038576",
23/01/2008 2.00,"1,917855","28,971082","11,72161"
23/01/2008 3.00,"2,00511","27,338368",
