Stat,MONOPOLI,,,,,
,,,,,,,
Parm,NO2,NOX,CO,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,
,,,,,,,
,,,,,,,
18/01/2014 2.00,"12,9","30,4","1,1","19,3","2,2",
18/01/2014 3.00,,,"1,1",,"1,9",
18/01/2014 4.00,"25,3","41,6",,"12,5","2,0",
18/01/2014 5.00,"19,1","36,0","1,0",,"2,0","10,3"
18/01/2014 6.00,"15,7","33,0","1,0","10,5","2,0",
18/01/2014 7.00,"19,9","39,5","1,0",,"2,0",
18/01/2014 8.00,"30,2","56,3","1,1","14,7","2,1",
18/01/2014 9.00,"51,6","92,4","1,4",,"2,3",
18/01/2014 10.00,"32,7","59,9","1,2","21,0","2,7",
18/01/2014 11.00,"29,9","57,9","1,2",,"2,5",
18/01/2014 12.00,"29,7","58,9","1,2","19,8","2,6",
18/01/2014 13.00,"32,2","62,6","1,3",,"2,5",
18/01/2014 14.00,"36,9","70,5","1,2","13,2","2,6",
18/01/2014 15.00,"25,2","48,7","1,0",,"2,7",
18/01/2014 16.00,"23,5","46,9","1,0","13,7","2,4",
18/01/2014 17.00,"26,3","51,0","1,0",,"2,2",
18/01/2014 18.00,"38,9","72,0","1,1","15,9","2,4",
18/01/2014 19.00,"30,2","56,4","0,9",,"2,6",
18/01/2014 20.00,"24,7","49,8","0,9","18,6","2,6",
18/01/2014 21.00,"15,4","37,7","0,9",,"2,3",
18/01/2014 22.00,"11,0","32,0","0,9","23,0","2,0",
18/01/2014 23.00,"8,1","27,4","0,9",,"1,9",
19/01/2014 0.00,"8,7","28,2","0,9","23,0","2,0",
19/01/2014 1.00,"11,4","30,2","0,9",,"1,9",
19/01/2014 2.00,"11,3","30,3","0,9","19,8","2,0",
19/01/2014 3.00,"9,8","28,2","0,9",,"1,9",
19/01/2014 4.00,"7,3","24,8","0,9","20,5","1,7",
19/01/2014 5.00,"6,6","24,1","0,9",,"1,8","8,0"
19/01/2014 6.00,"7,2","24,3","0,8","15,6","1,8",
19/01/2014 7.00,"6,8","24,1","0,8",,"2,1",
19/01/2014 8.00,"6,6","24,8","0,9","20,5","2,5",
19/01/2014 9.00,"7,0","25,4","0,9",,"2,2",
19/01/2014 10.00,"8,9","28,3","1,0","20,5","2,8",
19/01/2014 11.00,"12,7","33,9","1,0",,"2,7",
19/01/2014 12.00,"20,0","44,7","1,0","19,0","2,7",
19/01/2014 13.00,"20,6","45,4","1,1",,"3,3",
19/01/2014 14.00,"20,5","44,5","1,1","16,8","2,8",
19/01/2014 15.00,"14,7","33,1","1,3",,"2,5",
19/01/2014 16.00,"15,7","34,3","1,3","12,0","2,6",
19/01/2014 17.00,"12,4","31,1","1,1",,"2,1",
19/01/2014 18.00,"13,4","33,3","1,1","13,2","2,0",
19/01/2014 19.00,"13,9","33,9","1,2",,"2,0",
19/01/2014 20.00,"11,3","31,5","1,2","8,8","1,8",
19/01/2014 21.00,"10,9","30,9","1,1",,"1,9",
19/01/2014 22.00,"11,1","31,3","1,1","22,2","1,9",
19/01/2014 23.00,"12,2","31,8","1,1",,"1,9",
20/01/2014 0.00,"13,9","32,7","1,1","29,3","1,4",
20/01/2014 1.00,"11,4","29,2","1,1",,"1,5",
20/01/2014 2.00,"10,8","28,2","1,1","27,4","1,8",
20/01/2014 3.00,,,"1,1",,"1,8",
20/01/2014 4.00,"28,7","46,0",,"29,3","1,7",
20/01/2014 5.00,"22,9","42,7","1,1",,"1,6","4,6"
20/01/2014 6.00,"28,0","48,1","1,2","24,7","1,7",
20/01/2014 7.00,"27,1","48,6","1,1",,"1,9",
20/01/2014 8.00,"33,6","61,9","1,2","26,9","2,1",
20/01/2014 9.00,"45,1","90,0","1,4",,"2,3",
20/01/2014 10.00,"45,4","87,1","1,4","42,2","3,3",
20/01/2014 11.00,"31,2","61,2","1,2",,"3,1",
20/01/2014 12.00,"39,0","74,9","1,2","53,2","2,9",
20/01/2014 13.00,"31,8","63,1","1,3",,"2,8",
20/01/2014 14.00,"40,1","76,6","1,4","46,9","2,6",
20/01/2014 15.00,"28,1","53,1","1,3",,"2,4",
20/01/2014 16.00,"34,1","64,1","1,0","48,1","1,9",
20/01/2014 17.00,"36,1","66,0","1,1",,"1,5",
20/01/2014 18.00,"67,7","129,2","1,1","55,2","2,0",
20/01/2014 19.00,"73,5","136,6","1,3",,"4,0",
20/01/2014 20.00,"45,0","77,4","1,1","54,2","3,6",
20/01/2014 21.00,"24,0","46,7","1,0",,"2,4",
20/01/2014 22.00,"21,8","42,9","0,9","52,0","2,1",
20/01/2014 23.00,"24,4","45,3","0,9",,"2,1",
21/01/2014 0.00,"19,6","38,7","0,9","34,7","1,9",
21/01/2014 1.00,"17,7","36,1","0,9",,"1,8",
21/01/2014 2.00,"11,9","29,3","0,9","26,9","2,0",
21/01/2014 3.00,"8,7","26,0","0,9",,"1,6",
21/01/2014 4.00,"6,4","24,0","1,0","15,6","1,3",
21/01/2014 5.00,"5,7","23,1","1,0",,"1,2","12,7"
21/01/2014 6.00,"5,5","23,4","1,0","10,5","1,0",
21/01/2014 7.00,"7,2","26,1","1,1",,"1,0",
21/01/2014 8.00,"10,8","31,7","1,1","7,6","1,0",
21/01/2014 9.00,"15,5","40,2","1,1",,"1,0",
21/01/2014 10.00,"14,6","39,4","1,0","8,3","1,1",
21/01/2014 11.00,"13,8","38,0","1,0",,"1,1",
21/01/2014 12.00,"21,4","48,5","1,0","7,6","1,4",
21/01/2014 13.00,"21,0","46,4","1,0",,"2,1",
21/01/2014 14.00,"26,4","54,7","1,1","5,9","2,1",
21/01/2014 15.00,"16,0","37,9","1,0",,"2,1",
21/01/2014 16.00,"16,6","39,9","1,0","5,4","1,9",
21/01/2014 17.00,"18,3","42,0","1,1",,"2,1",
21/01/2014 18.00,"19,7","44,2","1,0","4,6","2,1",
21/01/2014 19.00,"22,5","48,3","1,0",,"2,1",
21/01/2014 20.00,"26,5","54,0","1,3","4,4","2,1",
21/01/2014 21.00,"30,1","58,7","1,5",,"2,1",
21/01/2014 22.00,"21,5","47,4","1,4","10,7","2,0",
21/01/2014 23.00,"11,0","29,5","1,3",,"1,9",
22/01/2014 0.00,"13,6","31,2","1,3","8,3","1,5",
22/01/2014 1.00,"11,3","29,4","1,3",,"1,6",
22/01/2014 2.00,"11,0","28,0","1,3","6,3","1,4",
22/01/2014 3.00,,,"1,4",,"1,5",
22/01/2014 4.00,"24,3","40,9",,"11,0","1,6",
22/01/2014 5.00,"15,5","32,3","1,4",,"1,7","1,8"
22/01/2014 6.00,"15,2","33,6","1,4","7,3","1,7",
22/01/2014 7.00,"19,5","38,6","1,4",,"1,8",
22/01/2014 8.00,"42,4","72,9","1,4","4,9","2,0",
22/01/2014 9.00,"34,1","69,5","1,5",,"2,5",
22/01/2014 10.00,"30,6","66,4","1,4","12,9","2,8",
22/01/2014 11.00,"20,0","47,0","1,2",,"2,6",
22/01/2014 12.00,"13,4","36,9","1,2","17,3","2,3",
22/01/2014 13.00,"23,6","55,4","1,2",,"2,4",
22/01/2014 14.00,"21,9","50,8","1,2","13,2","2,7",
22/01/2014 15.00,"16,5","38,2","1,1",,"2,5",
22/01/2014 16.00,"28,6","53,0","1,2","8,8","2,4",
22/01/2014 17.00,"56,8","95,7","1,4",,"3,0",
22/01/2014 18.00,"74,4","153,1","1,5","12,5","3,5",
22/01/2014 19.00,"68,6","151,1","1,4",,"5,2",
22/01/2014 20.00,"43,4","74,7","1,3","13,4","3,7",
22/01/2014 21.00,"45,9","76,8","1,3",,"3,4",
22/01/2014 22.00,"34,7","60,8","1,2","24,2","3,4",
22/01/2014 23.00,"24,4","43,6","1,2",,"3,0",
23/01/2014 0.00,"17,1","35,5","1,2","23,4","2,8",
23/01/2014 1.00,"12,6","30,7","1,2",,"2,6",
23/01/2014 2.00,"12,3","29,9","1,2","15,4","2,6",
23/01/2014 3.00,"10,7","28,1","1,2",,"2,4",
23/01/2014 4.00,"8,7","26,3","1,2","10,5","2,3",
23/01/2014 5.00,"12,3","31,0","1,2",,"2,1","9,0"
23/01/2014 6.00,"14,7","32,8","1,3","14,2","2,1",
23/01/2014 7.00,"29,6","51,1","1,3",,"2,2",
23/01/2014 8.00,"44,5","80,1","1,5","13,7","2,3",
23/01/2014 9.00,"46,4","87,9","1,6",,"2,6",
23/01/2014 10.00,"49,6","90,4","1,6","14,7","2,7",
23/01/2014 11.00,"74,0","152,7","1,6",,"4,0",
23/01/2014 12.00,"50,0","78,7","1,4","22,2","3,8",
23/01/2014 13.00,"41,0","66,4","1,3",,"3,8",
23/01/2014 14.00,"72,2","134,9","1,5","17,8","4,1",
23/01/2014 15.00,"56,3","93,9","1,4",,"4,7",
23/01/2014 16.00,"68,9","123,5","1,6","23,0","4,7",
23/01/2014 17.00,"82,5","179,6","1,8",,"5,6",
23/01/2014 18.00,"90,5","186,2","1,8","29,8","5,8",
23/01/2014 19.00,"96,3","225,8","1,9",,"5,7",
23/01/2014 20.00,"86,1","176,6","1,8","30,3","6,9",
23/01/2014 21.00,"86,6","178,3","1,7",,"5,7",
23/01/2014 22.00,"82,1","162,7","1,8","40,5","5,3",
23/01/2014 23.00,"60,7","93,8","1,5",,"5,2",
24/01/2014 0.00,"56,9","85,8","1,4","33,9","4,3",
24/01/2014 1.00,"42,9","65,5","1,4",,"3,8",
24/01/2014 2.00,"22,8","40,7","1,3","22,0","3,2",
24/01/2014 3.00,,,"1,2",,"2,6",
24/01/2014 4.00,"40,4","59,0",,"16,8","2,3",
24/01/2014 5.00,"35,3","53,8","1,2",,"2,3","24,4"
24/01/2014 6.00,"39,3","60,9","1,3","12,5","2,2",
24/01/2014 7.00,"48,3","75,9","1,5",,"3,0",
24/01/2014 8.00,"64,4","117,7","1,3","12,7","2,9",
24/01/2014 9.00,"75,2","157,2","1,5",,"2,6",
24/01/2014 10.00,"72,0","132,5","1,5","24,4",,
24/01/2014 11.00,"74,7","145,6","1,5",,,
24/01/2014 12.00,"47,4","85,0","1,2","18,8",,
24/01/2014 13.00,"34,6","68,7","1,2",,,
24/01/2014 14.00,"23,2","50,5","1,2","14,9",,
24/01/2014 15.00,"18,5","41,6","1,2",,,
24/01/2014 16.00,"35,9","70,0","1,3","10,3",,
24/01/2014 17.00,"46,7","86,4","1,4",,,
24/01/2014 18.00,"24,6","49,9","1,4","19,8",,
24/01/2014 19.00,"30,1","60,9","1,4",,,
24/01/2014 20.00,"30,2","59,5","1,5","11,7",,
24/01/2014 21.00,"24,1","50,2","1,3",,,
24/01/2014 22.00,"25,3","51,2","1,2","14,4",,
24/01/2014 23.00,"14,8","35,2","1,3",,,
25/01/2014 0.00,"14,9","34,9","1,2","14,2",,
25/01/2014 1.00,"15,9","35,9","1,3",,,
25/01/2014 2.00,"18,5","37,2","1,2","13,4",,
25/01/2014 3.00,"15,8","34,2","1,2",,,
25/01/2014 4.00,"18,5","41,2","1,1","9,0",,
25/01/2014 5.00,"12,9","31,4","1,2",,,"10,7"
25/01/2014 6.00,"11,0","30,1","1,2","12,2",,
25/01/2014 7.00,"14,2","36,2","1,2",,,
25/01/2014 8.00,"11,9","35,0","1,2","8,3",,
25/01/2014 9.00,"16,3","46,1","1,4",,,
25/01/2014 10.00,"16,9","46,2","1,5","17,1",,
25/01/2014 11.00,"21,9","53,9","1,5",,,
25/01/2014 12.00,"17,8","46,5","1,5","14,4",,
25/01/2014 13.00,"18,8","49,6","1,4",,,
25/01/2014 14.00,"22,2","55,3","1,4","10,5",,
25/01/2014 15.00,"8,0","27,9","1,3",,,
25/01/2014 16.00,"6,1","25,3","1,3","7,6",,
25/01/2014 17.00,"5,0","24,2","1,2",,,
25/01/2014 18.00,"5,6","25,5","1,3","6,1",,
25/01/2014 19.00,"6,9","27,4","1,5",,,
25/01/2014 20.00,"6,9","27,5","1,5","7,6",,
25/01/2014 21.00,"7,0","27,5","1,4",,,
25/01/2014 22.00,"6,2","25,2","1,5","12,9",,
25/01/2014 23.00,"4,8","23,0","1,5",,,
26/01/2014 0.00,"3,7","22,1","1,5","8,3",,
26/01/2014 1.00,"3,0","21,2","1,4",,,
26/01/2014 2.00,"3,6","22,6","1,3","10,7",,
26/01/2014 3.00,,,"1,3",,,
26/01/2014 4.00,,,,"9,0",,
26/01/2014 5.00,,,"1,4",,,"5,4"
26/01/2014 6.00,,,"1,4","11,5",,
26/01/2014 7.00,,,"1,4",,,
26/01/2014 8.00,,,"1,4","12,2",,
26/01/2014 9.00,,,"1,3",,,
26/01/2014 10.00,,,"1,4","12,7",,
26/01/2014 11.00,,,"1,4",,,
26/01/2014 12.00,,,"1,4","15,6",,
26/01/2014 13.00,,,"1,5",,,
26/01/2014 14.00,,,"1,5","10,5",,
26/01/2014 15.00,,,"1,5",,,
26/01/2014 16.00,,,"1,5","6,8",,
26/01/2014 17.00,,,"1,5",,,
26/01/2014 18.00,,,"1,5","7,8",,
26/01/2014 19.00,,,"1,5",,,
26/01/2014 20.00,,,"1,4","6,1",,
26/01/2014 21.00,,,"1,5",,,
26/01/2014 22.00,,,"1,5","9,8",,
26/01/2014 23.00,,,"1,5",,,
27/01/2014 0.00,,,"1,5","17,1",,
27/01/2014 1.00,,,"1,5",,,
27/01/2014 2.00,,,"1,5","10,5",,
27/01/2014 3.00,,,"1,5",,,
27/01/2014 4.00,,,"1,5","11,2",,
27/01/2014 5.00,,,"1,5",,,"4,7"
27/01/2014 6.00,,,"1,5","7,8",,
27/01/2014 7.00,,,"1,5",,,
27/01/2014 8.00,,,"1,5","12,0",,
27/01/2014 9.00,,,"1,6",,,
27/01/2014 10.00,,,"1,7","13,4",,
27/01/2014 11.00,,,"1,6",,,
27/01/2014 12.00,,,"1,5","18,8",,
27/01/2014 13.00,,,"1,4",,,
27/01/2014 14.00,,,"1,5","11,2",,
27/01/2014 15.00,,,"1,5",,,
27/01/2014 16.00,,,,,,
27/01/2014 17.00,,,,,,
27/01/2014 18.00,"81,9","211,5","2,1","9,3","1,8",
27/01/2014 19.00,"83,7","187,7","2,3",,"4,1",
27/01/2014 20.00,"80,3","165,8","2,1","30,8","4,4",
27/01/2014 21.00,"65,6","120,2","2,0",,"4,6",
27/01/2014 22.00,"67,6","123,1","1,9","34,2","5,4",
27/01/2014 23.00,"43,3","69,3","1,7",,"5,0",
28/01/2014 0.00,"53,4","83,1","1,7","26,6","4,7",
28/01/2014 1.00,"45,1","74,8","1,8",,"4,5",
28/01/2014 2.00,"27,2","46,2","1,5","28,1","4,1",
28/01/2014 3.00,"16,8","35,2","1,4",,"3,3",
28/01/2014 4.00,"16,1","35,1",,"16,8","2,7",
28/01/2014 5.00,"12,6","31,4","1,5",,"2,2","14,6"
28/01/2014 6.00,"25,2","49,0","1,4","10,0","2,1",
28/01/2014 7.00,"42,6","73,0","1,5",,"2,4",
28/01/2014 8.00,"69,5","129,2","1,7","7,3","3,3",
28/01/2014 9.00,"55,9","107,1","1,8",,"3,9",
28/01/2014 10.00,"62,7","122,8","1,8","8,1","4,9",
28/01/2014 11.00,"29,7","57,5","1,5",,"4,2",
28/01/2014 12.00,"30,9","64,1","1,5","13,7","3,8",
28/01/2014 13.00,"31,4","66,8","1,6",,"3,6",
28/01/2014 14.00,"29,6","60,3","1,6","8,5","3,4",
28/01/2014 15.00,"30,3","58,2","1,5",,"3,8",
28/01/2014 16.00,"30,2","58,0","1,4","7,3","3,6",
28/01/2014 17.00,"32,4","60,7","1,5",,"4,1",
28/01/2014 18.00,"48,3","88,5","1,6","18,8","5,3",
28/01/2014 19.00,"57,7","109,4","1,7",,"5,8",
28/01/2014 20.00,"40,7","72,0","1,5","20,8","6,0",
28/01/2014 21.00,"28,8","59,1","1,5",,"5,3",
28/01/2014 22.00,"17,0","41,0","1,5","13,7","5,0",
28/01/2014 23.00,"12,0","32,8","1,4",,"3,7",
29/01/2014 0.00,"9,1","29,5","1,6","23,7","2,9",
29/01/2014 1.00,"9,7","30,0","1,4",,"2,5",
29/01/2014 2.00,"9,9","29,8","1,3","13,7","2,4",
29/01/2014 3.00,"8,3","27,5","1,3",,"2,1",
29/01/2014 4.00,"12,7","32,3","1,3","12,7","2,0",
29/01/2014 5.00,"20,6","42,1","1,4",,"2,0","13,5"
29/01/2014 6.00,"16,9","37,4","1,6","8,3","2,0",
29/01/2014 7.00,"27,7","51,6","1,6",,"2,1",
29/01/2014 8.00,"48,3","89,2","1,6","14,9","2,5",
29/01/2014 9.00,"60,9","124,6","1,8",,"2,4",
29/01/2014 10.00,"35,9","77,1","1,8","20,3","2,6",
29/01/2014 11.00,"22,5","51,8","1,6",,"2,0",
29/01/2014 12.00,"18,6","47,1","1,6","20,8","1,8",
29/01/2014 13.00,"20,5","46,6","1,5",,"2,0",
29/01/2014 14.00,"18,5","39,4","1,5","12,5","2,1",
29/01/2014 15.00,"30,5","54,6","1,5",,"2,4",
29/01/2014 16.00,"32,4","59,2","1,4","8,1","2,6",
29/01/2014 17.00,"65,7","122,0","1,6",,"3,1",
29/01/2014 18.00,"95,8","196,1","1,8","20,3","4,4",
29/01/2014 19.00,"100,5","210,7","2,0",,"5,6",
29/01/2014 20.00,"98,5","199,9","1,9","34,2","5,6",
29/01/2014 21.00,"101,5","249,1","2,2",,"5,5",
29/01/2014 22.00,"70,5","119,7","1,9","39,3","6,0",
29/01/2014 23.00,"50,0","80,5","1,6",,"4,2",
30/01/2014 0.00,"53,1","88,4","1,6","22,2","3,3",
30/01/2014 1.00,"45,6","71,3","1,4",,"3,2",
30/01/2014 2.00,"40,8","63,9","1,4","12,7","2,8",
30/01/2014 3.00,"19,0","39,0","1,2",,"2,4",
30/01/2014 4.00,"13,9","33,2",,"22,5","2,4",
30/01/2014 5.00,"9,8","29,3","1,1",,"2,3","20,0"
30/01/2014 6.00,"7,7","27,8","1,1","15,4","2,3",
30/01/2014 7.00,"16,3","38,0","1,1",,"2,5",
30/01/2014 8.00,"41,4","76,0","1,2","15,1","2,8",
30/01/2014 9.00,"39,7","76,2","1,2",,"3,2",
30/01/2014 10.00,"28,7","58,5","1,1","12,9","3,4",
30/01/2014 11.00,"32,6","66,9","1,0",,"3,1",
30/01/2014 12.00,"26,1","56,4","1,0","13,4","2,9",
30/01/2014 13.00,"21,1","50,7","1,0",,"2,5",
30/01/2014 14.00,"22,5","54,1","1,1","8,5","2,4",
30/01/2014 15.00,"18,4","45,9","1,1",,"2,5",
30/01/2014 16.00,"23,1","51,1","1,0","7,1","2,4",
30/01/2014 17.00,"23,2","53,7","1,1",,"2,4",
30/01/2014 18.00,"24,6","54,4","1,1","12,0","2,2",
30/01/2014 19.00,"30,8","63,7","1,1",,"2,1",
30/01/2014 20.00,"24,3","55,3","1,0","14,2","2,1",
30/01/2014 21.00,"20,7","48,8","1,0",,"2,2",
30/01/2014 22.00,"14,9","40,1","1,0","20,8","1,7",
30/01/2014 23.00,"10,5","33,2","0,9",,"1,4",
31/01/2014 0.00,"11,5","33,1","0,8","14,7","1,3",
31/01/2014 1.00,"11,0","32,3","0,8",,"1,2",
31/01/2014 2.00,"10,0","30,3","0,9","8,5","1,3",
31/01/2014 3.00,"8,5","28,4","1,0",,"1,8",
31/01/2014 4.00,"6,7","25,8","0,9","13,2","1,8",
31/01/2014 5.00,"5,6","24,9","0,8",,"1,9","7,8"
31/01/2014 6.00,"7,8","27,5","0,8","27,8","1,7",
31/01/2014 7.00,"9,6","29,9","0,8",,"1,7",
31/01/2014 8.00,"18,6","48,1","0,9","21,7","1,9",
31/01/2014 9.00,"32,2","68,3","1,0",,"2,0",
31/01/2014 10.00,"29,1","62,7","1,1","25,4","2,6",
31/01/2014 11.00,"27,1","60,4","1,4",,"2,1",
31/01/2014 12.00,"21,1","52,7","1,3","23,7","2,1",
31/01/2014 13.00,"22,1","55,0","1,3",,"2,1",
31/01/2014 14.00,"24,7","57,3","1,2","16,4","1,7",
31/01/2014 15.00,"17,8","45,4","1,0",,"1,6",
31/01/2014 16.00,"18,2","46,2","1,0","15,9","1,7",
31/01/2014 17.00,"24,1","55,1","1,1",,"2,5",
31/01/2014 18.00,"26,7","58,7","1,0","16,8","2,1",
31/01/2014 19.00,"27,1","58,5","1,1",,"2,4",
31/01/2014 20.00,"24,7","53,0","1,0","16,4","2,8",
31/01/2014 21.00,"21,8","49,3","1,0",,"3,0",
31/01/2014 22.00,"15,5","38,8","1,0","21,7","3,0",
31/01/2014 23.00,"15,0","37,4","0,9",,"2,8",
01/02/2014 0.00,"10,2","31,0","0,9","13,2","2,6",
01/02/2014 1.00,"9,2","30,4","0,9",,"2,7",
01/02/2014 2.00,"6,0","26,0","0,9","29,8","2,8",
01/02/2014 3.00,"8,0","28,7","0,9",,"2,8",
01/02/2014 4.00,"7,6","27,4",,"16,6","2,6",
01/02/2014 5.00,"8,4","28,0","0,9",,"2,6","8,2"
01/02/2014 6.00,"11,0","31,3","0,9","9,3","2,6",
01/02/2014 7.00,"9,8","31,3","0,9",,"2,6",
01/02/2014 8.00,"15,4","40,2","0,9","20,3","2,6",
01/02/2014 9.00,"20,6","52,0","1,1",,"2,7",
01/02/2014 10.00,"17,0","42,4","1,0","21,2","2,9",
01/02/2014 11.00,"23,5","54,5","1,0",,"2,7",
01/02/2014 12.00,"24,8","57,6","1,1","12,5","2,6",
01/02/2014 13.00,"17,9","45,2","1,1",,"3,0",
01/02/2014 14.00,"22,6","54,7","1,2","7,1","2,8",
01/02/2014 15.00,"12,3","34,1","1,1",,"3,1",
01/02/2014 16.00,"11,4","34,0","0,9","4,9","2,7",
01/02/2014 17.00,"15,2","39,2","1,1",,"2,6",
01/02/2014 18.00,"22,8","51,6","1,1","3,7","2,8",
01/02/2014 19.00,"21,1","48,2","1,1",,"3,1",
01/02/2014 20.00,"26,4","54,9","1,1","2,9","3,9",
01/02/2014 21.00,"28,1","57,7","1,2",,"3,5",
01/02/2014 22.00,"26,7","55,4","1,2","10,7","3,5",
01/02/2014 23.00,"22,7","46,7","1,2",,"3,1",
02/02/2014 0.00,"24,6","48,0","1,1","6,3","3,2",
02/02/2014 1.00,"26,3","50,6","1,2",,"3,0",
02/02/2014 2.00,"32,7","61,0","1,3","4,4","3,4",
02/02/2014 3.00,"38,1","62,4","1,2",,"3,0",
02/02/2014 4.00,"20,0","40,8","1,1","4,4","3,1",
02/02/2014 5.00,"16,8","37,6","1,1",,"3,0","7,4"
02/02/2014 6.00,"16,0","36,1","1,1","26,1","2,9",
02/02/2014 7.00,"25,2","47,5","1,1",,"2,9",
02/02/2014 8.00,"13,3","34,6","1,1","18,1","2,9",
02/02/2014 9.00,"18,6","41,9","1,1",,"2,9",
02/02/2014 10.00,"21,8","47,2","1,2","10,3","2,7",
02/02/2014 11.00,"20,7","49,0","1,2",,"2,7",
02/02/2014 12.00,"25,8","55,6","1,2","6,3","2,9",
02/02/2014 13.00,"21,2","49,2","1,2",,"3,2",
02/02/2014 14.00,"24,3","55,5","1,2","4,9","3,1",
02/02/2014 15.00,"10,3","32,4","1,2",,"2,9",
02/02/2014 16.00,"13,5","35,8","1,2","3,4","2,4",
02/02/2014 17.00,"17,2","41,1","1,3",,"2,5",
02/02/2014 18.00,"16,4","40,1","1,3","11,2","2,7",
02/02/2014 19.00,"22,4","48,9","1,3",,"3,1",
02/02/2014 20.00,"19,4","44,1","1,2","12,0","3,0",
02/02/2014 21.00,"21,7","47,8","1,2",,"3,0",
02/02/2014 22.00,"25,3","51,0","1,2","14,2","2,9",
02/02/2014 23.00,"19,2","41,9","1,2",,"2,9",
03/02/2014 0.00,"19,4","43,3","1,2","9,3","2,8",
03/02/2014 1.00,"13,1","33,8","1,1",,"2,8",
03/02/2014 2.00,"13,7","34,4","1,1","5,9","3,0",
03/02/2014 3.00,"11,9","32,2","1,1",,"2,6",
03/02/2014 4.00,"12,3","33,0",,"4,2","2,5",
03/02/2014 5.00,"13,7","34,5","1,1",,"2,3","0,8"
03/02/2014 6.00,"15,5","37,2","1,1","14,2","2,2",
03/02/2014 7.00,"16,8","39,6","1,1",,"2,2",
03/02/2014 8.00,"36,3","74,7","1,2","9,0","2,3",
03/02/2014 9.00,"66,1","150,7","1,5",,"2,8",
03/02/2014 10.00,"46,5","93,9","1,4","10,7","3,9",
03/02/2014 11.00,"50,1","101,8","1,3",,"3,6",
03/02/2014 12.00,"40,3","79,1","1,2","14,2","3,9",
03/02/2014 13.00,"37,3","76,8","1,1",,"3,5",
03/02/2014 14.00,"26,9","57,3","1,1","9,5","3,0",
03/02/2014 15.00,"24,0","51,2","1,2",,"2,7",
03/02/2014 16.00,"32,5","68,3","1,2","9,8","2,8",
03/02/2014 17.00,"32,2","64,3","1,2",,"2,9",
03/02/2014 18.00,"40,9","81,9","1,4","9,8","3,1",
03/02/2014 19.00,"65,1","141,5","1,5",,"3,3",
03/02/2014 20.00,"62,0","119,6","1,5","25,2","4,2",
03/02/2014 21.00,"48,1","88,0","1,3",,"4,4",
03/02/2014 22.00,"31,5","58,0","1,3","20,5","3,8",
03/02/2014 23.00,"24,3","50,3","1,3",,"2,9",
04/02/2014 0.00,"23,9","47,3","1,2","22,2","2,3",
04/02/2014 1.00,"24,8","46,9","1,2",,"2,0",
04/02/2014 2.00,"15,8","38,6","1,2","13,2","1,9",
04/02/2014 3.00,"10,8","31,8","1,1",,"2,0",
04/02/2014 4.00,"10,0","30,8","1,1","8,5","1,7",
04/02/2014 5.00,"11,4","32,4","1,1",,"1,4","6,4"
04/02/2014 6.00,"15,2","37,8","1,1","8,3","1,4",
04/02/2014 7.00,"18,0","43,5","1,1",,"1,7",
04/02/2014 8.00,"35,2","68,8","1,2","6,1","2,0",
04/02/2014 9.00,"43,5","86,8","1,3",,"2,4",
04/02/2014 10.00,"29,0","61,1","1,2","5,1","3,1",
04/02/2014 11.00,"24,0","54,3","1,1",,"2,6",
04/02/2014 12.00,"34,6","71,7","1,2","19,5","2,6",
04/02/2014 13.00,"26,9","42,9","1,3",,"2,6",
04/02/2014 14.00,"13,6","52,6","1,5",,"6,5",
04/02/2014 15.00,,"9,2","1,2",,"24,4",
04/02/2014 16.00,"4,3","5,2",,"19,5","19,8",
04/02/2014 17.00,"53,8","469,8","0,5",,"5,5",
04/02/2014 18.00,"67,4","102,6","0,8","19,5","8,2",
04/02/2014 19.00,"71,9","106,4","1,1",,"8,3",
04/02/2014 20.00,"62,0","86,8","0,8","2,7","7,7",
04/02/2014 21.00,"60,6","87,7","0,8",,"7,7",
04/02/2014 22.00,"44,4","49,8","0,7","6,3","6,5",
04/02/2014 23.00,"32,6","33,4","0,6",,"6,1",
05/02/2014 0.00,"22,2","21,8","0,4","22,5","5,8",
05/02/2014 1.00,"17,6","17,2","0,3",,"5,2","9,9"
05/02/2014 2.00,"15,2","14,7","0,3","13,4","4,3","9,9"
05/02/2014 3.00,"9,6","9,1","0,3",,"4,5","9,9"
05/02/2014 4.00,"13,8","15,2",,"8,5","4,5","9,9"
05/02/2014 5.00,"20,8","20,4","0,5",,"4,7","9,9"
05/02/2014 6.00,"20,2","19,7","0,5","6,3","4,5","9,9"
05/02/2014 7.00,"41,6","49,7","0,7",,"5,0","9,9"
05/02/2014 8.00,"67,7","143,8","1,0","9,8","7,5","9,9"
05/02/2014 9.00,"47,2","66,4","0,7",,"6,8","9,9"
05/02/2014 10.00,"47,0","65,0","0,6","14,4","6,1","9,9"
05/02/2014 11.00,"28,7","30,6","0,4",,"6,4","9,9"
05/02/2014 12.00,"21,0","21,9","0,5","23,4","6,0","9,9"
05/02/2014 13.00,"19,6","20,7","0,5",,"5,3","9,9"
05/02/2014 14.00,"22,9","26,1","0,6","14,7","5,4","9,9"
05/02/2014 15.00,"22,9","23,5","0,6",,"4,9","9,9"
