Stat,Francavilla Fontana,,,,,,  ,
,,,,,,,,,,,,,,,,,,,
Parm,NO2,NOX,CO,O3,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,
13/01/2014 21.00,"65,1","81,2","0,8","15,0","2,8",,,
13/01/2014 22.00,"60,5","81,5","0,6","16,0","2,4",,,
13/01/2014 23.00,"38,9","49,7","0,4","21,8","1,9",,,
14/01/2014 0.00,"27,3","34,7","0,3","28,5","1,0",,,
14/01/2014 1.00,"23,6","25,7","0,2","26,1","0,9",,,
14/01/2014 2.00,"16,3","17,2","0,2","31,6","0,7",,,
14/01/2014 3.00,"15,4","16,3","0,3","25,2","0,8",,,
14/01/2014 4.00,"24,1","29,6","0,3","17,2","1,1",,,
14/01/2014 5.00,"22,3","23,2","0,2",,"0,8",,,
14/01/2014 6.00,"21,5","22,3","0,2","28,6","0,8",,,
14/01/2014 7.00,"36,5","56,2","0,1","23,7","0,7",,,
14/01/2014 8.00,"54,6","107,4","0,5","12,7","0,7",,,
14/01/2014 9.00,"64,4","144,9","0,8","15,1","1,6",,,
14/01/2014 10.00,"54,8","97,4","0,5","21,3","1,5",,,
14/01/2014 11.00,"47,9","81,8","0,5","23,2","1,8",,,
14/01/2014 12.00,"43,3","67,1","0,5","36,2","1,7",,,
14/01/2014 13.00,"37,1","54,5","0,5","50,6","2,9",,,
14/01/2014 14.00,"33,7","53,5","0,6","51,6","1,0",,,
14/01/2014 15.00,"28,4","41,1","0,5","52,8","0,9",,,
14/01/2014 16.00,"33,4","46,9","0,6","53,2","0,9",,,
14/01/2014 17.00,"42,8","64,3","0,8","42,9","1,3",,,
14/01/2014 18.00,"47,0","71,3","0,8","38,1","1,7",,,
14/01/2014 19.00,"51,8","78,7","1,0","32,8","2,4",,,
14/01/2014 20.00,"52,8","81,1","0,7","36,2","2,5",,,
14/01/2014 21.00,"47,7","69,0","0,6","41,9","1,2",,,
14/01/2014 22.00,"33,2","44,8","0,4","47,9","0,8",,,
14/01/2014 23.00,"21,9","28,2","0,3","53,5","0,6",,,
15/01/2014 0.00,"14,2","19,8","0,4","55,4","0,4",,,
15/01/2014 1.00,"9,3","11,2","0,3","62,7","0,3",,,
15/01/2014 2.00,"7,9","8,3","0,3","61,8","0,3",,,
15/01/2014 3.00,"6,7","7,3","0,3","55,2","0,3",,,
15/01/2014 4.00,"11,2","14,6","0,3","53,5","0,3",,,
15/01/2014 5.00,"7,4","8,4","0,3","57,6","0,3",,,
15/01/2014 6.00,"18,6","23,0","0,3","43,5","0,3",,,
15/01/2014 7.00,"45,9","69,3","0,5","29,3","0,6",,,
15/01/2014 8.00,"56,7","90,1","0,6","22,9","0,6",,,
15/01/2014 9.00,"87,8","174,6","1,1","11,8","1,3",,,
15/01/2014 10.00,"69,5","115,7","0,9","22,4","1,8",,,
15/01/2014 11.00,"44,2","73,7","0,5","34,7","1,3",,,
15/01/2014 12.00,"31,3","52,3","0,4","43,9","1,0",,,
15/01/2014 13.00,"30,6","50,0","0,3","50,8","1,2",,,
15/01/2014 14.00,"29,5","45,5","0,4","49,3","1,5",,,
15/01/2014 15.00,"35,9","50,3","0,6","43,1","1,0",,,
15/01/2014 16.00,"34,6","40,6","0,6","43,3","1,3",,,
15/01/2014 17.00,"45,2","50,7","0,9","34,3","1,9",,,
15/01/2014 18.00,"76,4","97,4","1,1","19,9","2,5",,,
15/01/2014 19.00,"81,7","109,7","1,1","18,7","3,1",,,
15/01/2014 20.00,"67,9","92,5","0,9","20,9","2,5",,,
15/01/2014 21.00,"51,8","66,5","0,7","25,0","1,8",,,
15/01/2014 22.00,"49,3","57,9","0,6","27,3","1,7",,,
15/01/2014 23.00,"28,8","32,2","0,4","38,3","1,0",,,
16/01/2014 0.00,"19,6","20,7","0,4","42,3","0,7",,,
16/01/2014 1.00,"17,0","20,7","0,4","42,5","0,5",,,
16/01/2014 2.00,"11,8","13,3","0,2","45,6","0,4",,,
16/01/2014 3.00,"8,3","9,3","0,2","45,7","0,3",,,
