Stat,TA V.Archimede,,,,,
,,,,,,,,,,
Parm,SO2,NOX,NO2,CO,H2S,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
09/03/2014 7.00,"1,3","15,2","11,7","0,3","1,8",
09/03/2014 8.00,"1,3","18,5","14,6","0,3","1,7","16,6"
09/03/2014 9.00,"1,5","13,3","9,4","0,2","1,6",
09/03/2014 10.00,"1,4","8,7","5,1","0,2","1,8","12,2"
09/03/2014 11.00,"1,1","9,8","6,2","0,2","1,7",
09/03/2014 12.00,"1,1","8,6","5,0","0,2","1,6","12,7"
09/03/2014 13.00,"1,1","9,0","4,9","0,2","1,5",
09/03/2014 14.00,"1,1","7,9","4,5","0,2","1,4","20,0"
09/03/2014 15.00,"1,1","6,5","2,8","0,2","1,6",
09/03/2014 16.00,"1,1","5,5","1,9","0,2","1,6","13,2"
09/03/2014 17.00,"1,3","5,6","2,1","0,2","1,4",
09/03/2014 18.00,"1,1","7,8","4,4","0,2","1,6","8,8"
09/03/2014 19.00,"1,1","14,9","11,6","0,3","1,5",
09/03/2014 20.00,"1,3","25,3","21,9","0,3","1,6","12,7"
09/03/2014 21.00,"1,3","24,4","20,9","0,3","1,8",
09/03/2014 22.00,"1,3","16,3","13,0","0,2","1,6","22,0"
09/03/2014 23.00,"1,2","15,0","11,4","0,3","1,6",
10/03/2014 0.00,"1,5","9,5","6,1","0,2","1,7","24,9"
10/03/2014 1.00,"1,4","24,3","21,2","0,5","1,7",
10/03/2014 2.00,"1,3","17,5","14,1","0,3","1,7","24,4"
10/03/2014 3.00,"1,1","7,2","3,9","0,2","1,5",
10/03/2014 4.00,"1,1","6,2","2,8","0,2","1,5","28,3"
10/03/2014 5.00,"1,1","9,2","5,8","0,2","1,5",
10/03/2014 6.00,"1,1","13,7","10,4","0,2","1,5","17,1"
10/03/2014 7.00,"1,2","37,0","33,3","0,2","1,5",
10/03/2014 8.00,"1,3","71,3","64,1","0,2","1,6","19,0"
10/03/2014 9.00,"1,2","78,9","59,2","0,2","1,7",
10/03/2014 10.00,"1,3","54,6","40,8","0,2","1,5","12,2"
10/03/2014 11.00,"1,2","32,3","25,4","0,2","1,4",
10/03/2014 12.00,"1,3","23,0","18,0","0,3","1,6","20,0"
10/03/2014 13.00,"1,5","36,4","30,1","0,2","1,5",
10/03/2014 14.00,"1,2","32,6","27,5","0,3","1,4","12,7"
10/03/2014 15.00,"1,4","26,0","21,9","0,2","1,6",
10/03/2014 16.00,"1,3","27,9","23,7","0,2","1,7","12,7"
10/03/2014 17.00,"1,5","54,2","46,7","0,2","1,6",
10/03/2014 18.00,"1,6","74,4","63,3","0,3","1,4","10,7"
10/03/2014 19.00,"1,2","47,3","43,2","0,3","1,5",
10/03/2014 20.00,"1,1","39,8","36,3","0,3","1,7","9,8"
10/03/2014 21.00,"1,2","65,7","61,7","0,3","1,6",
10/03/2014 22.00,"1,2","69,2","63,4","0,4","1,7","17,1"
10/03/2014 23.00,"1,2","31,1","27,8","0,3","1,6",
11/03/2014 0.00,"1,2","25,5","22,0","0,3","1,5","18,6"
11/03/2014 1.00,"1,3","17,3","13,9","0,3","1,7",
11/03/2014 2.00,"1,1","12,1","8,8","0,2",,"24,9"
11/03/2014 3.00,,"9,2","5,5",,"1,5",
11/03/2014 4.00,"1,7","19,9","16,6","0,3","1,9","16,1"
11/03/2014 5.00,"1,1",,,"0,5","1,9",
11/03/2014 6.00,"1,2","32,7","29,1","0,4","1,7","15,6"
11/03/2014 7.00,"1,4","25,3","21,0","0,3","1,7",
11/03/2014 8.00,"1,2","64,5","57,9","0,4","1,7","28,3"
11/03/2014 9.00,"1,8","72,8","65,1","0,4","1,5",
11/03/2014 10.00,"1,7","31,5","26,4","0,3","1,5","32,7"
11/03/2014 11.00,"1,3","29,8","24,7","0,3","1,6",
11/03/2014 12.00,"1,3","30,8","26,2","0,3","1,6","19,5"
11/03/2014 13.00,"1,2","18,4","14,5","0,2","1,6",
11/03/2014 14.00,"1,1","17,8","13,5","0,3","1,5","23,4"
11/03/2014 15.00,"1,1","17,3","13,6","0,2","1,6",
11/03/2014 16.00,"1,1","15,9","12,0","0,3","1,4","18,1"
11/03/2014 17.00,"1,1","13,8","10,2","0,2","1,5",
11/03/2014 18.00,"1,2","19,7","16,2","0,2","1,6","13,7"
11/03/2014 19.00,"0,7","36,2","32,9","0,3","1,6",
11/03/2014 20.00,"0,7","39,0","35,3","0,8","1,7","17,6"
11/03/2014 21.00,"1,1","35,1","31,8","0,6","1,6",
11/03/2014 22.00,"1,0","30,3","27,0","0,5","1,6","21,0"
11/03/2014 23.00,"1,1","43,1","39,1","0,8","1,6",
12/03/2014 0.00,"1,3","48,1","43,1","1,1","1,8","22,5"
12/03/2014 1.00,"1,7","74,0","68,7","1,2","4,0",
12/03/2014 2.00,"1,1","26,9","23,3","0,6","1,7","27,8"
12/03/2014 3.00,"1,1","23,1","19,8","0,4","1,5",
12/03/2014 4.00,"1,1","12,6","9,2","0,2","1,6","32,2"
12/03/2014 5.00,"1,1","9,3","6,0","0,2","1,7",
12/03/2014 6.00,"1,0","17,7","14,4","0,3","1,6","24,4"
12/03/2014 7.00,"1,1","55,9","51,9","0,6","1,8",
12/03/2014 8.00,"1,5","118,7","93,2","0,5","2,0","19,5"
12/03/2014 9.00,"2,4","191,0","123,6","0,6","2,2",
12/03/2014 10.00,"2,5","72,3","55,9","0,4","2,0","55,2"
12/03/2014 11.00,"1,7","13,7","9,9","0,2","1,5",
12/03/2014 12.00,"1,2","12,1","8,4","0,2","1,6","69,4"
12/03/2014 13.00,"1,2","11,4","7,7","0,2","1,6",
12/03/2014 14.00,"1,2","13,1","9,5","0,2","1,6","40,5"
12/03/2014 15.00,"1,9","15,1","11,5","0,2","1,5",
12/03/2014 16.00,"1,3","15,3","11,5","0,2","1,8","25,9"
12/03/2014 17.00,"1,1","20,3","16,6","0,2","2,0",
12/03/2014 18.00,"1,1","21,4","18,1","0,2","1,8","19,0"
12/03/2014 19.00,"1,1","27,1","23,8","0,2","1,9",
12/03/2014 20.00,"1,1","28,4","25,1","0,3","2,2","26,4"
12/03/2014 21.00,"1,1","25,6","21,2","0,3","2,1",
12/03/2014 22.00,"1,1","17,2","13,9","0,2","2,1","24,4"
12/03/2014 23.00,"1,1","13,4","10,0","0,3","1,9",
13/03/2014 0.00,"1,1","27,8","23,6","0,5","2,2","24,9"
13/03/2014 1.00,"1,1","62,9","58,8","0,7","2,3",
13/03/2014 2.00,"1,1","42,8","39,5","0,4",,"27,8"
13/03/2014 3.00,,"44,3","41,3",,"2,6",
13/03/2014 4.00,"1,2","23,2","19,4","0,3","2,0","38,1"
13/03/2014 5.00,"1,3",,,"0,6","2,2",
13/03/2014 6.00,"1,2","66,5","62,9","0,4","2,1","38,1"
13/03/2014 7.00,"1,1","84,6","73,7","0,3","2,4",
13/03/2014 8.00,"1,8","134,0","91,8","0,3","2,2","44,0"
13/03/2014 9.00,"3,6","179,2","114,0","0,4","2,6",
13/03/2014 10.00,"3,4","104,4","86,2","0,5","2,7","54,2"
13/03/2014 11.00,"2,6","78,1","66,8","0,4","2,3",
13/03/2014 12.00,"2,2","63,1","55,4","0,4","2,3","69,8"
13/03/2014 13.00,"1,0","55,8","49,9","0,3","2,3",
13/03/2014 14.00,"1,2","47,1","42,6","0,3","2,2","50,8"
13/03/2014 15.00,"1,2","54,3","49,1","0,3","2,2",
13/03/2014 16.00,"1,2","28,7","25,2","0,2","2,0","38,6"
13/03/2014 17.00,"1,1","36,2","32,8","0,3","2,1",
13/03/2014 18.00,"0,8","41,0","37,8","0,3","2,1","32,2"
13/03/2014 19.00,"0,9","39,6","36,6","0,3","2,1",
13/03/2014 20.00,"1,1","81,9","78,9","0,3","2,3","36,1"
13/03/2014 21.00,"0,5","68,4","65,4","0,3","2,1",
13/03/2014 22.00,"0,1","75,5","72,6","0,5","2,2","38,6"
13/03/2014 23.00,"0,5","59,5","54,9","0,4","2,0",
14/03/2014 0.00,"1,1","48,0","44,3","0,4","2,1","45,4"
14/03/2014 1.00,"1,1","57,3","52,7","0,4","2,1",
14/03/2014 2.00,"1,0","40,5","36,7","0,4","2,2","33,7"
14/03/2014 3.00,"1,1","17,4","14,0","0,3","2,0",
14/03/2014 4.00,"1,1","15,5","12,2","0,3","2,1","44,9"
14/03/2014 5.00,"1,1","19,8","16,3","0,3","2,0",
14/03/2014 6.00,"1,1","33,4","30,3","0,3","1,9","36,1"
14/03/2014 7.00,"1,1","88,3","72,3","0,3","2,3",
14/03/2014 8.00,"2,4","180,1","100,9","0,3","2,5","22,5"
14/03/2014 9.00,"1,6","81,2","65,0","0,3","2,2",
14/03/2014 10.00,"1,7","75,9","64,1","0,5","2,4","28,3"
14/03/2014 11.00,"1,1","94,3","80,0","0,9","2,8",
14/03/2014 12.00,"1,1","84,2","74,7","0,7","2,5","33,2"
14/03/2014 13.00,"1,0","49,4","44,9","0,4","2,3",
14/03/2014 14.00,"1,1","68,0","61,5","0,4","2,2","54,2"
14/03/2014 15.00,"1,1","57,9","53,4","0,3","2,2",
14/03/2014 16.00,"1,1","49,7","45,5","0,4","2,1","44,9"
14/03/2014 17.00,"1,0","41,9","38,4","0,3","2,1",
14/03/2014 18.00,"1,1","41,2","38,0","0,3","2,1","49,8"
14/03/2014 19.00,"1,1","51,1","47,7","0,3","2,0",
14/03/2014 20.00,"1,1","83,7","80,8","0,5","2,3","45,9"
14/03/2014 21.00,"1,1","87,0","82,6","0,4","2,4",
14/03/2014 22.00,"1,1","47,4","44,2","0,5","2,3","36,6"
14/03/2014 23.00,"1,1","54,3","50,6","0,4","2,3",
15/03/2014 0.00,"1,0","48,9","44,9","0,4","2,4","44,9"
15/03/2014 1.00,"1,0","45,3","41,6","0,4","2,3",
15/03/2014 2.00,"1,0","28,1","24,7","0,4",,"48,8"
15/03/2014 3.00,,"19,5","16,0",,"2,3",
15/03/2014 4.00,"1,1","28,2","24,8","0,4","2,3","48,4"
15/03/2014 5.00,"0,6",,,"0,3","1,9",
15/03/2014 6.00,"1,1","30,6","26,8","0,3","2,3","35,7"
15/03/2014 7.00,"0,8","43,0","37,2","0,3","2,1",
15/03/2014 8.00,"2,7","203,2","88,3","0,5","2,3","41,0"
15/03/2014 9.00,"1,8","143,9","84,7","0,5","2,5",
15/03/2014 10.00,"1,4","130,9","93,2","0,5","2,7","33,7"
15/03/2014 11.00,"1,2","78,6","68,3","0,5","2,4",
15/03/2014 12.00,"1,2","63,4","57,0","0,4","2,2","65,4"
15/03/2014 13.00,"1,1","36,3","31,3","0,4","2,1",
15/03/2014 14.00,"1,1","38,7","33,4","0,3","2,2","48,8"
15/03/2014 15.00,"1,1","44,4","39,1","0,3","2,1",
15/03/2014 16.00,"1,1","21,6","18,0","0,3","2,1","38,1"
15/03/2014 17.00,"1,1","14,3","10,9","0,3","1,9",
15/03/2014 18.00,"1,1","16,9","13,7","0,3","2,1","39,6"
15/03/2014 19.00,"1,1","24,0","20,6","0,3","2,1",
15/03/2014 20.00,"1,2","57,8","54,4","0,3","2,0","40,0"
15/03/2014 21.00,"1,1","93,1","82,1","0,3","2,1",
15/03/2014 22.00,"1,1","44,5","40,7","0,4","2,4","37,1"
15/03/2014 23.00,"1,1","36,0","32,4","0,3","2,1",
16/03/2014 0.00,"1,1","43,6","39,8","0,3","1,9","33,2"
16/03/2014 1.00,"1,3","34,3","31,3","0,3","2,0",
16/03/2014 2.00,"1,3","26,6","23,3","0,3","2,0","38,1"
16/03/2014 3.00,"1,3","23,1","19,8","0,3","1,9",
16/03/2014 4.00,"1,1","18,5","15,2","0,3","1,9","31,7"
16/03/2014 5.00,"1,3","22,4","19,2","0,3","2,1",
16/03/2014 6.00,"1,2","27,9","24,0","0,3","2,3","29,8"
16/03/2014 7.00,"1,3","50,9","40,8","0,3","2,2",
16/03/2014 8.00,"1,2","67,8","46,8","0,3","2,4","26,4"
16/03/2014 9.00,"1,4","69,8","59,6","0,5","2,6",
16/03/2014 10.00,"1,8","58,2","51,4","0,6","2,5","31,7"
16/03/2014 11.00,"2,0","50,1","43,6","0,4","2,3",
16/03/2014 12.00,"1,3","28,6","24,7","0,3","1,8","54,2"
16/03/2014 13.00,"1,1","34,3","30,7","0,3","2,1",
16/03/2014 14.00,"1,1","14,3","10,8","0,3","2,1","43,5"
16/03/2014 15.00,"1,4","9,9","6,5","0,3","2,0",
16/03/2014 16.00,"2,5","11,2","7,8","0,3","1,9","36,1"
16/03/2014 17.00,"1,5","10,3","7,0","0,3","2,1",
16/03/2014 18.00,"1,1","12,1","8,7","0,3","2,0","35,7"
16/03/2014 19.00,"1,1","16,4","13,0","0,3","2,2",
16/03/2014 20.00,"3,0","79,3","75,1","1,2","2,4","40,5"
16/03/2014 21.00,"2,6","34,3","31,0","0,5","2,2",
16/03/2014 22.00,"1,2","12,3","9,0","0,2","2,0","43,0"
16/03/2014 23.00,"1,1","13,2","9,6","0,3","2,0",
17/03/2014 0.00,"1,2","16,7","13,1","0,3","2,0","46,9"
17/03/2014 1.00,"1,1","19,8","16,4","0,5","2,1",
17/03/2014 2.00,"1,0","25,1","22,0","0,9",,"43,5"
17/03/2014 3.00,,"47,1","44,1",,"3,3",
17/03/2014 4.00,"1,4","30,9","27,7","0,4","2,5","47,9"
17/03/2014 5.00,"1,3",,,"0,3","2,2",
17/03/2014 6.00,"1,0","68,4","65,2","0,3","2,3","59,1"
17/03/2014 7.00,"1,2","111,3","92,1","0,3","2,2",
17/03/2014 8.00,"1,3","123,4","92,9","0,3","2,4","52,7"
17/03/2014 9.00,"2,2","115,5","89,5","0,4","2,4",
17/03/2014 10.00,"1,6","107,0","84,2","0,3","2,5","50,8"
17/03/2014 11.00,"1,9","88,5","75,7","0,3","2,2",
17/03/2014 12.00,"1,2","50,4","45,2","0,3","2,3","64,0"
17/03/2014 13.00,"1,1","41,3","36,6","0,3","2,0",
17/03/2014 14.00,"1,1","44,0","39,5","0,3","2,2","53,7"
17/03/2014 15.00,"1,3",,,,,
17/03/2014 16.00,"1,8","62,2","57,8","0,2","2,0","46,9"
17/03/2014 17.00,"1,2","37,3","33,9","0,2","2,9",
17/03/2014 18.00,"1,2","64,3","60,7","0,2","4,1","49,8"
17/03/2014 19.00,"1,1","109,9","103,3","0,6","2,7",
17/03/2014 20.00,"1,1","165,4","150,8","0,4","2,7","41,0"
17/03/2014 21.00,"1,4","129,2","118,4","0,3","2,3",
17/03/2014 22.00,"1,3","81,3","78,4","0,4","2,5","46,9"
17/03/2014 23.00,"1,9","137,3","123,2","0,5","2,7",
18/03/2014 0.00,"1,4","90,7","80,6","0,4","2,6","39,6"
18/03/2014 1.00,"1,3","100,9","92,6","0,4","2,5",
18/03/2014 2.00,"1,4","77,8","73,2","0,4","2,6","62,0"
18/03/2014 3.00,"1,3","51,4","47,7","0,4","2,6",
18/03/2014 4.00,"1,2","50,8","47,5","0,4","2,5","51,8"
18/03/2014 5.00,"1,3","39,3","36,1","0,4","2,5",
18/03/2014 6.00,"2,1","76,4","55,1","0,4","2,6","50,8"
18/03/2014 7.00,"1,4","82,5","67,4","0,3","2,4",
18/03/2014 8.00,"3,3","165,8","87,4","0,4","2,4","34,7"
18/03/2014 9.00,"2,8",,,,,
18/03/2014 10.00,,,,,,"56,2"
18/03/2014 11.00,"3,3","152,9","118,7","0,7","3,8",
18/03/2014 12.00,"2,8","135,0","115,3","0,4","2,8","56,2"
18/03/2014 13.00,"2,8","123,4","106,8","0,4","2,5",
18/03/2014 14.00,"3,3","113,0","98,5","0,3","2,2","48,4"
18/03/2014 15.00,"3,6","102,1","91,8","0,2","2,3",
18/03/2014 16.00,"3,1","67,7","63,3","0,2","2,1","30,3"
18/03/2014 17.00,"2,3","46,1","42,6","0,3","2,2",
18/03/2014 18.00,"1,4","73,4","69,8","0,3","2,2","42,5"
18/03/2014 19.00,"1,3","55,7","52,3","0,3","2,3",
18/03/2014 20.00,"1,5","88,5","78,5","0,3","2,4","35,2"
18/03/2014 21.00,"1,4","110,1","105,0","0,3","2,2",
18/03/2014 22.00,"1,3","58,1","55,2","0,2","2,3","39,1"
18/03/2014 23.00,"1,3","37,2","33,6","0,2","2,1",
19/03/2014 0.00,"1,3","39,9","36,7","0,3","2,1","35,2"
19/03/2014 1.00,"1,6","72,9","69,6","0,3","2,4",
19/03/2014 2.00,"1,4","30,4","27,1","0,3",,"29,8"
19/03/2014 3.00,,"31,5","28,1",,"2,7",
19/03/2014 4.00,"1,3","40,9","37,1","0,5","2,5","28,3"
19/03/2014 5.00,"1,3",,,"0,4","2,3",
19/03/2014 6.00,"1,5","44,3","39,8","0,4","2,4","27,8"
19/03/2014 7.00,"2,5","131,8","81,5","0,5","2,7",
19/03/2014 8.00,"3,1","153,6","78,7","0,5","2,5","26,9"
19/03/2014 9.00,"2,1","78,4","60,6","0,5","2,6",
19/03/2014 10.00,"2,3","101,1","80,0","0,6","2,8","30,8"
19/03/2014 11.00,"1,8","59,1","51,9","0,4","2,2",
19/03/2014 12.00,"1,3","36,3","31,5","0,4","2,2","51,3"
19/03/2014 13.00,"1,3","44,7","39,2","0,3","2,0",
19/03/2014 14.00,"1,3","36,1","31,7","0,3","2,4","37,1"
19/03/2014 15.00,"1,4","22,3","18,5","0,3","1,9",
19/03/2014 16.00,"1,3","22,5","18,7","0,3","2,0","23,9"
19/03/2014 17.00,"1,8","43,8","39,6","0,3","2,3",
19/03/2014 18.00,"1,3","23,3","20,0","0,3","2,0","20,5"
19/03/2014 19.00,"1,5","68,3","65,3","0,4","2,8",
19/03/2014 20.00,"1,6","102,6","98,9","0,5","2,3","34,2"
19/03/2014 21.00,"1,3","77,1","74,1","0,5","2,2",
19/03/2014 22.00,"1,3","66,1","62,6","0,7","2,3","44,4"
19/03/2014 23.00,"1,3","27,2","23,8","0,4","2,2",
20/03/2014 0.00,"1,2","27,1","23,7","0,5","2,4","43,5"
20/03/2014 1.00,"1,3","24,8","20,5","0,4","2,2",
20/03/2014 2.00,"1,3","24,7","21,1","0,4","2,3","51,3"
20/03/2014 3.00,"1,2","12,2","8,7","0,3","2,3",
20/03/2014 4.00,"1,5","12,5","8,9","0,3","2,2","48,4"
20/03/2014 5.00,"1,3","11,7","8,2","0,3","2,1",
20/03/2014 6.00,"0,8","12,4","8,9","0,3","2,2","44,0"
20/03/2014 7.00,"0,8","26,5","23,0","0,4","2,3",
20/03/2014 8.00,"1,4","29,1","25,0","0,3","2,1","42,0"
20/03/2014 9.00,"1,3","24,0","19,5","0,2","2,1",
20/03/2014 10.00,"1,3","22,5","17,5","0,3","2,1","44,4"
20/03/2014 11.00,"1,3","17,1","13,1","0,3","2,0",
20/03/2014 12.00,"1,3","16,6","12,3","0,2","2,1","23,9"
20/03/2014 13.00,"1,3","11,1","7,3","0,3","2,1",
20/03/2014 14.00,"1,3","10,0","6,1","0,2","2,1","20,0"
20/03/2014 15.00,"1,1","12,3","8,6","0,2","2,0",
20/03/2014 16.00,"1,3","11,4","7,5","0,2","2,1","11,7"
20/03/2014 17.00,"1,3","14,9","11,1","0,2","2,0",
20/03/2014 18.00,"1,2","22,0","18,4","0,3","2,2","12,7"
20/03/2014 19.00,"1,3","39,6","36,1","0,2","2,0",
20/03/2014 20.00,"1,3","43,3","39,9","0,3","2,2","15,1"
20/03/2014 21.00,"0,7","57,6","53,8","0,3","2,4",
20/03/2014 22.00,"1,1","41,0","37,4","0,5","2,4","13,7"
20/03/2014 23.00,"1,3","68,4","65,0","0,4","2,5",
21/03/2014 0.00,"1,3","72,0","68,6","0,5","2,5","15,6"
21/03/2014 1.00,"1,2","23,3","20,0","0,3","2,2",
21/03/2014 2.00,"1,2","26,6","22,9","0,3",,"36,6"
21/03/2014 3.00,,"26,7","23,2",,"2,3",
21/03/2014 4.00,"1,3","26,4","23,1","0,2","2,1","22,0"
21/03/2014 5.00,"1,1",,,"0,2","2,4",
21/03/2014 6.00,"1,3","66,3","56,3","0,2","2,4","12,7"
21/03/2014 7.00,"2,0","149,8","93,3","0,2","2,5",
21/03/2014 8.00,"2,5","157,0","91,0","0,2","2,4","13,7"
21/03/2014 9.00,"2,5","154,1","93,6","0,3","2,6",
21/03/2014 10.00,"1,7","98,2","71,8","0,3","2,3","12,2"
21/03/2014 11.00,"0,8","51,6","42,6","0,4","2,4",
21/03/2014 12.00,"0,4","35,4","29,3","0,3","2,2","20,0"
21/03/2014 13.00,"0,7","43,1","36,5","0,3","2,3",
21/03/2014 14.00,"0,8","21,6","17,5","0,2","2,3","25,9"
21/03/2014 15.00,"1,4","41,3","36,0","0,2","2,2",
21/03/2014 16.00,"1,5","40,6","36,0","0,2","2,2","15,6"
21/03/2014 17.00,"1,3","24,0","20,3","0,2","2,2",
21/03/2014 18.00,"1,3","18,2","14,6","0,2","2,1","17,6"
21/03/2014 19.00,"1,3","18,4","15,0","0,2","2,2",
21/03/2014 20.00,"1,2","23,0","19,4","0,2","2,1","10,3"
21/03/2014 21.00,"1,3","17,1","13,7","0,2","2,3",
21/03/2014 22.00,"1,2","19,5","16,0","0,2","2,2","24,4"
21/03/2014 23.00,"1,2","48,2","44,8","0,2","2,4",
22/03/2014 0.00,"1,3","38,7","35,6","0,2","2,1","22,5"
22/03/2014 1.00,"0,9","28,3","25,0","0,3","2,2",
22/03/2014 2.00,"1,0","17,9","14,5","0,4","2,3","17,6"
22/03/2014 3.00,"1,2","37,1","33,3","0,5","2,4",
22/03/2014 4.00,"1,0","24,3","20,9","0,4","2,3","22,0"
22/03/2014 5.00,"1,3","20,4","17,0","0,3","2,2",
22/03/2014 6.00,"1,3","17,4","14,0","0,2","2,2","26,4"
22/03/2014 7.00,"0,9","44,5","38,6","0,3","2,2",
22/03/2014 8.00,"1,3","47,3","36,6","0,3","2,0","27,8"
22/03/2014 9.00,"1,3","23,7","19,1","0,3","2,3",
22/03/2014 10.00,"1,3","34,9","28,1","0,3","2,1","21,0"
22/03/2014 11.00,"1,4","57,5","48,2","0,5","2,3",
22/03/2014 12.00,"1,4","62,2","53,8","0,4","2,3","20,5"
22/03/2014 13.00,"1,4","50,2","43,1","0,3","2,2",
22/03/2014 14.00,"1,3","46,9","40,6","0,3","2,1","18,1"
22/03/2014 15.00,"1,3","21,7","17,7","0,2","2,1",
22/03/2014 16.00,"1,3","10,3","6,8","0,2","2,2","18,1"
22/03/2014 17.00,"1,3","13,8","10,0","0,3","2,1",
22/03/2014 18.00,"0,5","16,5","13,0","0,3","2,1","17,6"
22/03/2014 19.00,"0,8","17,6","14,0","0,2","2,1",
22/03/2014 20.00,"1,3","73,1","69,4","0,3","2,2","26,9"
22/03/2014 21.00,"1,4","93,3","86,6","0,4","2,2",
22/03/2014 22.00,"1,1","100,3","92,0","0,4","2,4","23,4"
22/03/2014 23.00,"0,7","69,7","64,9","0,3","2,5",
23/03/2014 0.00,"0,9","29,9","26,4","0,3","2,2","18,6"
23/03/2014 1.00,"1,3","42,8","39,7","0,3","2,2",
23/03/2014 2.00,"1,2","18,1","14,6","0,3",,"25,4"
23/03/2014 3.00,,"12,5","8,9",,"2,2",
23/03/2014 4.00,,"11,5","7,9","0,2","2,2","34,7"
23/03/2014 5.00,,,,"0,2","2,1",
23/03/2014 6.00,,"12,2","8,7","0,2","1,9","35,7"
23/03/2014 7.00,,"9,2","5,7","0,1","2,1",
23/03/2014 8.00,,"9,4","5,8","0,1","2,1","24,4"
23/03/2014 9.00,,"11,0","7,1","0,2","2,2",
23/03/2014 10.00,,"16,4","12,0","0,2","2,0","22,0"
23/03/2014 11.00,,"17,0","13,1","0,2","2,1",
23/03/2014 12.00,,"12,0","8,4","0,2","2,1","17,1"
23/03/2014 13.00,,"11,0","7,4","0,2","2,1",
23/03/2014 14.00,,"11,5","7,6","0,2","1,8","24,9"
23/03/2014 15.00,,"8,4","4,9","0,2","2,2",
23/03/2014 16.00,,"8,3","4,7","0,1","2,0","25,4"
23/03/2014 17.00,,"10,7","7,0","0,2","2,1",
23/03/2014 18.00,,"13,9","10,2","0,1","2,1","23,4"
23/03/2014 19.00,,"27,9","24,6","0,2","2,0",
23/03/2014 20.00,,"24,9","21,7","0,1","1,9","36,1"
23/03/2014 21.00,,"29,7","26,2","0,2","2,1",
23/03/2014 22.00,,"33,7","30,6","0,2","2,1","27,4"
23/03/2014 23.00,,"17,0","13,3","0,2","2,0",
24/03/2014 0.00,,"8,1","4,5","0,2","1,9","23,0"
24/03/2014 1.00,,"10,6","7,0","0,2","1,9",
24/03/2014 2.00,,"13,8","10,3","0,2","2,0","33,2"
24/03/2014 3.00,,"14,4","11,0","0,1","2,0",
24/03/2014 4.00,,"8,2","4,7","0,1","2,0","40,5"
24/03/2014 5.00,,"15,7","12,4","0,1","2,6",
24/03/2014 6.00,,"9,3","5,8","0,1","2,2","26,9"
24/03/2014 7.00,,"12,3","8,9","0,1","2,2",
24/03/2014 8.00,,"28,4","24,3","0,2","2,2","26,9"
24/03/2014 9.00,,"35,3","31,0","0,2","2,0",
24/03/2014 10.00,,"40,6","35,9","0,2","2,0","16,1"
24/03/2014 11.00,,"21,1","16,3","0,1","2,2",
24/03/2014 12.00,,"19,2","14,4","0,2","2,0","10,7"
24/03/2014 13.00,,"27,5","22,0","0,2","2,0",
24/03/2014 14.00,,"36,4","31,2","0,1","2,4","6,3"
24/03/2014 15.00,,"22,9","18,6","0,1","2,1",
24/03/2014 16.00,,"22,4","18,7","0,1","2,2","12,2"
24/03/2014 17.00,"2,6","18,6","14,5","0,1","1,9",
24/03/2014 18.00,"1,5","16,8","13,0","0,1","2,0","13,2"
24/03/2014 19.00,"1,9","14,8","11,2","0,2","2,3",
24/03/2014 20.00,"1,6","13,0","9,5","0,1","2,0","10,7"
24/03/2014 21.00,"1,8","16,1","12,3","0,2","2,0",
24/03/2014 22.00,"1,8","27,8","24,4","0,2","2,2","10,7"
24/03/2014 23.00,"2,2","36,8","33,0","0,2","2,3",
25/03/2014 0.00,"2,4","29,3","25,7","0,2","2,1","10,7"
25/03/2014 1.00,"1,4","32,9","29,4","0,3","2,3",
25/03/2014 2.00,"1,3","20,9","17,5","0,2",,"13,7"
25/03/2014 3.00,,"29,0","25,5",,"2,9",
25/03/2014 4.00,"2,6","38,9","35,1","0,7","3,6","19,5"
25/03/2014 5.00,"2,2",,,"0,6","3,0",
25/03/2014 6.00,"2,7","42,6","39,1","0,3","2,5","15,6"
25/03/2014 7.00,"1,8","88,4","70,1","0,4","2,4",
25/03/2014 8.00,"2,5","120,2","84,2","0,6","2,7","40,0"
25/03/2014 9.00,"4,3","119,2","85,4","1,8","3,5",
25/03/2014 10.00,"4,3","53,9","42,1","0,4","2,7","42,0"
25/03/2014 11.00,"3,0","39,5","32,3","0,2","2,2",
25/03/2014 12.00,"2,8","28,9","23,6","0,2","2,2","38,1"
25/03/2014 13.00,,"17,1","12,8","0,1","2,2",
25/03/2014 14.00,,"22,8","13,6",,"2,2",
25/03/2014 15.00,,"10,8","7,6","0,1","2,2",
25/03/2014 16.00,,"11,8","8,3","0,1","2,1",
25/03/2014 17.00,,"13,9","10,3","0,1","2,3",
25/03/2014 18.00,,,,,,
25/03/2014 19.00,"1,9","23,7","21,8","0,2",,
25/03/2014 20.00,"0,3","29,1","27,0","0,2","1,9",
25/03/2014 21.00,"1,0","19,3","17,4","0,2","1,9",
25/03/2014 22.00,"1,5","21,9","20,6","0,2","1,8","10,3"
25/03/2014 23.00,"0,2","31,9","30,4","0,2","1,9",
26/03/2014 0.00,"3,4","18,7","17,7","0,2","2,1","11,2"
26/03/2014 1.00,"3,0","18,1","16,8","0,2","2,3",
26/03/2014 2.00,"3,2","10,8","9,2","0,1","2,3","11,7"
