Stat,Campi Salentina,,,,,,  ,
Parm,NO2,NOX,CO,O3,PM10,PM2.5,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ug/m3,,
Field,,,Aver,Aver,Aver,Aver,,
16/01/2014 21.00,,,"0,95","4,08","34,92","17,14",,
16/01/2014 22.00,,,"0,91","4,33","34,92","17,14",,
16/01/2014 23.00,,,"1,28","5,56","34,92","17,14",,
17/01/2014 0.00,,,"1,65","5,09","34,92","17,14",,
17/01/2014 1.00,,,"1,22","5,25","43,17","28,62",,
17/01/2014 2.00,,,"1,19","4,97","43,17","28,62",,
17/01/2014 3.00,,,"0,84","6,14","43,17","28,62",,
17/01/2014 4.00,,,"0,58","12,22","43,17","28,62",,
17/01/2014 5.00,,,"0,48","16,29","43,17","28,62",,
17/01/2014 6.00,,,"0,38","27,07","43,17","28,62",,
17/01/2014 7.00,,,"0,40","32,04","43,17","28,62",,
17/01/2014 8.00,,,"1,29","34,37","43,17","28,62",,
17/01/2014 9.00,,,"0,89","39,21","43,17","28,62",,
17/01/2014 10.00,,,"0,44","48,76","43,17","28,62",,
17/01/2014 11.00,,,"0,37","65,19","43,17","28,62",,
17/01/2014 12.00,,,"0,31","79,21","43,17","28,62",,
17/01/2014 13.00,,,"0,24","82,54","43,17","28,62",,
17/01/2014 14.00,,,"0,26","82,69","43,17","28,62",,
17/01/2014 15.00,,,"0,25","84,61","43,17","28,62",,
17/01/2014 16.00,,,"0,25","85,93","43,17","28,62",,
17/01/2014 17.00,,,"0,28","82,07","43,17","28,62",,
17/01/2014 18.00,,,"0,33","77,61","43,17","28,62",,
17/01/2014 19.00,,,"0,36","80,40","43,17","28,62",,
17/01/2014 20.00,,,"0,34","80,13","43,17","28,62",,
17/01/2014 21.00,,,"0,36","82,33","43,17","28,62",,
17/01/2014 22.00,,,"0,38","80,99","43,17","28,62",,
17/01/2014 23.00,,,"0,37","80,59","43,17","28,62",,
18/01/2014 0.00,,,"0,33","82,60","43,17","28,62",,
18/01/2014 1.00,,,"0,33","80,24","21,88","10,21",,
18/01/2014 2.00,,,"0,34","78,84","21,88","10,21",,
