Stat,TA -S.VITO Colonia Marina,,,,,
Parm,SO2,NOX,NO2,PM10,CO,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ng/m3
13/01/2014 19.00,"0,6","95,9","53,7","34,7","0,6","73,4"
13/01/2014 20.00,"0,5","58,5","39,4","34,7","0,4","29,7"
13/01/2014 21.00,"0,5","37,3","22,6","34,7","0,5","16,6"
13/01/2014 22.00,"0,6","36,8","21,3","34,7","0,5","20,7"
13/01/2014 23.00,"0,6","32,8","17,0","34,7","0,5","18,1"
14/01/2014 0.00,"0,7","35,9","18,1","34,7","0,5","19,3"
14/01/2014 1.00,,"25,9","12,4","120,5","0,4","10,7"
14/01/2014 2.00,"1,2",,,"120,5","0,4","5,3"
14/01/2014 3.00,"1,2","20,4","4,3","120,5",,"4,0"
14/01/2014 4.00,"1,1","19,4","3,8","120,5","0,4","3,8"
14/01/2014 5.00,"1,4","16,7","1,8","120,5","0,3","2,2"
14/01/2014 6.00,"1,4","25,7","7,3","120,5","0,3","6,9"
14/01/2014 7.00,"1,3","80,9","27,8","120,5","0,5","54,8"
14/01/2014 8.00,"1,5","84,8","32,2","120,5","0,4","56,9"
14/01/2014 9.00,"1,2","50,2","26,0","120,5","0,4","35,2"
14/01/2014 10.00,"1,0","22,7","6,8","120,5","0,3","9,8"
14/01/2014 11.00,"0,8","18,1","3,0","120,5","0,3","6,5"
14/01/2014 12.00,"0,7","16,4","2,9","120,5","0,2","5,7"
14/01/2014 13.00,"0,7","14,7","2,0","120,5","0,2","9,8"
14/01/2014 14.00,"0,9","16,7","2,9","120,5","0,2","9,8"
14/01/2014 15.00,"1,0","15,3","2,0","120,5","0,2","9,5"
14/01/2014 16.00,"0,9","29,9","10,1","120,5","0,5","51,2"
14/01/2014 17.00,"5,7","142,3","80,3","120,5","6,3","371,7"
14/01/2014 18.00,"2,6","27,1","9,6","120,5","1,5","58,1"
14/01/2014 19.00,"1,6","20,5","5,0","120,5","0,6","9,4"
14/01/2014 20.00,"1,2","18,5","4,2","120,5","0,4","10,6"
14/01/2014 21.00,"0,9","17,4","3,5","120,5","0,3","7,3"
14/01/2014 22.00,"0,8","15,7","2,2","120,5","0,3","5,7"
14/01/2014 23.00,"0,8","14,3","1,1","120,5","0,2","3,5"
15/01/2014 0.00,"0,7",,,"120,5","0,3","3,3"
15/01/2014 1.00,"0,8","10,9",,"55,6","0,2","1,8"
15/01/2014 2.00,"0,7","10,8",,"55,6","0,2","1,5"
15/01/2014 3.00,"0,7","11,0",,"55,6","0,2","1,3"
15/01/2014 4.00,"0,9",,,"55,6","0,2","1,2"
15/01/2014 5.00,"0,9",,,"55,6","0,2","1,5"
15/01/2014 6.00,"0,9","14,1","1,6","55,6","0,2","3,5"
15/01/2014 7.00,"0,9","18,9","5,9","55,6","0,2","8,8"
15/01/2014 8.00,"1,1","45,7","25,8","55,6","0,3","29,3"
15/01/2014 9.00,"1,0","55,1","32,9","55,6","0,3","32,9"
15/01/2014 10.00,"1,3","51,0","23,2","55,6","1,3","101,9"
15/01/2014 11.00,"2,0","31,7","13,4","55,6","1,9","72,6"
15/01/2014 12.00,"1,2","13,2","0,9","55,6","0,6","7,7"
15/01/2014 13.00,"0,9","12,4","0,6","55,6","0,2","3,0"
15/01/2014 14.00,"1,2","12,0","0,9","55,6","0,2","2,7"
15/01/2014 15.00,"0,9","23,0","9,8","55,6","0,1","3,0"
15/01/2014 16.00,"0,9","28,4","13,8","55,6","0,2","10,4"
15/01/2014 17.00,"1,3","44,6","26,7","55,6","0,3","26,8"
15/01/2014 18.00,"1,3","123,5","49,5","55,6","0,6","114,9"
15/01/2014 19.00,"1,1","39,1","22,7","55,6","0,3","14,9"
15/01/2014 20.00,"1,1","26,6","13,8","55,6","0,2","2,1"
15/01/2014 21.00,"1,1","24,6","12,8","55,6","0,2","2,1"
15/01/2014 22.00,"1,3","26,5","14,3","55,6","0,2","2,2"
15/01/2014 23.00,"1,4","20,8","9,3","55,6","0,2","2,0"
