"NetC","SIMAGE Brindisi","","","","","","","","","","","","",""
"Stat","Francavilla F.na Via F.Filzi","","","","","","","","","","","","",""
,NOX,NO2,CO,O3,SO2,Benzene
20/01/2011 0.00,,,"0,3","39,4",8,"1,3"
20/01/2011 1.00,,,"0,2","38,4","7,9",1
20/01/2011 2.00,,,"0,2","34,4","7,5","0,9"
20/01/2011 3.00,,,,37,"7,2","0,8"
20/01/2011 4.00,,,"0,1","43,3",,"0,8"
20/01/2011 5.00,,,0,,"4,9","0,6"
20/01/2011 6.00,,,0,"41,4","2,8","0,6"
20/01/2011 7.00,,,"0,1","45,6",2,"0,6"
20/01/2011 8.00,,,"0,2","17,9","1,9","0,8"
20/01/2011 9.00,,,1,"12,3","2,4","1,1"
20/01/2011 10.00,,,"0,4","37,9","2,3","3,1"
20/01/2011 11.00,,,"0,3","43,8","2,8","1,1"
20/01/2011 12.00,,,"0,2","41,9","2,5",1
20/01/2011 13.00,,,"0,3","45,9",,"1,9"
20/01/2011 14.00,,,"0,4","50,2",,"1,5"
20/01/2011 15.00,,,0,"58,6","3,1","1,2"
20/01/2011 16.00,,,"0,1",52,"3,5","1,1"
20/01/2011 17.00,,,"0,1","46,6","2,9","1,8"
20/01/2011 18.00,,,"0,3","34,9",3,"1,7"
20/01/2011 19.00,,,"0,4","26,9","3,7","2,2"
20/01/2011 20.00,,,"0,4","22,8","4,8","2,3"
20/01/2011 21.00,,,"0,3","22,1","5,3",2
20/01/2011 22.00,,,"0,1","23,6","5,9","1,9"
20/01/2011 23.00,,,"0,1","29,6","5,6","1,2"
21/01/2011 0.00,,,"0,1","32,7","5,9","1,1"
21/01/2011 1.00,,,0,"37,9","5,5","0,7"
21/01/2011 2.00,,,"0,1",46,"5,2","0,6"
21/01/2011 3.00,,,"0,2","43,5","4,3","0,4"
21/01/2011 4.00,,,"0,1","37,1","3,8","0,4"
21/01/2011 5.00,,,"0,1","38,4",2,"0,4"
21/01/2011 6.00,,,"0,1","31,6","1,1","0,4"
21/01/2011 7.00,,,"0,2","19,9","0,6","0,5"
21/01/2011 8.00,,,"0,4",6,"0,7","0,7"
21/01/2011 9.00,,,"0,3","10,6","0,3","0,7"
21/01/2011 10.00,,,"0,2","15,1","0,4","1,1"
21/01/2011 11.00,,,"0,2","26,8","0,2","0,7"
21/01/2011 12.00,,,"0,2","31,2","0,5","0,8"
21/01/2011 13.00,,,"0,3","45,6","0,5","0,9"
21/01/2011 14.00,,,"0,2","48,7","0,5","1,4"
21/01/2011 15.00,,,"0,1","47,6","0,5",1
21/01/2011 16.00,,,"0,1","40,5","0,7","1,1"
21/01/2011 17.00,,,"0,2","40,6","1,1","1,5"
21/01/2011 18.00,,,"0,2","39,6",2,"1,8"
21/01/2011 19.00,,,"0,2","36,1","2,1","1,6"
21/01/2011 20.00,,,"0,1","31,8","2,7","1,6"
21/01/2011 21.00,,,"0,2","33,2","2,5","1,3"
21/01/2011 22.00,,,"0,1","35,6",3,"1,1"
21/01/2011 23.00,,,"0,1","36,8","2,9","1,2"
22/01/2011 0.00,,,0,"40,8","2,9","0,7"
22/01/2011 1.00,,,0,"45,3","2,4","0,6"
22/01/2011 2.00,,,0,"42,6","1,6","0,5"
22/01/2011 3.00,,,,"43,6","1,5","0,5"
22/01/2011 4.00,,,0,"43,3",,"0,5"
22/01/2011 5.00,,,0,,"1,5","0,4"
22/01/2011 6.00,,,0,"41,9","1,9","0,4"
22/01/2011 7.00,,,0,"33,4","1,7","0,5"
22/01/2011 8.00,,,"0,1",28,"1,2","0,5"
22/01/2011 9.00,,,"0,1","22,7","1,4","0,7"
22/01/2011 10.00,,,"0,1","28,6","1,2","0,9"
22/01/2011 11.00,,,"0,1",40,"1,6","0,9"
22/01/2011 12.00,,,"0,1","40,5","2,3","0,8"
22/01/2011 13.00,,,"0,1","54,2","2,2","1,4"
22/01/2011 14.00,,,"0,2","57,1","2,5","1,2"
22/01/2011 15.00,,,0,"62,7","2,8","1,2"
22/01/2011 16.00,,,"0,1",61,"2,9","0,7"
22/01/2011 17.00,,,"0,2","57,2",3,"1,2"
22/01/2011 18.00,,,"0,6","33,9",4,"1,8"
22/01/2011 19.00,,,"0,4","31,9","4,8","2,9"
22/01/2011 20.00,,,"0,1","48,9","5,5","1,8"
22/01/2011 21.00,,,"0,1","47,7","6,6",1
22/01/2011 22.00,,,"0,1","54,6","6,2","1,3"
22/01/2011 23.00,,,,70,"5,5","0,7"
23/01/2011 0.00,,,,"70,3","5,2","0,5"
23/01/2011 1.00,,,,"60,4","4,9","0,5"
23/01/2011 2.00,,,,"58,5","4,6","0,4"
23/01/2011 3.00,,,,"50,2","3,9","0,4"
23/01/2011 4.00,,,,50,"3,4","0,4"
23/01/2011 5.00,,,,"48,5","2,5","0,4"
23/01/2011 6.00,,,,"48,3",2,"0,5"
23/01/2011 7.00,,,,"39,6","1,4","0,5"
23/01/2011 8.00,,,,"42,3","1,3","0,6"
23/01/2011 9.00,,,,"44,9","1,1","0,6"
23/01/2011 10.00,,,"0,1","46,6","1,1","0,8"
23/01/2011 11.00,,,"0,1","50,8","1,1","0,9"
23/01/2011 12.00,,,"0,1","53,1","1,3",1
23/01/2011 13.00,,,"0,1","55,3","1,4","1,1"
23/01/2011 14.00,,,,"56,9","1,7","1,1"
23/01/2011 15.00,,,,62,2,1
23/01/2011 16.00,,,"0,1","61,2",2,"0,9"
23/01/2011 17.00,,,"0,2","52,6","2,1","1,2"
23/01/2011 18.00,,,"0,2","41,5","2,3","1,6"
23/01/2011 19.00,,,"0,2","35,1","2,5","1,9"
23/01/2011 20.00,,,"0,3","29,5","3,2","1,8"
23/01/2011 21.00,,,"0,2","26,3","3,4","1,6"
23/01/2011 22.00,,,"0,2","22,5","3,2","1,5"
23/01/2011 23.00,,,,"30,3","3,9","1,3"
24/01/2011 0.00,,,,"35,8","3,6","0,9"
24/01/2011 1.00,,,0,"45,9","3,4","0,7"
24/01/2011 2.00,,,0,"50,6","3,1","0,5"
24/01/2011 3.00,,,,"52,9","2,6","0,5"
24/01/2011 4.00,,,"0,1","43,1",,"0,5"
24/01/2011 5.00,,,"0,2",,"2,6","0,5"
24/01/2011 6.00,,,"0,1","35,9","3,3","0,6"
24/01/2011 7.00,,,"0,2","25,1","2,9","0,7"
24/01/2011 8.00,,,"0,4","11,9","3,2","0,9"
24/01/2011 9.00,,,"0,9","12,7","3,7","1,2"
24/01/2011 10.00,,,"0,6","17,8","4,1","1,9"
24/01/2011 11.00,,,"0,3","40,7","4,4","1,4"
24/01/2011 12.00,,,"0,1","62,6","3,9","0,7"
24/01/2011 13.00,,,"0,3","58,3","4,2","0,6"
24/01/2011 14.00,,,"0,3","50,4","4,5","1,5"
24/01/2011 15.00,,,0,"63,6","5,2","1,3"
24/01/2011 16.00,,,0,"64,7","4,5","0,8"
24/01/2011 17.00,,,0,"59,5","3,2","1,2"
24/01/2011 18.00,,,"0,1","45,9","2,1","1,4"
24/01/2011 19.00,,,"0,1","32,3","2,7","2,1"
24/01/2011 20.00,,,0,"42,5","3,1","1,6"
24/01/2011 21.00,,,0,"29,1","3,6","1,6"
24/01/2011 22.00,,,"0,1","24,6","4,3","2,1"
24/01/2011 23.00,,,0,"38,6","4,3","1,7"
25/01/2011 0.00,,,0,"45,4","4,4","0,7"
25/01/2011 1.00,,,0,"58,5","3,9","0,6"
25/01/2011 2.00,,,0,"57,3","3,9","0,4"
25/01/2011 3.00,,,"0,1","57,5",3,"0,3"
25/01/2011 4.00,,,"0,1","64,4","2,6","1,3"
25/01/2011 5.00,,,"0,1","66,1",2,"0,3"
25/01/2011 6.00,,,"0,1","63,3","1,1","0,3"
25/01/2011 7.00,,,"0,1",56,"0,8","0,3"
25/01/2011 8.00,,,"0,2","43,3","0,5","0,4"
25/01/2011 9.00,,,"0,4","39,7","0,5","0,6"
25/01/2011 10.00,,,"0,3","51,3","0,6","0,8"
25/01/2011 11.00,,,"0,2","71,3","0,7","0,6"
25/01/2011 12.00,,,"0,2","75,8","0,9","0,6"
25/01/2011 13.00,,,"0,2","79,1","1,1","0,6"
25/01/2011 14.00,,,"0,1","79,1","0,9","0,7"
25/01/2011 15.00,,,"0,1","80,9","0,9","0,8"
25/01/2011 16.00,,,"0,1","77,4","0,8",1
25/01/2011 17.00,,,"0,1","74,9","2,1","1,2"
25/01/2011 18.00,,,"0,5","63,5","3,7","1,7"
25/01/2011 19.00,,,"0,6","43,7","4,6","2,9"
25/01/2011 20.00,,,"1,1","31,3","6,5","3,3"
25/01/2011 21.00,,,"1,8","33,5",9,"4,8"
25/01/2011 22.00,,,"1,4","26,2","10,1","5,7"
25/01/2011 23.00,,,"0,9","18,9","10,8","3,5"
26/01/2011 0.00,,,"0,5","26,2","11,1","2,2"
26/01/2011 1.00,,,"0,3",36,11,"1,1"
26/01/2011 2.00,,,"0,2","38,4","10,5","0,7"
26/01/2011 3.00,,,,"41,2","9,9","0,6"
26/01/2011 4.00,,,"0,1","31,2",,"0,5"
26/01/2011 5.00,,,"0,1",,"6,8",1
26/01/2011 6.00,,,"0,4","9,9","4,6","1,2"
26/01/2011 7.00,,,1,"8,1","6,7","1,5"
26/01/2011 8.00,,,"2,4","6,3","6,6","3,8"
26/01/2011 9.00,,,"3,3","12,6",9,"7,5"
26/01/2011 10.00,,,"0,4","34,7","7,5","4,5"
26/01/2011 11.00,,,"0,1","51,5","7,8","1,4"
26/01/2011 12.00,,,"0,1","61,5","7,1","1,2"
26/01/2011 13.00,,,"0,1","64,2","5,8","0,9"
26/01/2011 14.00,,,"0,2","65,9","5,4","1,2"
26/01/2011 15.00,,,"0,1","73,1","4,6",1
26/01/2011 16.00,,,"0,1","63,1","4,2","1,1"
26/01/2011 17.00,,,"0,4",60,"3,1","1,4"
26/01/2011 18.00,,,"0,8","40,2","3,2","2,9"
26/01/2011 19.00,,,1,30,"4,1","4,4"
26/01/2011 20.00,,,"0,6","28,2",5,"3,4"
26/01/2011 21.00,,,"0,3","36,7","6,8","2,4"
26/01/2011 22.00,,,"0,1","37,8",7,"1,8"
26/01/2011 23.00,,,0,"54,6","7,3","1,3"
27/01/2011 0.00,,,0,"67,2","6,9","0,8"
27/01/2011 1.00,,,0,"60,3","6,7","0,5"
27/01/2011 2.00,,,0,"62,5","5,4","0,4"
27/01/2011 3.00,,,"0,2","58,9","3,9","0,3"
27/01/2011 4.00,,,"0,1","63,1","3,1","0,3"
27/01/2011 5.00,,,"0,1","68,9","2,7","0,3"
27/01/2011 6.00,,,0,"70,3","1,9","0,3"
27/01/2011 7.00,,,"0,1","57,8","1,3","0,3"
27/01/2011 8.00,,,"0,6","34,5",1,"0,4"
27/01/2011 9.00,,,"0,4","31,3","1,2",1
27/01/2011 10.00,,,"0,4","42,1","1,2","0,8"
27/01/2011 11.00,,,"0,3",49,"1,4","0,8"
27/01/2011 12.00,,,"0,4","47,6","1,2","0,8"
27/01/2011 13.00,,,"0,5","48,4","1,7",1
27/01/2011 14.00,,,"0,3","46,5","1,8","1,2"
27/01/2011 15.00,,,,"57,3",2,"1,3"
27/01/2011 16.00,,,,"63,8","2,8","1,1"
27/01/2011 17.00,,,,"62,5",3,"1,1"
27/01/2011 18.00,,,,"60,5",4,"1,3"
27/01/2011 19.00,,,,"56,7","3,7","0,9"
27/01/2011 20.00,,,,"58,7",4,1
27/01/2011 21.00,,,,"58,8","3,7","0,8"
27/01/2011 22.00,,,,"63,7","3,7","0,5"
27/01/2011 23.00,,,,"68,8","3,5","0,5"
28/01/2011 0.00,,,,"71,7","3,2","0,4"
28/01/2011 1.00,,,,"76,2","2,9","0,3"
28/01/2011 2.00,,,,"76,5","2,7","0,3"
28/01/2011 3.00,,,,"80,3","2,1","0,3"
28/01/2011 4.00,,,"0,1","79,2",,"0,3"
28/01/2011 5.00,,,"0,2",,"1,3","0,3"
28/01/2011 6.00,,,"0,2","79,3","1,2","0,3"
28/01/2011 7.00,,,"0,2","80,3","0,9","0,3"
28/01/2011 8.00,,,"0,2","79,2",1,"0,3"
28/01/2011 9.00,,,"0,3","73,2","0,7","0,3"
28/01/2011 10.00,,,"0,2","74,2","0,7","0,5"
28/01/2011 11.00,,,"0,2","70,3","0,8","0,5"
28/01/2011 12.00,,,"0,3",70,"0,9","0,6"
28/01/2011 13.00,,,"0,5",67,"1,1","0,9"
28/01/2011 14.00,,,"0,3","68,3","1,7","1,1"
28/01/2011 15.00,,,"0,3","68,9","1,9",1
28/01/2011 16.00,,,"0,4","66,3","2,6","1,2"
28/01/2011 17.00,,,"0,4","61,8","2,6","1,1"
28/01/2011 18.00,,,"0,5","57,4","2,7","1,4"
28/01/2011 19.00,,,"0,6","51,9","3,3","1,5"
28/01/2011 20.00,,,"0,5","45,6",4,"1,5"
28/01/2011 21.00,,,"0,6","44,4",4,"1,6"
28/01/2011 22.00,,,"0,4","48,6","4,7","1,4"
28/01/2011 23.00,,,"0,5","45,9","4,7","1,1"
29/01/2011 0.00,,,"0,4",46,"4,4",1
29/01/2011 1.00,,,"0,2","52,4","4,5","0,6"
29/01/2011 2.00,,,"0,2","53,2","4,2","0,5"
29/01/2011 3.00,,,0,"57,8","3,7","0,4"
29/01/2011 4.00,,,"0,1","49,3","3,2","0,4"
29/01/2011 5.00,,,"0,1","43,2","2,1","0,4"
29/01/2011 6.00,,,0,"41,1","1,5","0,5"
29/01/2011 7.00,,,"0,1","33,9","0,9","0,5"
29/01/2011 8.00,,,"0,2","33,1","0,8","0,7"
29/01/2011 9.00,,,"0,1","35,8",1,"0,9"
29/01/2011 10.00,,,"0,1","59,9","0,8","0,9"
29/01/2011 11.00,,,0,"77,1","0,7","0,6"
29/01/2011 12.00,,,0,"76,7","0,6","0,5"
29/01/2011 13.00,,,"0,1",78,"0,6","0,6"
29/01/2011 14.00,,,"0,1","78,3","0,6","0,9"
29/01/2011 15.00,,,"0,2","80,5","0,6","0,7"
29/01/2011 16.00,,,"0,2","77,3","0,7","0,9"
29/01/2011 17.00,,,"0,3","72,5","2,3",1
29/01/2011 18.00,,,"0,5","56,2","4,4","1,6"
29/01/2011 19.00,,,"0,6","49,5","4,9","2,6"
29/01/2011 20.00,,,"0,6","37,7","6,7","2,8"
29/01/2011 21.00,,,"0,7","37,2","7,2",2
29/01/2011 22.00,,,"0,5","33,5","8,1","1,7"
29/01/2011 23.00,,,"0,2","38,7","8,3","1,2"
30/01/2011 0.00,,,"0,1","42,4","8,6","0,6"
30/01/2011 1.00,,,"0,1",43,"8,2","0,6"
30/01/2011 2.00,,,"0,1","44,1","8,1","0,4"
30/01/2011 3.00,,,,"35,4","7,7","0,5"
30/01/2011 4.00,,,0,"33,5",,"0,5"
30/01/2011 5.00,,,0,,"4,8","0,4"
30/01/2011 6.00,,,0,"36,2","2,7","0,4"
30/01/2011 7.00,,,0,"34,4","2,4","0,5"
30/01/2011 8.00,,,0,"39,5",2,"0,4"
30/01/2011 9.00,,,"0,1","38,3","1,9","0,5"
30/01/2011 10.00,,,"0,1","41,3","2,1","0,9"
30/01/2011 11.00,,,"0,2","47,4","2,3","1,1"
30/01/2011 12.00,,,"0,3","51,4",3,"1,7"
30/01/2011 13.00,,,"0,3","51,5","3,1","1,6"
30/01/2011 14.00,,,"0,3","54,7","3,7","2,3"
30/01/2011 15.00,,,"0,1","60,9","4,5","1,6"
30/01/2011 16.00,,,"0,3","55,4","5,5","2,1"
30/01/2011 17.00,,,"0,2","46,6","5,4","2,5"
30/01/2011 18.00,,,"0,1","36,8","5,3","2,5"
30/01/2011 19.00,,,"0,1","33,3","6,2","2,4"
30/01/2011 20.00,,,"0,3","28,8","7,5",2
30/01/2011 21.00,,,"0,3","16,1","8,4","3,3"
30/01/2011 22.00,,,"0,1",17,"9,1",2
30/01/2011 23.00,,,"0,1","21,2","9,1",2
31/01/2011 0.00,,,"0,1","19,9","9,3","1,7"
31/01/2011 1.00,,,,"20,9","9,5","1,7"
31/01/2011 2.00,,,,"13,9","8,7","1,4"
31/01/2011 3.00,,,,"17,4","8,5","1,4"
31/01/2011 4.00,,,,"28,9","8,1",1
31/01/2011 5.00,,,,"40,2","4,4","0,7"
31/01/2011 6.00,,,,"42,7","1,5","0,6"
31/01/2011 7.00,,,,"45,1","0,8","0,5"
31/01/2011 8.00,,,,"16,9","0,7","0,7"
31/01/2011 9.00,,,,"17,9","0,8","1,3"
31/01/2011 10.00,,,,"23,7","0,6",1
31/01/2011 11.00,,,,"28,1","0,4","1,1"
31/01/2011 12.00,,,,"42,6","0,5","0,8"
31/01/2011 13.00,,,,52,"0,5","1,5"
31/01/2011 14.00,,,,"58,7","0,4",1
31/01/2011 15.00,,,,"63,5","0,6",1
31/01/2011 16.00,,,,"64,2","0,5","1,1"
31/01/2011 17.00,,,,62,"2,4","1,2"
31/01/2011 18.00,,,0,"52,2","4,7","1,7"
31/01/2011 19.00,,,"0,3","37,8","5,6",2
31/01/2011 20.00,,,"0,2","27,6","7,2","2,6"
31/01/2011 21.00,,,"0,3","25,8","7,6","2,7"
31/01/2011 22.00,,,"0,2",29,"8,5","2,4"
31/01/2011 23.00,,,"0,1","32,8","8,8","1,9"
01/02/2011 0.00,,,0,"40,1","8,1","1,3"
01/02/2011 1.00,,,0,"43,1",8,"0,7"
01/02/2011 2.00,,,0,"52,2","7,9","0,5"
01/02/2011 3.00,,,,"51,6","6,8","0,5"
01/02/2011 4.00,,,"0,2",51,,"0,5"
01/02/2011 5.00,,,"0,1",,"3,5","0,5"
01/02/2011 6.00,,,"0,1","50,7","1,3","0,4"
01/02/2011 7.00,,,"0,2","38,5","0,9","0,5"
01/02/2011 8.00,,,"0,3","30,6","0,6","0,5"
01/02/2011 9.00,,,"0,5","31,5","0,4","0,8"
01/02/2011 10.00,,,"0,3","47,6","0,5","1,2"
01/02/2011 11.00,,,"0,1","63,7","0,5","0,7"
01/02/2011 12.00,,,"0,2","78,2","0,2","0,5"
01/02/2011 13.00,,,"0,1","86,4",0,"0,5"
01/02/2011 14.00,,,"0,2","82,2","0,2","0,7"
01/02/2011 15.00,,,"0,1","81,7","0,1","0,8"
01/02/2011 16.00,,,"0,1","80,2","0,1","0,7"
01/02/2011 17.00,,,"0,2","74,7","1,4","0,9"
01/02/2011 18.00,,,"0,6","59,1","3,4","1,5"
01/02/2011 19.00,,,"0,7","43,6","5,6","3,1"
01/02/2011 20.00,,,"0,7","32,9","6,7","3,2"
01/02/2011 21.00,,,"0,8","30,7","8,4","2,9"
01/02/2011 22.00,,,1,"27,6","9,8","3,4"
01/02/2011 23.00,,,"0,5","32,6",10,"2,7"
02/02/2011 0.00,,,"0,3","35,3","10,1","1,7"
02/02/2011 1.00,,,"0,1","39,7","9,8",1
02/02/2011 2.00,,,"0,1","44,7","9,7","0,8"
02/02/2011 3.00,,,"0,1","49,7","9,1","0,7"
02/02/2011 4.00,,,0,"56,2","8,7","0,5"
02/02/2011 5.00,,,"0,1","55,2","5,4","0,5"
02/02/2011 6.00,,,0,53,"2,8","0,5"
02/02/2011 7.00,,,"0,2","35,3","2,1","0,5"
02/02/2011 8.00,,,"0,1","30,1","1,8","0,6"
02/02/2011 9.00,,,"0,4","16,2","1,8",1
02/02/2011 10.00,,,"0,1","33,9","1,6","1,5"
02/02/2011 11.00,,,"0,1","54,2","1,7","1,1"
02/02/2011 12.00,,,0,"63,5","1,5","0,9"
02/02/2011 13.00,,,0,"75,4","1,6","0,7"
02/02/2011 14.00,,,"0,1","73,1","1,9","0,4"
02/02/2011 15.00,,,"0,1","75,4","1,5","1,2"
02/02/2011 16.00,,,"0,1","75,5","1,4","1,4"
02/02/2011 17.00,,,"0,3","68,5","2,7","1,6"
02/02/2011 18.00,,,"0,5","58,4","4,7","2,5"
02/02/2011 19.00,,,"0,6","51,9","6,4","3,3"
02/02/2011 20.00,,,"0,6","46,3","8,1","3,1"
02/02/2011 21.00,,,"0,2","59,7","8,3","2,6"
02/02/2011 22.00,,,"0,2","63,5","9,1","1,7"
02/02/2011 23.00,,,"0,2","72,5","8,4","1,4"
03/02/2011 0.00,,,"0,1","70,4","8,3","1,1"
03/02/2011 1.00,,,0,"69,7",8,"0,8"
03/02/2011 2.00,,,"0,1","76,2",7,"0,5"
03/02/2011 3.00,,,,"80,3","6,2","0,4"
03/02/2011 4.00,,,"0,2","80,8",,"0,4"
03/02/2011 5.00,,,"0,1",,"3,7","0,4"
03/02/2011 6.00,,,"0,2","81,7","1,9","0,4"
03/02/2011 7.00,,,"0,1",72,"1,2","0,5"
03/02/2011 8.00,,,"0,2","61,2","0,8","0,5"
03/02/2011 9.00,,,"0,1","69,3","1,4","0,4"
03/02/2011 10.00,,,"0,1","72,5","1,2","0,5"
03/02/2011 11.00,,,"0,1","72,8","1,2","0,6"
03/02/2011 12.00,,,"0,1","82,8","0,9","0,5"
03/02/2011 13.00,,,"0,2","83,8","1,1","0,8"
03/02/2011 14.00,,,"0,2","81,2","1,2","0,7"
03/02/2011 15.00,,,"0,2","84,1",,1
03/02/2011 16.00,,,"0,2","83,4","3,5","0,8"
03/02/2011 17.00,,,"0,3","85,9","4,1",1
03/02/2011 18.00,,,"0,3","75,5","4,7","1,1"
03/02/2011 19.00,,,"0,3","76,7","5,4","1,4"
03/02/2011 20.00,,,"0,3","72,1","5,8","1,5"
03/02/2011 21.00,,,"0,5","69,3",6,"1,5"
03/02/2011 22.00,,,"0,2","75,7",7,"1,1"
03/02/2011 23.00,,,"0,2","74,9","6,4","0,9"
04/02/2011 0.00,,,"0,1","84,7","6,8","0,6"
04/02/2011 1.00,,,"0,1","79,4","5,9","0,5"
04/02/2011 2.00,,,0,"80,8","5,5","0,5"
04/02/2011 3.00,,,"0,1","79,5","4,9","0,5"
04/02/2011 4.00,,,0,"81,7","4,8","0,4"
04/02/2011 5.00,,,0,84,"3,3","0,4"
04/02/2011 6.00,,,0,"81,7","2,2","0,4"
04/02/2011 7.00,,,0,84,"1,9","0,4"
04/02/2011 8.00,,,0,"82,3",2,"0,3"
04/02/2011 9.00,,,"0,1","65,5","1,8","0,6"
04/02/2011 10.00,,,0,"63,1","1,5","0,7"
04/02/2011 11.00,,,"0,1","74,2","1,9","0,7"
04/02/2011 12.00,,,"0,1","84,6","2,1","0,8"
04/02/2011 13.00,,,"0,1","83,9","2,4","0,8"
04/02/2011 14.00,,,"0,2","77,7","2,5","1,1"
04/02/2011 15.00,,,"0,3","78,7","2,5",1
04/02/2011 16.00,,,"0,4","78,1","2,7",1
04/02/2011 17.00,,,"0,3","79,1","3,3","1,1"
04/02/2011 18.00,,,"0,5",77,"3,4","1,2"
04/02/2011 19.00,,,"0,4","73,4","3,7","1,3"
04/02/2011 20.00,,,"0,3","73,1","4,2","1,5"
04/02/2011 21.00,,,"0,2","65,1","4,8",1
04/02/2011 22.00,,,"0,2","57,5","5,4","0,8"
04/02/2011 23.00,,,"0,3",52,"5,3","0,7"
05/02/2011 0.00,,,"0,2",58,"5,5","0,6"
05/02/2011 1.00,,,"0,2","55,9","4,8","0,4"
05/02/2011 2.00,,,"0,2","60,4","4,9","0,4"
05/02/2011 3.00,,,,"62,4","4,3","0,3"
05/02/2011 4.00,,,"0,1","63,1",,"0,3"
05/02/2011 5.00,,,"0,1",,"2,6","0,3"
05/02/2011 6.00,,,"0,1","62,2","2,1","0,3"
05/02/2011 7.00,,,"0,1","58,7","1,7","0,3"
05/02/2011 8.00,,,"0,1","49,2","1,9","0,4"
05/02/2011 9.00,,,"0,2",49,"1,6","0,6"
05/02/2011 10.00,,,"0,1","60,4","1,6","0,5"
05/02/2011 11.00,,,"0,1",71,"1,8","0,5"
05/02/2011 12.00,,,"0,1","74,4",2,"0,5"
05/02/2011 13.00,,,"0,2","79,8","1,8","0,5"
05/02/2011 14.00,,,"0,1","85,2","2,2","0,6"
05/02/2011 15.00,,,"0,1","89,2","2,4","0,6"
05/02/2011 16.00,,,"0,1","88,2","2,4","0,9"
05/02/2011 17.00,,,"0,1","82,9","2,7","0,8"
05/02/2011 18.00,,,"0,3","69,6","3,8","1,4"
05/02/2011 19.00,,,"0,5","50,8","4,6","2,7"
05/02/2011 20.00,,,"0,6","28,6","6,6","2,6"
05/02/2011 21.00,,,1,"18,1","8,3","3,1"
05/02/2011 22.00,,,"0,6",22,9,"2,9"
05/02/2011 23.00,,,"0,4","28,5","9,7","2,3"
06/02/2011 0.00,,,"0,2","36,5","9,9","1,6"
06/02/2011 1.00,,,0,"48,9","9,3",1
06/02/2011 2.00,,,0,53,"9,2","0,7"
06/02/2011 3.00,,,0,"70,6","8,4","0,5"
06/02/2011 4.00,,,0,"70,7","7,6","0,3"
06/02/2011 5.00,,,0,67,"4,9","0,4"
06/02/2011 6.00,,,0,"71,9",2,"0,3"
06/02/2011 7.00,,,0,"59,2","1,3","0,4"
06/02/2011 8.00,,,"0,2",42,1,"0,5"
06/02/2011 9.00,,,"0,1","61,2","0,9","1,2"
06/02/2011 10.00,,,0,75,"0,7","0,7"
06/02/2011 11.00,,,0,"91,4","0,8","0,5"
06/02/2011 12.00,,,0,"96,7","0,7","0,5"
06/02/2011 13.00,,,"0,1","101,2","0,7","0,6"
06/02/2011 14.00,,,0,"105,6","0,6","0,8"
06/02/2011 15.00,,,0,"111,1","0,5","0,6"
06/02/2011 16.00,,,0,"108,7","0,1","0,5"
06/02/2011 17.00,,,0,"107,9","1,8","0,6"
06/02/2011 18.00,,,0,"102,9","3,2","0,7"
06/02/2011 19.00,,,0,"101,8",3,"0,8"
06/02/2011 20.00,,,0,"99,2","3,4","0,9"
06/02/2011 21.00,,,0,"96,9","3,7",1
06/02/2011 22.00,,,0,"94,2","3,3","0,8"
06/02/2011 23.00,,,0,"98,3","3,6","0,6"
07/02/2011 0.00,,,0,"104,9","3,2","0,4"
07/02/2011 1.00,,,0,"107,1","3,1","0,3"
07/02/2011 2.00,,,0,"107,9","3,2","0,3"
07/02/2011 3.00,,,,"98,9","2,9","0,3"
07/02/2011 4.00,,,,"90,4",,"0,3"
07/02/2011 5.00,,,"0,3",,"2,9","0,3"
07/02/2011 6.00,,,"0,2","73,6","3,1","0,4"
07/02/2011 7.00,,,"0,2","76,4","3,2","0,4"
07/02/2011 8.00,,,"0,1","75,4","3,3","0,4"
07/02/2011 9.00,,,"0,3","69,9","3,1","0,5"
07/02/2011 10.00,,,"0,2","74,3","3,2","0,6"
07/02/2011 11.00,,,"0,4","80,9","3,8","0,7"
07/02/2011 12.00,,,"0,3","87,7","4,2","0,7"
07/02/2011 13.00,,,"0,3","89,7","4,5","0,6"
07/02/2011 14.00,,,"0,3","91,8","4,6","0,6"
07/02/2011 15.00,,,"0,2","102,1",5,"0,9"
07/02/2011 16.00,,,"0,2","106,9","4,9","0,6"
07/02/2011 17.00,,,"0,2","108,5","4,3","0,7"
07/02/2011 18.00,,,"0,2","99,8","4,9","0,9"
07/02/2011 19.00,,,"0,4","97,3","5,2","1,6"
07/02/2011 20.00,,,"0,4","96,7","5,2","1,4"
07/02/2011 21.00,,,"0,4","81,6","6,8","1,5"
07/02/2011 22.00,,,"0,7","72,8","6,9","2,2"
07/02/2011 23.00,,,"0,4","79,6","7,2","1,4"
08/02/2011 0.00,,,"0,3","87,2","7,2","0,9"
08/02/2011 1.00,,,"0,1","90,1","7,2","0,5"
08/02/2011 2.00,,,"0,1","93,9","6,8","0,4"
08/02/2011 3.00,,,"0,1",98,"6,7","0,3"
08/02/2011 4.00,,,"0,1","80,9","6,2","0,3"
08/02/2011 5.00,,,"0,1","71,3","4,9","0,4"
08/02/2011 6.00,,,"0,2","65,2","4,6","0,5"
08/02/2011 7.00,,,"0,2","61,5","4,4","0,5"
08/02/2011 8.00,,,"0,3","37,5","4,6","0,7"
08/02/2011 9.00,,,1,"19,7","6,1","1,5"
08/02/2011 10.00,,,"1,4","35,4","6,3","2,9"
