,Provincia di Lecce,,,,,,
,Campi Salentina,,,,,,
Parm,NOX,NO2,PM10,PM2.5,CO,O3,BENZENE



08/01/2010 18.00,"4,78826749","3,92200721","35,11598969","7,61904812","0,1789941","87,78492765","0,42433511"
08/01/2010 19.00,"5,10845866","3,88226055","35,11598969","7,61904812","0,16863608","88,58145135","0,42785902"
08/01/2010 20.00,"4,73152506","3,63079814","35,11598969","7,61904812","0,15326391","88,67605425","0,41618793"
08/01/2010 21.00,"4,31568418","3,50019898","35,11598969","7,61904812","0,18365759","91,7489328","0,41618793"
08/01/2010 22.00,"3,66071138","2,94211486","35,11598969","7,61904812","0,16469489","92,7262035","0,43600621"
08/01/2010 23.00,"2,9522389","2,41242011","35,11598969","7,61904812","0,17114549","93,33521715","0,40451684"
09/01/2010 0.00,"3,30323238","2,37186086","35,11598969","7,61904812","0,14369809","93,51005895","0,28318365"
09/01/2010 1.00,"3,0170882","2,28182095","53,23564148","13,43101025","0,16010945","94,6647051","0,07927413"
09/01/2010 2.00,"2,92224535","2,29074426","53,23564148","13,43101025","0,15280373","93,6426666","0,07927413"
09/01/2010 3.00,"2,97736831","2,25180829","53,23564148","13,43101025","0,16569795","91,91194425","0,2180031"
09/01/2010 4.00,"2,62556222","2,14960042","53,23564148","13,43101025","0,16217266","88,338201","0,23782138"
09/01/2010 5.00,"2,64907026","1,572859","53,23564148","13,43101025","0,14058871","84,7872207","0,07927413"
09/01/2010 6.00,"3,22865674","2,29561221","53,23564148","13,43101025","0,13678731","81,62480655","0,07927413"
09/01/2010 7.00,"3,33322593","2,44486675","53,23564148","13,43101025","0,13829715","77,4310572","0,07927413"
09/01/2010 8.00,"6,66401788","4,30812414","53,23564148","13,43101025","0,14130984","70,96432455","0,16096974"
09/01/2010 9.00,"57,37409144","35,63226144","53,23564148","13,43101025","0,22946889","55,7037915","0,24134529"
09/01/2010 10.00,"8,29172069","5,85583651","53,23564148","13,43101025","0,16443393","67,75967625","0,43248332"
09/01/2010 11.00,"7,62134672","5,95479972","53,23564148","13,43101025","0,16605444","70,0419363","0,29441438"
09/01/2010 12.00,"4,24110662","3,00295278","53,23564148","13,43101025","0,14384605","75,3827508","0,07927413"
09/01/2010 13.00,"4,96660164","3,51398832","53,23564148","13,43101025","0,15877902","80,71341075","0,07927413"
09/01/2010 14.00,"7,45274082","5,3610243","53,23564148","13,43101025","0,20289058","79,98024825","0,3546401"
09/01/2010 15.00,"6,10631807","5,08765801","53,23564148","13,43101025","0,17718602","76,59569085","0,64954976"
09/01/2010 16.00,"5,36785396","4,63421574","53,23564148","13,43101025","0,17129112","80,43215565","0,65384456"
09/01/2010 17.00,"7,16011114","5,46647492","53,23564148","13,43101025","0,19858357","79,05365055","0,73240272"
09/01/2010 18.00,"7,67971052","6,65402768","53,23564148","13,43101025","0,2021974","75,41568825","1,07581209"
09/01/2010 19.00,"8,54544118","7,56335002","53,23564148","13,43101025","0,21089879","66,72411165","0,9699485"
09/01/2010 20.00,"17,71181009","13,66334511","53,23564148","13,43101025","0,31022902","42,8556324","0,79191248"
09/01/2010 21.00,"25,36962056","20,98739304","53,23564148","13,43101025","0,34131355","30,5809959","1,41190008"
09/01/2010 22.00,"14,38020745","12,95519194","53,23564148","13,43101025","0,29310235","54,00686445","1,44476546"
09/01/2010 23.00,"5,29246762","4,84349752","53,23564148","13,43101025","0,20838006","75,37008255","1,04030456"
10/01/2010 0.00,"4,01981174","3,79059736","53,23564148","13,43101025","0,18634059","75,1538445","0,66656112"
10/01/2010 1.00,"4,78340527","3,58537284","23,88278008","12,11233044","0,19469247","72,1899129","0,54682463"
10/01/2010 2.00,,,"23,88278008","12,11233044","0,19550098","55,8076911","0,57556098"
10/01/2010 3.00,"7,10580078","6,18760675","23,88278008","12,11233044",,"64,77886695","0,49463626"
10/01/2010 4.00,"5,17249727","4,13209968","23,88278008","12,11233044","0,10451914","72,71106675","0,4683763"
10/01/2010 5.00,"4,92931382","3,74436138","23,88278008","12,11233044","0,08520694",,"0,4675505"
10/01/2010 6.00,"7,94802339","6,94848333","23,88278008","12,11233044","0,10162878","53,41391055","0,4242802"
10/01/2010 7.00,"4,28325858","3,5440029","23,88278008","12,11233044","0,08659212","72,15697545","0,44773222"
10/01/2010 8.00,"4,31892502","3,63809815","23,88278008","12,11233044","0,09449199","79,613667","0,44409848"
10/01/2010 9.00,"10,31256894","7,95108833","23,88278008","12,11233044","0,10839743","60,0234054","0,45219074"
10/01/2010 10.00,"6,72562443","5,52893614","23,88278008","12,11233044","0,14451825","71,93820375","0,57671731"
10/01/2010 11.00,"5,82665939","4,3576067","23,88278008","12,11233044","0,11076587","79,1254506","0,76168927"
10/01/2010 12.00,"6,42002565","4,46143594","23,88278008","12,11233044","0,1118901","82,32249795","0,68847137"
10/01/2010 13.00,"7,44463394","6,01320367","23,88278008","12,11233044","0,14728629","79,76147655","0,7723698"
10/01/2010 14.00,"6,24088081","5,32289902","23,88278008","12,11233044","0,12131961","79,70573625","0,86832375"
10/01/2010 15.00,"6,29681254","5,00492003","23,88278008","12,11233044","0,12787157","80,00390895","0,92001685"
10/01/2010 16.00,"6,75318591","5,6132974","23,88278008","12,11233044","0,17325181","75,67416045","0,79273828"
10/01/2010 17.00,"9,61706746","8,61706087","23,88278008","12,11233044","0,24325666","63,7221753","1,37782346"
10/01/2010 18.00,"20,53596984","17,95443524","23,88278008","12,11233044","0,43203559","40,59447945","1,89982007"
10/01/2010 19.00,"28,13704936","24,18339664","23,88278008","12,11233044","0,56294198","29,3689137","2,61229366"
10/01/2010 20.00,"26,84817016","22,5756532","23,88278008","12,11233044","0,54386977","34,8026154","2,74617866"
