,Comune Lecce,,,,,
,SAN PIETRO IN LAMA,,,,,
Parm,NOX,NO2,PM10,CO,BENZENE,O3



11/01/2010 0.00,"25,75012768","22,30001928","24,90842056",,"0,10308821","42,48474195"
11/01/2010 1.00,"29,00423696","26,34938672",,,"0,16322342","36,31516455"
11/01/2010 2.00,"31,73178144","28,74655672","21,48962021",,"0,30728248","28,6393821"
11/01/2010 3.00,"24,23396904","22,19101616",,,"0,14163657","29,9547654"
11/01/2010 4.00,"19,09406181","17,74061437","23,44322014",,"0,12952105","34,2310878"
11/01/2010 5.00,"15,46253138","13,7665281",,,"0,04956146","29,91009735"
11/01/2010 6.00,"16,1149096","14,97744359","15,14041042",,"0,00969201","32,3581818"
11/01/2010 7.00,"42,16460944","33,1281724",,,"0,00308354","17,93632481"
11/01/2010 8.00,"132,349749","66,05260208","11,72161007","0,12853678","0,41719883","7,88283552"
11/01/2010 9.00,"256,2276936","97,23527624",,"0,67955033","1,05797696","4,74458681"
11/01/2010 10.00,"147,4608203","75,16494552","36,63003159",,"2,61795733","12,38112561"
11/01/2010 11.00,"60,65429952","40,22624296",,,"0,94629714","36,73738635"
11/01/2010 12.00,"68,97958728","43,51763624","28,32722092","0,34288863","0,3894449","48,23888055"
11/01/2010 13.00,"33,11304848","23,04241064",,"0,16372444","0,9566502","55,4288406"
11/01/2010 14.00,"41,7029188","27,04634896","16,11721039","0,14795034","0,53152183","56,5547388"
11/01/2010 15.00,"45,4952752","36,795962",,"0,10416032","0,15132858","46,4133159"
11/01/2010 16.00,"43,33840536","36,87513792","16,60560989","0,23387492","0,58636966","45,52691745"
11/01/2010 17.00,"55,37691184","48,18348984",,"0,36907783","1,06039946","37,27192665"
11/01/2010 18.00,"116,2620854","82,97166064","31,74603081","0,71261652","2,6516597","18,47492892"
11/01/2010 19.00,"155,4294436","106,4436212",,"0,94599049","4,3378579","11,27279139"
11/01/2010 20.00,"187,1054329","108,0127422","35,65322113","0,99736233","4,42596773","6,76908887"
11/01/2010 21.00,"124,1464086","82,92493136",,"0,83511744","4,25151053","7,71908792"
11/01/2010 22.00,"151,6643141","97,41049192","47,86323166","0,95411986","3,96889844","5,8488612"
11/01/2010 23.00,"130,449699","84,57582864",,"0,88027983","3,70082537","5,43340445"
12/01/2010 0.00,"150,3492596","90,40712272","40,53723145","0,92516029","3,22145225","2,94234371"
12/01/2010 1.00,"132,3069775","73,60232528",,"1,07910455","3,5653569","2,89871705"
12/01/2010 2.00,,,"39,07204056","0,82939729","3,53473808",
