 Brindisi,,,,
,Casale,,,,
Parm,SO2,NO2,NOX,PM10



17/01/2010 22.00,"0,10592157","26,88151544","33,26738512","54,21244049"
17/01/2010 23.00,"0,00995846","20,9190964","26,28707464",
18/01/2010 0.00,"0,00086038","17,09946341","21,47919768","43,9560318"
18/01/2010 1.00,"0,00268386","13,92226815","18,10446797",
18/01/2010 2.00,"0,00927504",,,"39,56044006"
18/01/2010 3.00,"0,08744675","8,02604255","11,60662583",
18/01/2010 4.00,"0,00662474","8,22850997","12,49505384","37,11843109"
18/01/2010 5.00,"0,01192433","7,27197843","11,25903762",
18/01/2010 6.00,"0,02119937","8,48159567","12,34330796","38,0952301"
18/01/2010 7.00,"0,02914925","9,19412733","13,57673151",
18/01/2010 8.00,"0,03444884","5,93127638","10,57164111","21,97801971"
18/01/2010 9.00,"0,03179854","11,82101074","17,35092774",
18/01/2010 10.00,"0,01854906","13,3343358","22,47267288","21,48962021"
18/01/2010 11.00,"0,06889768","13,1383558","19,40142728",
18/01/2010 12.00,"0,02384865","14,75940102","21,31317872","19,53602028"
18/01/2010 13.00,"0,2146409","10,97350336","17,19010368",
18/01/2010 14.00,"0,18814195","2,79951025","6,7494556","17,58241081"
18/01/2010 15.00,"1,6159113","4,39589258","8,91280903",
18/01/2010 16.00,"4,33904881","8,03512646","13,38607452","12,69841003"
18/01/2010 17.00,"1,97722191","7,40695607","11,89066299",
18/01/2010 18.00,"0,2794716","3,82872264","8,10998126","16,60560989"
18/01/2010 19.00,"0,11262055","3,18887184","6,9699417",
18/01/2010 20.00,"0,22351524","6,94491362","11,16954646","11,23320961"
18/01/2010 21.00,"1,60672982","7,70287058","11,99961066",
