Stat,San Vito dei Normanni,,,,,,,
,,,,,,,,,
Parm,NO2,NOX,CO,O3,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,,
,,,,,,,
16/01/2014 1.00,"5,4","7,7","0,3","44,3","0,8",,,
16/01/2014 2.00,"5,8","8,1","0,3","41,0","0,7",,,
16/01/2014 3.00,"6,6","8,9",,"34,9","0,6",,,
16/01/2014 4.00,"4,9","7,2","0,3","39,7","0,6",,,
16/01/2014 5.00,"4,3","6,5","0,3","39,2","0,6",,,
16/01/2014 6.00,"5,8","8,5","0,3","38,6","0,5",,,
16/01/2014 7.00,,,,,,,,
16/01/2014 8.00,"10,8","13,7","0,3","34,2","0,6",,,
16/01/2014 9.00,"11,5","16,5","0,3","31,5","0,9",,,
16/01/2014 10.00,"8,2","12,3","0,3","37,0","1,0",,,
16/01/2014 11.00,"7,1","11,2","0,3","41,7","1,3",,,
