"NetC","SIMAGE Brindisi","","","",""
"Stat","P.za San Giusto Casale","","","",""
"Parm","SO2","NOX","NO","NO2","PM10"
"PtId","1","2","3","4","5"
"Unit","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3"
"Arch","2","2","2","2","4"
"Field","Aver","Aver","Aver","Aver","Aver"
"2013-01-14 17:00:00","1.959954","21.778138","1.816404","19.931739",""
"2013-01-14 18:00:00","2.338951","38.153729","2.781408","34.832203","5.372406"
"2013-01-14 19:00:00","2.053801","42.550489","2.903882","39.042773",""
"2013-01-14 20:00:00","2.135014","40.579712","2.762403","37.288492","7.814408"
"2013-01-14 21:00:00","2.163891","29.661161","2.408498","26.908684",""
"2013-01-14 22:00:00","2.102529","51.48211","3.615492","46.885201","10.01221"
"2013-01-14 23:00:00","2.02312","28.888809","1.797822","27.07413",""
"2013-01-15 00:00:00","1.949126","23.676907","0.998367","23.08803","19.53602"
"2013-01-15 01:00:00","1.949126","15.405465","0.608142","15.412361",""
"2013-01-15 02:00:00","1.918445","37.161556","0.93333","36.678622","20.26862"
"2013-01-15 03:00:00","1.949126","18.94361","0.690918","18.824924",""
"2013-01-15 04:00:00","1.949126","11.623485","0.608142","11.62868","17.3382"
"2013-01-15 05:00:00","1.941907","10.085274","0.608142","10.08979",""
"2013-01-15 06:00:00","1.949126","6.787716","0.608142","6.790755","21.97802"
"2013-01-15 07:00:00","1.927469","9.932232","0.741596","9.731665",""
"2013-01-15 08:00:00","1.92025","14.763462","1.217974","13.833233","23.19902"
"2013-01-15 09:00:00","1.997854","18.749065","2.392451","16.016364",""
"2013-01-15 10:00:00","1.968978","16.053303","1.811759","14.211473","33.455421"
"2013-01-15 11:00:00","1.949126","16.248499","1.60482","14.724654",""
"2013-01-15 12:00:00","1.949126","14.452188","1.349316","13.320045","19.0476"
"2013-01-15 13:00:00","2.032144","14.461268","1.264431","13.45954",""
"2013-01-15 14:00:00","1.983416","23.363052","2.163552","20.984047","18.07081"
"2013-01-15 15:00:00","1.949126","11.661098","0.677403","11.559919",""
"2013-01-15 16:00:00","1.95454","6.488116","0.641083","6.440415","23.19902"
"2013-01-15 17:00:00","2.181938","6.654129","0.705699","6.507239",""
"2013-01-15 18:00:00","1.949126","7.242954","0.562954","7.315616","11.47741"
"2013-01-15 19:00:00","1.949126","22.196408","1.231489","21.248744",""
"2013-01-15 20:00:00","1.98883","25.449236","2.170309","23.060784","5.860806"
"2013-01-15 21:00:00","1.981611","43.960952","2.201561","41.532788",""
"2013-01-15 22:00:00","2.046582","22.693163","1.201504","21.791771","2.686203"
"2013-01-15 23:00:00","1.949126","10.823901","0.701053","10.686017",""
"2013-01-16 00:00:00","1.952736","20.808659","0.866181","20.421555","2.197802"
"2013-01-16 01:00:00","1.985221","14.620146","0.841264","14.268558",""
"2013-01-16 02:00:00","","9.078822","0.60772","9.083535","12.94261"
"2013-01-16 03:00:00","1.963563","","","",""
