"NetC","SIMAGE Brindisi","","","","","","","","","","",""
"Stat","valzani_sanpietrovernotico","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3
14/01/2012 15.00,"0,548753","16,819885","21,167427","0,264086","54,91812"
14/01/2012 16.00,"0,6287","15,469963","18,85639","0,245811","57,665933"
14/01/2012 17.00,"0,98182","21,205896","25,020259","0,302874","52,782394"
14/01/2012 18.00,"0,606319","33,593018","38,104285","0,487288","43,164717"
14/01/2012 19.00,"0,548942","32,634301","37,334227","0,435939","42,6372"
14/01/2012 20.00,"0,488695","33,511813","38,65062","0,410203","41,380649"
14/01/2012 21.00,"0,571406","31,870764","35,965101","0,354569","42,226608"
14/01/2012 22.00,"0,349947","27,470793","31,525399","0,324226","45,216814"
14/01/2012 23.00,"0,490418","38,454678","42,85201","0,712806","36,055814"
15/01/2012 0.00,"0,339139","33,747181","37,565237","0,848852","32,300767"
15/01/2012 1.00,"0,940123","24,428151","27,567196","0,544548","38,182145"
15/01/2012 2.00,"0,907837","21,269048","23,823787","0,387619","38,893223"
15/01/2012 3.00,"0,848737","19,181834","21,755117",,"41,260311"
15/01/2012 4.00,"0,684024","17,380029","20,735372","0,2631","38,865054"
15/01/2012 5.00,"0,824112","11,225832","14,167015","0,183995","53,399568"
15/01/2012 6.00,"0,615622","9,897234","13,071072","0,169809","54,941202"
15/01/2012 7.00,"0,826083","17,629346","21,864561","0,191852","42,587684"
15/01/2012 8.00,"0,70345","19,814152","23,827037","0,203132","40,627756"
15/01/2012 9.00,"1,249301","29,389064","35,788374","0,380305","36,398975"
15/01/2012 10.00,"1,072495","22,351605","26,517451","0,330704","39,34224"
15/01/2012 11.00,"1,191295","16,540223","21,105018","0,243817","49,371341"
15/01/2012 12.00,"1,040667","14,412185","18,536024","0,249406","52,441627"
15/01/2012 13.00,"1,048088","14,564549","19,119837","0,27401","54,89083"
15/01/2012 14.00,"1,307307","12,209978","15,855516","0,239014","59,394503"
15/01/2012 15.00,"1,461074","10,67963","13,83791","0,230838","62,108998"
15/01/2012 16.00,"1,324817","11,354591","14,37129","0,235025","61,589141"
15/01/2012 17.00,"1,088965","15,450281","19,246286","0,317552","56,950609"
15/01/2012 18.00,"1,436448","25,882227","30,222735","0,636952","47,303046"
15/01/2012 19.00,"1,375709","31,619795","35,973208","0,871066","40,477532"
15/01/2012 20.00,"1,114685","38,466971","43,991753","0,944604","34,632003"
15/01/2012 21.00,"1,337404","43,636236","51,029463","0,930517","25,799639"
15/01/2012 22.00,"0,957085","37,249124","41,360518","0,780041","26,887154"
15/01/2012 23.00,"0,862609","26,652323","30,184648","0,544671","31,78861"
16/01/2012 0.00,"0,918125","25,582884","30,165183","0,567699","31,661409"
16/01/2012 1.00,"0,275527","21,393692","24,199112","0,421532","36,490306"
16/01/2012 2.00,"0,222444",,,"0,256057","48,30348"
