NetC,ARPA Puglia,CERRATE,,,,,
Stat,Cerrate,,,,,,
Parm,SO2,NO2,NOx,CO,O3,PM10,BENZENE
,,,,,,,
,,,,,
,,,,,,,
,,,,,,,,,,,
,,,,,,,
12/03/2009 4.00,"0,4","3,7","7,1","0,5","59,4",,"0,7"
12/03/2009 5.00,"0,5","2,9","6,4","0,4","77,5",,"0,3"
12/03/2009 6.00,"0,5","3,0","6,4","0,5","79,9",,"0,5"
12/03/2009 7.00,"0,7","2,7","6,1","0,3","82,8",,"0,5"
12/03/2009 8.00,"0,7","3,3","6,8","0,4","81,6",,"0,2"
12/03/2009 9.00,"0,4","2,3","5,8","0,3","84,0",,"0,5"
12/03/2009 10.00,"0,5","2,6","6,1","0,4","82,1",,"0,5"
12/03/2009 11.00,"1,1","3,0","6,8","0,4","76,8",,"0,5"
12/03/2009 12.00,"1,5","2,9","7,1","0,6","74,6",,"0,6"
12/03/2009 13.00,"2,7","2,9","7,7","0,5","71,0",,"0,6"
12/03/2009 14.00,"2,4","2,8","7,7","0,6","72,1",,"0,6"
12/03/2009 15.00,"1,9","3,0","7,9","0,5","81,8",,"0,3"
12/03/2009 16.00,"1,3","2,7","7,4","0,6","81,5",,"0,6"
12/03/2009 17.00,"0,9","2,8","7,6","0,5","82,0",,"0,6"
12/03/2009 18.00,"1,2","3,1","7,8","0,6","82,9",,"0,6"
12/03/2009 19.00,"1,0","6,1","10,4","0,5","78,9",,"0,7"
12/03/2009 20.00,"1,2","7,3","11,4","0,5","77,2",,"0,5"
12/03/2009 21.00,"1,2","6,5","10,5","0,5","78,1",,"0,5"
12/03/2009 22.00,"1,6","3,0","6,7","0,5","82,3",,"0,7"
12/03/2009 23.00,"1,3","2,7","6,4","0,4","81,2",,"0,8"
13/03/2009 0.00,"1,2","2,4","6,0","0,5","80,2",,"0,6"
13/03/2009 1.00,,"2,5","6,3","0,4","78,8",,"0,5"
13/03/2009 2.00,"1,1",,,"0,6","65,8",,"0,5"
13/03/2009 3.00,"1,1","4,0","5,8",,"66,3",,"0,7"
13/03/2009 4.00,"1,0","3,5","5,4","0,3",,,"0,3"
13/03/2009 5.00,"1,1","3,7","5,7","0,2","64,5",,"0,7"
13/03/2009 6.00,"1,7","4,1","6,2","0,3","62,4",,"0,6"
13/03/2009 7.00,"1,6","5,9","8,3","0,2","58,2",,"0,6"
13/03/2009 8.00,"0,7","7,2","10,3","0,3","61,7",,"0,7"
13/03/2009 9.00,"0,7","6,0","9,6","0,3","68,7",,"0,8"
13/03/2009 10.00,"1,6","5,1","8,7","0,5","77,4",,"0,8"
13/03/2009 11.00,"2,1","5,2","9,5","0,5","79,9",,"0,3"
13/03/2009 12.00,"3,2","5,9","10,6","0,7","84,1",,"0,6"
13/03/2009 13.00,"4,7","5,3","10,3","0,5","89,0",,"0,7"
13/03/2009 14.00,"4,1","4,1","9,0","0,6","91,7",,"0,6"
13/03/2009 15.00,"4,2","4,3","9,1","0,5","90,6",,"0,5"
13/03/2009 16.00,"3,6","4,3","9,0","0,5","90,8",,"0,5"
13/03/2009 17.00,"3,3","4,7","9,5","0,4","89,4",,"0,6"
13/03/2009 18.00,"1,8","4,4","8,8","0,5","82,1",,"0,6"
13/03/2009 19.00,"1,0","6,5","10,7","0,4","62,4",,"0,5"
13/03/2009 20.00,"0,8","9,6","13,4","0,5","42,7",,"1,0"
13/03/2009 21.00,"1,0","10,5","14,2","0,4","33,9",,"1,1"
13/03/2009 22.00,"0,5","10,2","13,6","0,5","32,3",,"0,6"
13/03/2009 23.00,"0,4","10,2","13,7","0,4","25,6",,"1,5"
14/03/2009 0.00,"0,2","22,7","26,2","0,7","34,4",,"1,8"
14/03/2009 1.00,"0,5","30,8","34,4","0,6","18,0",,"2,3"
14/03/2009 2.00,"0,6","20,0","23,6","0,6","15,6",,"1,2"
14/03/2009 3.00,"1,0","14,5","17,5","0,5","31,3",,"2,1"
14/03/2009 4.00,"0,7","14,0","17,1","0,5","31,9",,"1,1"
14/03/2009 5.00,"1,0","9,8","12,8","0,4","43,0",,"1,9"
14/03/2009 6.00,"1,1","10,3","13,2","0,4","38,7",,"1,5"
14/03/2009 7.00,"1,0","15,3","19,6","0,4","35,8",,"1,4"
14/03/2009 8.00,"1,4","16,1","21,7","0,5","47,3",,"0,8"
14/03/2009 9.00,"1,4","9,7","14,2","0,3","74,2",,"1,6"
14/03/2009 10.00,"2,6","7,7","12,4","0,5","83,0",,"0,8"
14/03/2009 11.00,"3,4","4,0","8,1","0,4","88,8",,"0,4"
14/03/2009 12.00,"2,7","3,2","7,6","0,5","87,9",,"0,7"
14/03/2009 13.00,"2,0","3,1","7,6","0,3","84,1",,"0,6"
14/03/2009 14.00,"1,1","3,0","7,7","0,5","80,9",,"0,3"
14/03/2009 15.00,"1,8","4,4","9,5","0,3","79,8",,"0,2"
14/03/2009 16.00,"0,7","3,0","7,7","0,5","83,6",,"0,5"
14/03/2009 17.00,"0,5","4,2","9,0","0,4","84,7",,"0,6"
14/03/2009 18.00,"0,7","3,8","8,4","0,5","84,8",,"0,6"
14/03/2009 19.00,"1,1","7,1","11,6","0,4","71,9",,"0,7"
14/03/2009 20.00,"1,0","11,0","15,2","0,5","44,8",,"0,3"
14/03/2009 21.00,"0,9","10,7","14,6","0,4","31,3",,"0,8"
14/03/2009 22.00,"0,6","11,0","15,2","0,5","22,4",,"1,3"
14/03/2009 23.00,"0,7","17,3","20,8","0,4","26,7",,"1,4"
15/03/2009 0.00,"1,0","10,9","14,1","0,5","38,2",,"1,7"
15/03/2009 1.00,,"8,9","12,0","0,4","46,3",,"1,5"
15/03/2009 2.00,"0,5",,,"0,5","34,6",,"1,4"
15/03/2009 3.00,"0,4","7,2","8,6",,"33,1",,"1,3"
15/03/2009 4.00,"0,4","6,5","8,2","0,6",,,"1,5"
15/03/2009 5.00,"0,2","7,4","9,3","0,5","24,7",,"1,6"
15/03/2009 6.00,"0,2","6,0","8,0","0,6","20,2",,"1,0"
15/03/2009 7.00,"0,2","9,2","13,2","0,4","13,3",,"1,6"
15/03/2009 8.00,"0,4","12,5","19,9","0,6","12,0",,"1,6"
15/03/2009 9.00,"0,8","10,5","15,0","0,5","39,3",,"1,7"
15/03/2009 10.00,"2,7","4,6","7,7","0,7","68,6",,"1,1"
15/03/2009 11.00,"2,6","3,8","7,6","0,6","78,5",,"0,8"
15/03/2009 12.00,"2,2","3,7","8,1","0,9","83,0",,"0,4"
15/03/2009 13.00,"1,1","4,1","8,8","0,6","81,4",,"0,7"
15/03/2009 14.00,"2,3","4,3","9,0","0,7","82,1",,"0,7"
15/03/2009 15.00,"3,0","4,7","9,5","0,5","83,4",,"0,6"
15/03/2009 16.00,"6,9","5,5","10,2","0,6","83,5",,"0,6"
15/03/2009 17.00,"7,4","6,2","10,8","0,5","79,9",,"0,6"
15/03/2009 18.00,"2,8","15,6","20,2","0,7","71,3",,"0,3"
15/03/2009 19.00,"2,3","19,4","25,6","0,6","42,4",,"0,9"
15/03/2009 20.00,"1,6","33,1","45,5","0,8","13,5",,"1,2"
15/03/2009 21.00,"1,7","18,4","22,4","0,5","26,1",,"1,2"
15/03/2009 22.00,"1,0","14,5","18,0","0,6","15,1",,"0,5"
15/03/2009 23.00,"1,2","14,4","17,7","0,5","17,5",,"1,4"
16/03/2009 0.00,"2,5","15,9","19,0","0,7","19,8",,"1,5"
16/03/2009 1.00,"2,4","17,1","20,3","0,7","22,8",,"1,8"
16/03/2009 2.00,"1,9","16,6","19,7","0,8","19,7",,"2,4"
16/03/2009 3.00,"1,8","14,1","17,6","0,7","14,2",,"2,5"
16/03/2009 4.00,"2,4","19,1","23,7","0,8","13,4",,"2,7"
16/03/2009 5.00,"1,9","8,6","11,4","0,6","19,8",,"2,3"
16/03/2009 6.00,"3,2","6,1","9,0","0,6","8,5",,"1,8"
16/03/2009 7.00,"2,6","7,2","11,4","0,5","12,2",,"1,7"
16/03/2009 8.00,"2,2","18,9","26,3","0,8","34,3",,"1,8"
16/03/2009 9.00,"1,9","18,7","25,9","0,7","51,1",,"2,8"
16/03/2009 10.00,"2,5","15,9","22,8","0,7","62,1",,"1,9"
16/03/2009 11.00,"6,5","7,3","12,2","0,5","77,2",,"1,1"
16/03/2009 12.00,"5,8","3,8","8,0","0,7","85,5",,"0,7"
16/03/2009 13.00,"5,8","3,8","8,4","0,5","85,6",,"0,6"
16/03/2009 14.00,"6,1","5,0","9,8","0,6","86,5",,"0,3"
16/03/2009 15.00,"5,9","4,6","9,3","0,4","90,3",,"0,5"
16/03/2009 16.00,"4,7","3,4","7,6","0,6","88,0",,"0,6"
16/03/2009 17.00,"3,5","4,2","8,4","0,4","87,3",,"0,6"
16/03/2009 18.00,"2,8","9,4","13,4","0,6","75,4",,"1,0"
16/03/2009 19.00,"2,6","8,4","12,3","0,5","69,3",,"0,6"
16/03/2009 20.00,"1,5","9,2","12,9","0,6","64,4",,"0,6"
16/03/2009 21.00,"1,2","12,0","15,7","0,5","56,3",,"0,6"
16/03/2009 22.00,"1,3","7,6","10,9","0,6","65,3",,"0,9"
16/03/2009 23.00,"1,0","7,1","10,6","0,5","59,9",,"0,7"
17/03/2009 0.00,"1,7","6,5","9,8","0,6","63,2",,"0,8"
17/03/2009 1.00,,"5,9","9,1","0,5","62,0",,"0,6"
17/03/2009 2.00,"0,5",,,"0,7","54,5",,"0,3"
17/03/2009 3.00,"0,2","4,7","6,4",,"53,6",,"0,6"
17/03/2009 4.00,"0,2","4,4","6,4","0,4",,,"0,6"
17/03/2009 5.00,"0,7","5,8","8,1","0,4","47,6",,"0,3"
17/03/2009 6.00,"0,1","5,9","8,5","0,5","47,4",,"0,6"
17/03/2009 7.00,"0,2","6,9","9,8","0,4","47,1",,"0,8"
17/03/2009 8.00,"0,2","8,7","12,8","0,5","46,9",,"1,2"
17/03/2009 9.00,"0,3","4,3","7,6","0,4","64,2",,"0,7"
17/03/2009 10.00,"1,3","3,7","7,3","0,5","72,8",,"0,7"
17/03/2009 11.00,"2,0","3,1","6,9","0,4","76,5",,"0,4"
17/03/2009 12.00,"2,3","2,7","6,6","0,6","81,0",,"0,6"
17/03/2009 13.00,"2,2","2,5","6,8","0,5","83,4",,"0,6"
17/03/2009 14.00,"0,8","2,7","7,3","0,6","85,7",,"0,6"
17/03/2009 15.00,"0,7","3,3","8,0","0,5","86,1",,"0,6"
17/03/2009 16.00,"0,5","3,4","8,1","0,6","87,8",,"0,7"
17/03/2009 17.00,"0,5","3,4","8,1","0,5","88,6",,"0,7"
17/03/2009 18.00,"0,1","3,6","8,3","0,7","89,2",,"0,7"
17/03/2009 19.00,"0,1","2,9","8,0","0,5","91,2",,"0,8"
17/03/2009 20.00,"0,1","4,0","8,6","0,6","90,0",,"0,8"
17/03/2009 21.00,"0,3","3,1","7,5","0,5","88,8",,"0,8"
17/03/2009 22.00,"0,2","5,1","9,5","0,5","83,4",,"1,0"
17/03/2009 23.00,"0,3","4,8","9,1","0,5","82,6",,"1,0"
18/03/2009 0.00,"0,1","3,5","7,8","0,6","83,0",,"1,1"
18/03/2009 1.00,"0,8","3,5","7,8","0,5","81,1",,"1,1"
18/03/2009 2.00,"1,9","5,0","9,3","0,6","76,8",,"1,1"
18/03/2009 3.00,"1,7","4,1","8,6","0,5","72,8",,"0,5"
18/03/2009 4.00,"1,4","5,3","9,5","0,6","61,8",,"1,1"
18/03/2009 5.00,"1,2","7,2","11,6","0,5","53,7",,"1,1"
18/03/2009 6.00,"1,3","6,6","10,9","0,6","49,8",,"1,0"
18/03/2009 7.00,"1,5","10,7","16,3","0,4","48,8",,"1,0"
18/03/2009 8.00,"1,6","5,9","10,1","0,5","74,3",,"0,6"
18/03/2009 9.00,"3,5","4,2","8,6","0,5","80,4",,"1,1"
18/03/2009 10.00,"4,5","3,8","8,5","0,5","81,6",,"0,6"
18/03/2009 11.00,"7,3","8,1","14,2","0,6","80,8",,"0,4"
18/03/2009 12.00,"9,0","10,0","17,1","0,7","80,0",,"1,0"
18/03/2009 13.00,"7,0","6,9","13,4","0,6","84,7",,"0,8"
18/03/2009 14.00,"4,0","4,8","10,7","0,7","83,6",,"0,4"
18/03/2009 15.00,"2,2","3,3","9,2","0,6","82,7",,"0,7"
18/03/2009 16.00,"1,7","2,8","8,7","0,7","87,8",,"0,3"
18/03/2009 17.00,"1,4","3,0","9,6","0,7","88,9",,"0,3"
18/03/2009 18.00,"1,1","2,7","10,1","0,8","89,2",,"0,3"
18/03/2009 19.00,"1,4","2,4","9,5","0,7","88,9",,"0,2"
18/03/2009 20.00,"1,2","2,6","9,2","0,6","87,0",,"0,5"
18/03/2009 21.00,"1,5","2,3","8,6","0,5","88,7",,"0,5"
18/03/2009 22.00,"1,4","2,5","8,4","0,5","86,4",,"0,5"
18/03/2009 23.00,"2,0","2,8","8,4","0,5","83,4",,"0,5"
19/03/2009 0.00,"1,9","2,6","8,2","0,5","82,5",,"0,5"
19/03/2009 1.00,,"3,4","8,7","0,5","78,7",,"0,5"
19/03/2009 2.00,"0,2",,,"0,5","64,4",,"0,5"
19/03/2009 3.00,"0,4","5,1","8,1",,"62,4",,"0,3"
19/03/2009 4.00,"0,5","4,7","7,9","0,4",,,"0,3"
19/03/2009 5.00,"0,2","4,0","7,2","0,2","64,6",,"0,7"
19/03/2009 6.00,"0,2","4,5","7,7","0,2","64,0",,"0,6"
19/03/2009 7.00,"0,0","9,3","12,8","0,2","57,6",,"0,7"
19/03/2009 8.00,"0,0","11,9","17,1","0,3","56,0",,"1,2"
19/03/2009 9.00,"0,1","3,7","7,8","0,4","73,0",,"0,8"
19/03/2009 10.00,"0,4","3,1","8,4","0,8","76,4",,"0,6"
19/03/2009 11.00,"2,1","3,2","10,1","0,9","76,5",,"0,6"
19/03/2009 12.00,"2,8","3,4","11,5","1,0","79,2",,"0,6"
19/03/2009 13.00,"1,8","3,3","12,1","1,0","79,3",,"0,5"
19/03/2009 14.00,"2,6","3,9","13,4","1,0","82,0",,"0,5"
19/03/2009 15.00,"2,2","3,6","13,1","1,0","82,0",,"0,5"
19/03/2009 16.00,"2,1","3,6","13,2","1,0","82,1",,"0,5"
19/03/2009 17.00,"2,0","4,2","13,2","0,9","78,9",,"0,6"
19/03/2009 18.00,"1,0","3,7","12,1","0,9","74,0",,"0,5"
19/03/2009 19.00,"0,9","5,6","13,0","0,8","66,4",,"0,6"
19/03/2009 20.00,"0,9","5,9","12,6","0,7","84,3",,"0,8"
19/03/2009 21.00,"0,8","5,3","11,4","0,6","68,7",,"0,7"
19/03/2009 22.00,"0,7","4,7","10,6","0,6","68,0",,"0,7"
19/03/2009 23.00,"0,6","3,6","8,8","0,5","75,0",,"0,3"
20/03/2009 0.00,"0,5","2,7","7,8","0,5","82,0",,"0,5"
20/03/2009 1.00,"0,4","2,3","7,3","0,4","83,8",,"0,5"
20/03/2009 2.00,"0,4","3,0","7,8","0,5","74,1",,"0,2"
20/03/2009 3.00,"0,3","2,9","7,9","0,5","70,1",,"0,5"
20/03/2009 4.00,"0,1","2,6","7,5","0,5","76,3",,"0,2"
20/03/2009 5.00,"0,1","2,9","7,8","0,5","78,2",,"0,2"
20/03/2009 6.00,"0,1","2,8","7,8","0,5","74,5",,"0,5"
20/03/2009 7.00,"0,2","4,2","9,4","0,5","64,9",,"0,5"
20/03/2009 8.00,"0,3","10,8","16,2","0,5","56,7",,"0,3"
20/03/2009 9.00,"0,2","8,5","13,8","0,4","70,1",,"0,6"
20/03/2009 10.00,"0,3","6,7","11,7","0,5","71,7",,"0,5"
20/03/2009 11.00,"0,2","6,5","11,7","0,5","73,3",,"0,6"
20/03/2009 12.00,"0,1","5,5","10,9","0,6","70,6",,"0,3"
20/03/2009 13.00,"0,1","5,7","11,2","0,6","69,8",,"0,6"
20/03/2009 14.00,"0,2","5,9","11,7","0,6","66,6",,"0,6"
20/03/2009 15.00,"0,1","7,6","13,7","0,6","67,3",,"0,7"
20/03/2009 16.00,"0,1","6,9","13,0","0,6","65,9",,"0,4"
20/03/2009 17.00,"0,1","7,8","13,8","0,7","65,2",,"0,7"
20/03/2009 18.00,"0,0","8,2","14,0","0,7","59,7",,"0,9"
20/03/2009 19.00,"0,0","11,1","16,8","0,6","48,5",,"1,0"
20/03/2009 20.00,"0,0","9,1","14,6","0,6","47,9",,"1,2"
20/03/2009 21.00,"0,0","7,9","13,1","0,5","68,1",,"1,0"
20/03/2009 22.00,"0,0","3,8","9,0","0,5","79,8",,"0,6"
20/03/2009 23.00,"0,0","4,1","9,3","0,5","78,3",,"0,3"
21/03/2009 0.00,"0,0","4,3","9,9","0,6","67,1",,"0,3"
21/03/2009 1.00,,"4,6","10,1","0,6","64,8",,"0,6"
21/03/2009 2.00,"0,9",,,"0,6","66,9",,"0,8"
21/03/2009 3.00,"1,3","3,8","6,8",,"71,5",,"0,8"
21/03/2009 4.00,"1,0","3,0","6,4","0,4",,,"0,9"
21/03/2009 5.00,"1,0","3,1","6,7","0,3","71,9",,"0,7"
21/03/2009 6.00,"1,0","2,6","6,1","0,3","71,2",,"0,7"
21/03/2009 7.00,"1,0","2,8","6,5","0,3","70,9",,"0,7"
21/03/2009 8.00,"1,0","3,2","7,0","0,3","68,6",,"0,7"
21/03/2009 9.00,"0,7","2,8","7,0","0,4","67,4",,"0,4"
21/03/2009 10.00,"0,8","3,1","8,0","0,6","67,9",,"0,8"
21/03/2009 11.00,"0,9","3,7","9,4","0,6","67,1",,"0,8"
21/03/2009 12.00,"1,0","4,0","9,8","0,5","67,8",,"0,9"
21/03/2009 13.00,"1,0","3,3","8,7","0,4","70,9",,"0,9"
21/03/2009 14.00,"2,0","3,8","9,1","0,4","73,1",,"0,8"
21/03/2009 15.00,"2,2","3,6","8,6","0,3","75,6",,"0,8"
21/03/2009 16.00,"1,6","3,7","8,6","0,4","74,2",,"0,8"
21/03/2009 17.00,"1,9","3,5","8,2","0,4","72,6",,"0,9"
21/03/2009 18.00,"1,6","4,2","8,9","0,4","73,5",,"0,8"
21/03/2009 19.00,"1,4","3,9","8,3","0,2","74,5",,"0,7"
21/03/2009 20.00,"0,8","3,3","7,3","0,1","74,3",,"0,7"
21/03/2009 21.00,"0,5","3,3","6,8","0,1","74,7",,"0,7"
21/03/2009 22.00,"0,4","3,2","6,5","0,1","77,2",,"0,8"
21/03/2009 23.00,"0,5","4,7","7,8","0,0","74,8",,"0,8"
22/03/2009 0.00,"0,6","4,0","7,4","0,1","73,8",,"0,9"
22/03/2009 1.00,"0,3","3,5","7,0","0,1","73,8",,"0,9"
22/03/2009 2.00,"1,1","3,2","6,7","0,1","73,0",,"0,9"
22/03/2009 3.00,"1,6","2,9","6,5","0,1","76,7",,"0,9"
22/03/2009 4.00,"1,2","2,6","6,3","0,2","79,1",,"0,7"
22/03/2009 5.00,"0,7","2,9","6,8","0,2","76,9",,"0,7"
22/03/2009 6.00,"0,6","3,5","7,7","0,3","76,5",,"0,7"
22/03/2009 7.00,"1,1","3,3","7,5","0,2","76,0",,"0,7"
22/03/2009 8.00,"0,9","3,2","7,4","0,2","74,1",,"0,4"
22/03/2009 9.00,"1,1","3,1","7,3","0,2","73,2",,"0,7"
22/03/2009 10.00,"1,6","3,3","8,2","0,4","74,9",,"0,8"
22/03/2009 11.00,"1,8","3,0","8,9","0,6","78,6",,"0,8"
22/03/2009 12.00,"1,3","4,3","11,3","0,8","78,2",,"0,8"
22/03/2009 13.00,"1,9","3,9","11,3","0,7","80,5",,"0,9"
22/03/2009 14.00,"3,1","3,6","11,6","0,8","83,2",,"0,8"
22/03/2009 15.00,"3,0","3,9","12,4","0,9","86,5",,"0,8"
22/03/2009 16.00,"2,8","4,0","13,0","0,9","88,5",,"0,8"
22/03/2009 17.00,"2,1","3,7","12,3","0,8","88,6",,"0,8"
22/03/2009 18.00,"1,4","4,4","12,4","0,8","86,4",,"0,7"
22/03/2009 19.00,"1,9","4,5","11,8","0,7","84,4",,"0,7"
22/03/2009 20.00,"1,2","3,5","10,2","0,7","84,6",,"0,8"
22/03/2009 21.00,"1,3","3,2","9,3","0,5","84,9",,"0,7"
22/03/2009 22.00,"1,6","3,3","8,9","0,5","84,4",,"0,8"
22/03/2009 23.00,"1,9","3,4","8,8","0,4","82,5",,"0,8"
23/03/2009 0.00,"1,2","7,1","12,6","0,5","64,4",,"0,8"
23/03/2009 1.00,,"5,7","10,8","0,4","52,7",,"1,0"
23/03/2009 2.00,"1,5",,,"0,4","84,4",,"0,9"
23/03/2009 3.00,"2,7","4,0","6,7",,"79,7",,"0,9"
23/03/2009 4.00,"2,8","4,4","7,4","0,4",,,"0,4"
23/03/2009 5.00,"3,2","4,2","7,4","0,3",,,"0,8"
23/03/2009 6.00,"2,7","4,4","7,6","0,3",,,"0,8"
23/03/2009 7.00,"3,1","4,3","7,6","0,2",,,"0,8"
23/03/2009 8.00,"4,4","4,0","7,6","0,3",,,"0,8"
23/03/2009 9.00,"4,8","4,1","8,5","0,5",,,"0,9"
23/03/2009 10.00,"4,8","3,9","9,6","0,8",,,"0,9"
23/03/2009 11.00,"5,7","3,5","10,2","0,8",,,"0,8"
23/03/2009 12.00,"4,6","3,5","11,2","0,9",,,"0,7"
23/03/2009 13.00,"4,5","4,5","12,9","0,9",,,"0,3"
23/03/2009 14.00,"4,3","3,4","11,5","0,9",,,"0,6"
23/03/2009 15.00,"3,8","3,1","11,7","0,9",,,"0,5"
23/03/2009 16.00,"3,2","3,1","12,1","0,9",,,"0,5"
23/03/2009 17.00,"3,1","3,5","12,5","0,9",,,"0,5"
23/03/2009 18.00,"3,8","6,2","15,2","1,0",,,"0,3"
23/03/2009 19.00,"4,1","9,0","17,2","0,9",,,"0,7"
23/03/2009 20.00,"3,3","11,6","19,0","0,8",,,"0,8"
23/03/2009 21.00,"3,8","9,8","15,9","0,6",,,"1,1"
23/03/2009 22.00,"5,0","12,5","18,0","0,6",,,"1,2"
23/03/2009 23.00,"5,0","18,6","23,4","0,5",,,"1,8"
24/03/2009 0.00,"5,3","25,2","30,8","0,6",,,"2,6"
24/03/2009 1.00,"5,7","17,0","21,2","0,6",,,"2,5"
24/03/2009 2.00,"5,2","8,4","12,2","0,4",,,"1,2"
24/03/2009 3.00,"4,1","5,3","8,9","0,2",,,"1,6"
24/03/2009 4.00,"4,2","4,3","8,0","0,3",,,"1,1"
24/03/2009 5.00,"4,5","4,7","8,1","0,2",,,"0,5"
24/03/2009 6.00,"4,4","4,5","8,1","0,3",,,"0,9"
24/03/2009 7.00,"4,5","10,7","14,9","0,3",,,"0,8"
24/03/2009 8.00,"4,7","11,2","16,3","0,3",,,
24/03/2009 9.00,"5,1","6,1","10,7","0,5",,,
24/03/2009 10.00,"5,4","3,9","8,9","0,6",,,
24/03/2009 11.00,"5,5","3,7","9,4","0,6",,,
24/03/2009 12.00,,"3,6",,"0,9",,,
24/03/2009 13.00,,"2,8","8,8",,,,
24/03/2009 14.00,"2,1","3,0","8,6","0,2",,,
24/03/2009 15.00,"2,1",,,"0,7","93,3",,
24/03/2009 16.00,"2,0",,,"1,0","91,7",,
24/03/2009 17.00,"1,6",,,"0,8","89,0",,
24/03/2009 18.00,"1,4",,,"0,6","83,9",,
24/03/2009 19.00,"1,8",,,"0,3","81,3",,
24/03/2009 20.00,"1,2",,,"0,1","83,2",,
24/03/2009 21.00,"1,2",,,"0,1","87,1",,
24/03/2009 22.00,"1,4",,,"0,1","82,7",,
24/03/2009 23.00,"1,3",,,"0,1","77,8",,
25/03/2009 0.00,"1,2",,,"0,0","82,2",,
25/03/2009 1.00,,,,"0,0","85,8",,
25/03/2009 2.00,"0,3",,,"0,1","87,4",,
25/03/2009 3.00,"0,3",,,,"83,8",,
25/03/2009 4.00,"0,3",,,"0,4",,,
25/03/2009 5.00,"0,2",,,"0,2","78,2",,
25/03/2009 6.00,"0,3",,,"0,2","75,0",,
25/03/2009 7.00,"0,2",,,"0,1","72,2",,
25/03/2009 8.00,"0,1",,,"0,1",,,
25/03/2009 9.00,"0,2",,,"0,3","81,5",,"0,9"
25/03/2009 10.00,"0,3",,,"0,2","78,6",,"0,7"
25/03/2009 11.00,"0,1",,,"0,3","78,7",,"0,8"
25/03/2009 12.00,"0,8",,,"0,2","78,7",,"0,7"
25/03/2009 13.00,"1,8",,,"0,3","83,8",,"0,6"
25/03/2009 14.00,"1,0",,,"0,4","86,9",,"0,6"
25/03/2009 15.00,"0,3",,,"0,3","83,2",,"0,6"
25/03/2009 16.00,"0,6",,,"0,1","83,6",,"0,5"
25/03/2009 17.00,"0,8",,,"0,3","79,1",,"0,6"
25/03/2009 18.00,"1,0",,,"0,3","73,5",,"0,6"
25/03/2009 19.00,"1,1",,,"0,1","80,2",,"0,6"
25/03/2009 20.00,"0,7",,,"0,0","78,1",,"0,7"
25/03/2009 21.00,"0,7",,,"0,0","73,3",,"1,1"
25/03/2009 22.00,"0,5",,,"0,0","67,0",,"1,0"
25/03/2009 23.00,"0,3",,,"0,0","65,6",,"1,3"
26/03/2009 0.00,"0,2",,,"0,0","66,0",,"1,3"
26/03/2009 1.00,"0,3",,,"0,0","67,7",,"1,3"
26/03/2009 2.00,"0,3",,,"0,0","63,5",,"1,3"
26/03/2009 3.00,"0,3",,,"0,0","60,5",,"1,2"
26/03/2009 4.00,"0,2",,,"0,0","51,7",,"1,2"
26/03/2009 5.00,"0,2",,,"0,0","44,8",,"0,9"
26/03/2009 6.00,"0,3",,,"0,0","36,1",,"1,1"
26/03/2009 7.00,"0,4",,,"0,0","33,2",,"1,1"
26/03/2009 8.00,"0,3",,,"0,3","54,0",,"1,1"
26/03/2009 9.00,"0,5","7,2","12,0","0,3","84,2",,"1,1"
26/03/2009 10.00,"0,5","5,9","11,2","0,5","85,8",,"0,7"
26/03/2009 11.00,"0,7","7,5","13,2","0,5","82,7",,"0,7"
26/03/2009 12.00,"0,4","4,7","10,4","0,4","90,3",,"0,8"
26/03/2009 13.00,"0,4","6,7","13,0","0,3","84,4",,"0,7"
26/03/2009 14.00,"0,4","15,9","22,5","0,6","72,4",,"0,8"
26/03/2009 15.00,"0,3","7,3","13,1","0,5","84,1",,"0,8"
26/03/2009 16.00,"0,2","4,9","10,3","0,0","86,0",,"0,7"
26/03/2009 17.00,"0,4","7,0","13,2","0,0","86,9",,"0,7"
26/03/2009 18.00,"0,3","7,4","13,9","0,0","84,6",,"0,7"
26/03/2009 19.00,"0,3","7,6","13,9","0,0","58,6",,"0,6"
26/03/2009 20.00,"0,3","7,9","13,7","0,0","38,0",,"0,6"
26/03/2009 21.00,"0,2","40,4","47,0","0,1","19,2",,"0,6"
26/03/2009 22.00,"0,5","40,5","47,8","0,1","15,4",,"2,5"
26/03/2009 23.00,"0,3","16,5","21,4","0,0","38,6",,"3,0"
27/03/2009 0.00,"0,3","12,4","17,4","0,0","49,4",,"1,8"
27/03/2009 1.00,,"10,8","15,7","0,0","56,4",,"1,6"
27/03/2009 2.00,"1,0",,,"0,0","58,2",,"1,6"
27/03/2009 3.00,"0,9","6,8","10,5",,"60,2",,"1,5"
27/03/2009 4.00,"0,8","5,3","9,2","0,5",,,"1,2"
27/03/2009 5.00,"1,3","4,8","8,7","0,5","30,4",,"0,8"
27/03/2009 6.00,"1,2","8,3","12,3","0,2","24,0",,"0,9"
27/03/2009 7.00,"1,2","23,7","34,4","0,4","18,4",,"1,0"
27/03/2009 8.00,"1,2","28,5","47,1","0,7","32,2",,"1,5"
27/03/2009 9.00,"1,2","15,5","23,1","0,7","62,2",,"2,8"
27/03/2009 10.00,"2,3","13,3","20,7","0,9","77,5",,"1,4"
27/03/2009 11.00,"3,4","7,5","14,6","1,4","90,8",,"1,3"
27/03/2009 12.00,"2,8","5,7","13,1","1,2","98,0",,"0,9"
27/03/2009 13.00,"2,2","5,3","13,3","1,1","99,8",,"0,9"
