"NetC","Provincia Bari","","","","","","","","","","",""
"Stat","Altamura","","","","","","","","","","",""
Parm,NO2,NOX,CO,O3,PM10,BENZENE
11/01/2012 10.00,"30,74528504","52,69540832","0,61479264","21,6520542","14,16361046","3,18246861"
11/01/2012 11.00,,"37,08230312",,"30,9372231",,
11/01/2012 12.00,"22,77763688","36,80097144","0,46313993","34,8253584","7,57020807","2,6578156"
11/01/2012 13.00,"24,71472232","38,45397192","0,45706445","33,3654972",,"2,74788315"
11/01/2012 14.00,"28,95421904","48,569102","0,54340027","31,68596655","4,39560509","3,12567729"
11/01/2012 15.00,"24,0385244","34,238184","0,44265107","33,82372875",,"3,25850461"
11/01/2012 16.00,"22,85876304","30,2901908","0,44365414","37,9160922","2,93040299","1,62409408"
11/01/2012 17.00,"24,17286152","32,86337952","0,48494407","37,88905995",,"1,7036245"
11/01/2012 18.00,"31,21705192","42,4421936","0,4788884","31,1020101","2,44200301","2,61544433"
11/01/2012 19.00,"43,81485664","62,78327328","0,64511176","16,13089968",,"3,46819883"
11/01/2012 20.00,"45,46120336","70,35632288","0,65362558","12,95771253","11,96580982","4,67273668"
11/01/2012 21.00,"42,64740856","64,33445976","0,58691186","17,05954226",,"3,23404576"
11/01/2012 22.00,"43,6292588","64,11008656","0,56107682","18,03346535","10,98900986","3,37131025"
11/01/2012 23.00,"32,52141832","42,196406","0,4412554","24,3636183",,"2,34729397"
12/01/2012 0.00,"20,93791048","25,37464912","0,38789258","35,1673413","11,72161007","1,80361899"
12/01/2012 1.00,"13,6847576","16,33409746","0,36695287","41,07036675",,"1,41595283"
12/01/2012 2.00,"8,61397873","9,78372886","0,33051982","44,99648685","12,69841003","0,67228785"
12/01/2012 3.00,"7,43940271","8,51788161","0,30263788",,,"0,3145703"
12/01/2012 4.00,,,"0,3217299","44,298975","8,79120922","0,57140552"
12/01/2012 5.00,"17,1663031","18,23611299",,"40,07346525",,"0,49048893"
12/01/2012 6.00,"14,0864535","15,31856734","0,33983866","35,99867775","6,34920597","0,59896927"
12/01/2012 7.00,"18,8755986","21,90913","0,33732226","28,50194655",,"0,59530909"
12/01/2012 8.00,"34,74727312","49,24352176","0,50840134","14,77579394","5,61660624","0,61915672"
12/01/2012 9.00,"36,46631408","54,665514","0,65570977","13,86336872",,"1,51727756"
12/01/2012 10.00,"33,62980472","54,1960224","0,62948096","16,9885821","14,89620972","2,80811294"
12/01/2012 11.00,"27,34550048","43,46744624","0,54369502","25,3314726",,"2,62104494"
