,ARPA Puglia,,
,Verdi,,
Parm,SO2,NO2,PM10



19/01/2010 12.00,"6,43502174","55,66044232","20,5"
19/01/2010 13.00,"6,57589556","49,7801628","20,5"
19/01/2010 14.00,"6,44947025","42,61897712","20,5"
19/01/2010 15.00,"6,50365195","29,48242816","20,5"
19/01/2010 16.00,"6,39348237","21,51015296","20,5"
19/01/2010 17.00,"6,79262334","25,55152824","20,5"
19/01/2010 18.00,"6,31040364","33,88037232","20,5"
19/01/2010 19.00,"6,33568829","56,4043824","20,5"
19/01/2010 20.00,"6,61021016","64,73743288","20,5"
19/01/2010 21.00,"6,81610282","64,13752376","20,5"
19/01/2010 22.00,"6,37722766","55,7135768","20,5"
19/01/2010 23.00,"6,35194301","44,32222496","20,5"
20/01/2010 0.00,"6,4241856","37,53018912","20,5"
20/01/2010 1.00,,"27,77497392","32,90000153"
