Parm,Foggia,,,
,Unit,monte Sant'Angelo - Suolo Giuffreda,,,
01/01/2009 1.00,SO2,NO2,O3,PM10
,,,,,,,
,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
23/01/2009 12.00,"6,46211258","12,52965148",,
23/01/2009 13.00,"6,46211258","10,34663313",,
23/01/2009 14.00,"6,5506109","8,67627551",,
23/01/2009 15.00,"6,80165329","8,39593616",,
23/01/2009 16.00,"7,15022495","8,73338122",,
23/01/2009 17.00,"7,08520712","8,31936056",,
23/01/2009 18.00,"7,07798236","9,31093523",,
23/01/2009 19.00,"7,2134376","10,58543619",,
23/01/2009 20.00,"6,38084004","5,52893614",,
23/01/2009 21.00,"6,78901096","3,06687094",,
23/01/2009 22.00,"6,55783466","1,64570238",,
23/01/2009 23.00,"6,29234172","9,49133817",,
