Stat,Maglie,,,,,,,  ,
,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,
,,,,
14/01/2014 15.00,"0,9","9,4","15,9","0,2","69,0","28,6",,,
14/01/2014 16.00,"0,6","12,1","20,4","0,3","66,6","28,6",,,
14/01/2014 17.00,"0,8","18,5","27,0","0,4","50,2","28,6",,,
14/01/2014 18.00,"1,3","25,5","36,9","0,5","39,4","28,6",,,
14/01/2014 19.00,"1,5","25,9","37,2","0,6","39,6","28,6",,,
14/01/2014 20.00,"1,6","29,8","43,8","0,6","29,6","28,6",,,
14/01/2014 21.00,"2,4","19,5","29,7","0,5","46,1","28,6",,,
14/01/2014 22.00,"2,2","11,5","19,0","0,4","58,7","28,6",,,
14/01/2014 23.00,"2,4","10,0","16,2","0,4","57,0","28,6",,,
15/01/2014 0.00,"2,4","14,0","21,6","0,4","41,3","28,6",,,
15/01/2014 1.00,"2,4","13,1","21,9","0,4","28,9","26,4",,,
15/01/2014 2.00,"2,3","6,6","12,4","0,3","50,8","26,4",,,
