NetC,Regione Puglia,,,
Stat,Capitaneria di Porto,,,
Parm,SO2,NOX,NO,NO2



19/04/2006 14.00,1,,,
19/04/2006 15.00,1,,,
19/04/2006 16.00,1,,,
19/04/2006 17.00,1,,,
19/04/2006 18.00,1,,,
19/04/2006 19.00,1,,,
19/04/2006 20.00,1,,,
19/04/2006 21.00,1,,,
19/04/2006 22.00,1,,,
19/04/2006 23.00,1,,,
20/04/2006 0.00,1,,,
20/04/2006 1.00,,,,
20/04/2006 2.00,"0,68170019",,,
20/04/2006 3.00,"0,66252363",,,
20/04/2006 4.00,"0,67597244",,,
20/04/2006 5.00,"0,63944282",,,
20/04/2006 6.00,"0,73223593",,,
20/04/2006 7.00,"0,77263524",,,
20/04/2006 8.00,"0,88862612",,,
20/04/2006 9.00,"0,97359749",,,
20/04/2006 10.00,"0,90736333",,,
20/04/2006 11.00,"0,86017352",,,
20/04/2006 12.00,"0,9573082",,,
20/04/2006 13.00,1,,,
20/04/2006 14.00,"0,9477962",,,
20/04/2006 15.00,"0,76139841",,,
20/04/2006 16.00,"0,94744127",,,
20/04/2006 17.00,"0,75384617",,,
20/04/2006 18.00,1,,,
20/04/2006 19.00,"0,7924881",,,
20/04/2006 20.00,1,,,
20/04/2006 21.00,1,,,
20/04/2006 22.00,1,,,
20/04/2006 23.00,1,,,
21/04/2006 0.00,"0,90530289",,,
21/04/2006 1.00,"0,88898106",,,
21/04/2006 2.00,"0,86557989",,,
21/04/2006 3.00,"0,82587417",,,
21/04/2006 4.00,"0,78723326",,,
21/04/2006 5.00,"0,73951867",,,
21/04/2006 6.00,"0,80629184",,,
21/04/2006 7.00,"0,88149492",,,
21/04/2006 8.00,1,,,
21/04/2006 9.00,1,,,
21/04/2006 10.00,1,,,
21/04/2006 11.00,1,,,
21/04/2006 12.00,1,,,
21/04/2006 13.00,2,,,
21/04/2006 14.00,1,,,
21/04/2006 15.00,"0,95098958",,,
21/04/2006 16.00,1,,,
21/04/2006 17.00,2,,,
21/04/2006 18.00,2,,,
21/04/2006 19.00,1,,,
21/04/2006 20.00,"0,90163559",,,
21/04/2006 21.00,"0,74242424",,,
21/04/2006 22.00,1,,,
21/04/2006 23.00,1,,,
22/04/2006 0.00,"0,7058102",,,
22/04/2006 1.00,,,,
22/04/2006 2.00,1,,,
22/04/2006 3.00,1,,,
22/04/2006 4.00,1,,,
22/04/2006 5.00,1,,,
22/04/2006 6.00,1,,,
22/04/2006 7.00,1,,,
22/04/2006 8.00,1,,,
22/04/2006 9.00,1,,,
22/04/2006 10.00,2,,,
22/04/2006 11.00,2,,,
22/04/2006 12.00,2,,,
22/04/2006 13.00,2,,,
22/04/2006 14.00,2,,,
22/04/2006 15.00,2,,,
22/04/2006 16.00,2,,,
22/04/2006 17.00,2,,,
22/04/2006 18.00,1,,,
22/04/2006 19.00,2,,,
22/04/2006 20.00,2,,,
22/04/2006 21.00,1,,,
22/04/2006 22.00,2,,,
22/04/2006 23.00,2,,,
23/04/2006 0.00,1,,,
23/04/2006 1.00,1,,,
23/04/2006 2.00,1,,,
23/04/2006 3.00,1,,,
23/04/2006 4.00,1,,,
23/04/2006 5.00,1,,,
23/04/2006 6.00,1,,,
23/04/2006 7.00,2,,,
23/04/2006 8.00,2,,,
23/04/2006 9.00,2,,,
23/04/2006 10.00,2,,,
23/04/2006 11.00,2,,,
23/04/2006 12.00,2,,,
23/04/2006 13.00,2,,,
23/04/2006 14.00,2,,,
23/04/2006 15.00,2,,,
23/04/2006 16.00,2,,,
23/04/2006 17.00,1,,,
23/04/2006 18.00,2,,,
23/04/2006 19.00,2,,,
23/04/2006 20.00,1,,,
23/04/2006 21.00,1,,,
23/04/2006 22.00,2,,,
23/04/2006 23.00,2,,,
24/04/2006 0.00,1,,,
24/04/2006 1.00,,,,
24/04/2006 2.00,1,,,
24/04/2006 3.00,1,,,
24/04/2006 4.00,1,,,
24/04/2006 5.00,1,,,
24/04/2006 6.00,1,,,
24/04/2006 7.00,2,,,
24/04/2006 8.00,2,,,
24/04/2006 9.00,2,,,
24/04/2006 10.00,2,,,
24/04/2006 11.00,2,,,
24/04/2006 12.00,2,,,
24/04/2006 13.00,2,,,
24/04/2006 14.00,2,,,
24/04/2006 15.00,3,,,
24/04/2006 16.00,3,,,
24/04/2006 17.00,2,,,
24/04/2006 18.00,2,,,
24/04/2006 19.00,2,,,
24/04/2006 20.00,2,,,
24/04/2006 21.00,2,,,
24/04/2006 22.00,2,,,
24/04/2006 23.00,2,,,
25/04/2006 0.00,2,,,
25/04/2006 1.00,2,,,
25/04/2006 2.00,1,,,
25/04/2006 3.00,1,,,
25/04/2006 4.00,1,,,
25/04/2006 5.00,1,,,
25/04/2006 6.00,2,,,
25/04/2006 7.00,2,,,
25/04/2006 8.00,2,,,
25/04/2006 9.00,2,,,
25/04/2006 10.00,2,,,
25/04/2006 11.00,2,,,
25/04/2006 12.00,2,,,
25/04/2006 13.00,2,,,
25/04/2006 14.00,2,,,
25/04/2006 15.00,2,,,
25/04/2006 16.00,2,,,
25/04/2006 17.00,2,,,
25/04/2006 18.00,2,,,
25/04/2006 19.00,2,,,
25/04/2006 20.00,1,,,
25/04/2006 21.00,1,,,
25/04/2006 22.00,1,,,
25/04/2006 23.00,1,,,
26/04/2006 0.00,1,,,
26/04/2006 1.00,,,,
26/04/2006 2.00,"0,9236994",,,
26/04/2006 3.00,"0,90777115",,,
26/04/2006 4.00,"0,8671837",,,
26/04/2006 5.00,"0,96022801",,,
26/04/2006 6.00,"0,88420523",,,
26/04/2006 7.00,1,,,
26/04/2006 8.00,"0,91100012",,,
26/04/2006 9.00,"0,89978567",,,
26/04/2006 10.00,1,,,
26/04/2006 11.00,"0,96900065",,,
26/04/2006 12.00,"0,87093846",,,
26/04/2006 13.00,1,,,
26/04/2006 14.00,1,,,
26/04/2006 15.00,"0,81520788",,,
26/04/2006 16.00,"0,82873703",,,
26/04/2006 17.00,"0,78574946",,,
26/04/2006 18.00,1,,,
26/04/2006 19.00,"0,92666803",,,
26/04/2006 20.00,"0,86378081",,,
26/04/2006 21.00,"0,81808802",,,
26/04/2006 22.00,"0,74734652",,,
26/04/2006 23.00,"0,73809589",,,
27/04/2006 0.00,"0,68624923",,,
27/04/2006 1.00,"0,72657328",,,
27/04/2006 2.00,"0,7264431",,,
27/04/2006 3.00,"0,68485289",,,
27/04/2006 4.00,"0,72408569",,,
27/04/2006 5.00,"0,73826979",,,
27/04/2006 6.00,"0,84117494",,,
27/04/2006 7.00,"0,90144338",,,
27/04/2006 8.00,"0,95835164",,,
27/04/2006 9.00,1,,16,4
27/04/2006 10.00,"0,90331974",,16,4
27/04/2006 11.00,1,,16,4
27/04/2006 12.00,"0,89576953",,16,4
27/04/2006 13.00,"0,88211021",,16,4
27/04/2006 14.00,"0,96446076",,17,5
27/04/2006 15.00,"0,82598808",,18,3
27/04/2006 16.00,"0,83589366",,23,13
27/04/2006 17.00,"0,73578119",,,
27/04/2006 18.00,1,,,
27/04/2006 19.00,"0,90314583",,0.00,101
27/04/2006 20.00,"0,82568196",105,0.00,125
27/04/2006 21.00,"0,83008964",119,0.00,137
27/04/2006 22.00,"0,59124312",122,0.00,139
27/04/2006 23.00,"0,66543225",162,0.00,167
28/04/2006 0.00,"0,76654951",141,0.00,151
28/04/2006 1.00,,112,0.00,125
28/04/2006 2.00,1,,,
28/04/2006 3.00,1,101,0.00,112
28/04/2006 4.00,1,95,0.00,106
28/04/2006 5.00,1,92,0.00,105
28/04/2006 6.00,1,90,0.00,104
28/04/2006 7.00,1,91,0.00,108
28/04/2006 8.00,1,95,0.00,112
28/04/2006 9.00,1,98,0.00,115
28/04/2006 10.00,1,121,"0,0043246",132
28/04/2006 11.00,1,94,0.00,115
28/04/2006 12.00,2,140,16,126
28/04/2006 13.00,1,167,10,153
28/04/2006 14.00,1,115,0.00,130
28/04/2006 15.00,1,97,0.00,118
28/04/2006 16.00,1,81,0.00,104
28/04/2006 17.00,1,80,0.00,104
28/04/2006 18.00,1,80,0.00,104
28/04/2006 19.00,1,76,0.00,101
28/04/2006 20.00,1,68,0.00,93
28/04/2006 21.00,1,75,0.00,98
28/04/2006 22.00,1,115,0.00,133
28/04/2006 23.00,1,102,0.00,123
29/04/2006 0.00,1,91,0.00,114
29/04/2006 1.00,1,73,0.00,96
29/04/2006 2.00,1,68,0.00,92
29/04/2006 3.00,1,50,0.00,77
29/04/2006 4.00,1,31,0.00,58
29/04/2006 5.00,1,39,0.00,65
29/04/2006 6.00,1,34,0.00,60
29/04/2006 7.00,1,42,0.00,68
29/04/2006 8.00,1,33,0.00,61
29/04/2006 9.00,1,31,0.00,60
29/04/2006 10.00,1,42,0.00,70
29/04/2006 11.00,1,42,0.00,70
29/04/2006 12.00,1,31,0.00,60
29/04/2006 13.00,1,34,0.00,63
29/04/2006 14.00,1,26,0.00,56
29/04/2006 15.00,1,43,0.00,71
29/04/2006 16.00,1,55,0.00,82
29/04/2006 17.00,1,56,0.00,83
29/04/2006 18.00,1,78,0.00,103
29/04/2006 19.00,1,83,0.00,107
29/04/2006 20.00,1,86,0.00,109
29/04/2006 21.00,"0,9795622",83,0.00,106
29/04/2006 22.00,1,96,0.00,119
29/04/2006 23.00,1,147,2,152
30/04/2006 0.00,1,165,3,161
30/04/2006 1.00,,160,6,152
30/04/2006 2.00,1,,,
30/04/2006 3.00,1,154,16,130
30/04/2006 4.00,1,132,7,121
30/04/2006 5.00,1,126,10,112
30/04/2006 6.00,1,121,9,108
30/04/2006 7.00,1,125,8,114
30/04/2006 8.00,1,119,2,116
30/04/2006 9.00,1,109,2,112
30/04/2006 10.00,"0,99631931",85,0.00,103
30/04/2006 11.00,1,81,0.00,102
30/04/2006 12.00,"0,982362",79,0.00,101
30/04/2006 13.00,"0,90428792",72,0.00,96
30/04/2006 14.00,1,62,0.00,88
30/04/2006 15.00,"0,9732273",58,0.00,84
30/04/2006 16.00,"0,89156017",61,0.00,88
30/04/2006 17.00,"0,98309627",67,0.00,94
30/04/2006 18.00,1,63,0.00,91
30/04/2006 19.00,"0,76668071",70,0.00,97
30/04/2006 20.00,"0,93100451",84,0.00,110
30/04/2006 21.00,1,132,0.00,151
30/04/2006 22.00,1,153,2,159
30/04/2006 23.00,1,93,0.00,113
01/05/2006 0.00,1,42,0.00,70
01/05/2006 1.00,1,29,0.00,57
01/05/2006 2.00,1,36,0.00,63
01/05/2006 3.00,"0,96961899",74,0.00,92
01/05/2006 4.00,1,77,0.00,94
01/05/2006 5.00,1,78,0.00,94
01/05/2006 6.00,1,74,0.00,89
01/05/2006 7.00,1,72,0.00,86
01/05/2006 8.00,1,80,0.00,92
01/05/2006 9.00,1,55,0.00,78
01/05/2006 10.00,1,26,0.00,55
01/05/2006 11.00,1,25,0.00,55
01/05/2006 12.00,1,21,0.00,51
01/05/2006 13.00,1,30,0.00,60
01/05/2006 14.00,1,41,0.00,70
01/05/2006 15.00,1,44,0.00,72
01/05/2006 16.00,1,46,0.00,74
01/05/2006 17.00,1,55,0.00,83
01/05/2006 18.00,1,57,0.00,84
01/05/2006 19.00,1,53,0.00,81
01/05/2006 20.00,"0,99679831",63,0.00,89
01/05/2006 21.00,1,78,0.00,102
01/05/2006 22.00,1,96,0.00,119
01/05/2006 23.00,"0,99932149",96,0.00,119
02/05/2006 0.00,1,110,0.00,127
02/05/2006 1.00,,157,12,139
02/05/2006 2.00,1,,,
02/05/2006 3.00,"0,94879998",78,0.00,98
02/05/2006 4.00,"0,98687239",85,0.00,101
02/05/2006 5.00,1,76,0.00,94
02/05/2006 6.00,1,110,1,115
02/05/2006 7.00,1,139,4,133
02/05/2006 8.00,2,167,20,138
02/05/2006 9.00,1,197,29,155
02/05/2006 10.00,1,85,0.00,108
02/05/2006 11.00,1,68,0.00,94
02/05/2006 12.00,1,57,0.00,85
02/05/2006 13.00,1,61,0.00,88
02/05/2006 14.00,1,62,0.00,89
02/05/2006 15.00,1,53,0.00,81
02/05/2006 16.00,1,59,0.00,87
02/05/2006 17.00,1,71,0.00,98
02/05/2006 18.00,1,73,0.00,100
02/05/2006 19.00,1,76,0.00,103
02/05/2006 20.00,1,85,0.00,109
02/05/2006 21.00,1,190,4,186
02/05/2006 22.00,1,145,"0,51894903",158
02/05/2006 23.00,1,149,6,152
03/05/2006 0.00,1,181,15,159
03/05/2006 1.00,1,168,12,150
03/05/2006 2.00,1,105,0.00,118
03/05/2006 3.00,1,70,0.00,92
03/05/2006 4.00,"0,94069449",60,0.00,82
03/05/2006 5.00,1,76,0.00,90
03/05/2006 6.00,1,116,6,109
03/05/2006 7.00,1,148,12,130
03/05/2006 8.00,1,153,8,141
03/05/2006 9.00,1,97,"0,44543089",114
03/05/2006 10.00,1,44,0.00,73
03/05/2006 11.00,1,87,0.00,109
03/05/2006 12.00,1,82,0.00,106
03/05/2006 13.00,1,69,0.00,95
03/05/2006 14.00,1,69,0.00,94
03/05/2006 15.00,"0,93617901",67,0.00,94
03/05/2006 16.00,"0,88565547",68,0.00,94
03/05/2006 17.00,"0,89070894",64,0.00,92
03/05/2006 18.00,1,33,0.00,63
03/05/2006 19.00,"0,97370326",13,0.00,43
03/05/2006 20.00,"0,97460025",22,0.00,51
03/05/2006 21.00,1,31,0.00,61
03/05/2006 22.00,1,44,0.00,73
03/05/2006 23.00,"0,98470923",43,0.00,72
04/05/2006 0.00,1,27,0.00,57
04/05/2006 1.00,,46,0.00,74
04/05/2006 2.00,1,,,
04/05/2006 3.00,1,64,0.00,87
04/05/2006 4.00,1,62,0.00,85
04/05/2006 5.00,1,62,0.00,84
04/05/2006 6.00,1,72,0.00,91
04/05/2006 7.00,1,113,3,117
04/05/2006 8.00,2,160,17,135
04/05/2006 9.00,2,227,44,162
04/05/2006 10.00,1,111,2,127
04/05/2006 11.00,1,72,0.00,99
04/05/2006 12.00,1,64,0.00,92
04/05/2006 13.00,1,63,0.00,91
04/05/2006 14.00,1,63,0.00,91
04/05/2006 15.00,1,60,0.00,87
04/05/2006 16.00,1,79,0.00,103
04/05/2006 17.00,1,83,0.00,107
04/05/2006 18.00,2,83,0.00,106
04/05/2006 19.00,2,68,0.00,93
04/05/2006 20.00,1,72,0.00,96
04/05/2006 21.00,1,85,0.00,108
04/05/2006 22.00,1,102,0.00,123
04/05/2006 23.00,1,109,0.00,129
05/05/2006 0.00,1,108,0.00,129
05/05/2006 1.00,1,110,0.00,129
05/05/2006 2.00,1,97,0.00,115
05/05/2006 3.00,1,77,0.00,97
05/05/2006 4.00,1,66,0.00,90
05/05/2006 5.00,1,69,0.00,91
05/05/2006 6.00,1,82,0.00,100
05/05/2006 7.00,2,127,9,119
05/05/2006 8.00,2,135,13,119
05/05/2006 9.00,2,60,0.00,85
05/05/2006 10.00,2,77,0.00,101
05/05/2006 11.00,2,70,0.00,97
05/05/2006 12.00,2,72,0.00,98
05/05/2006 13.00,2,68,0.00,96
05/05/2006 14.00,2,68,"0,00864919",95
05/05/2006 15.00,2,66,0.00,94
05/05/2006 16.00,2,65,0.00,93
05/05/2006 17.00,2,62,0.00,90
05/05/2006 18.00,2,75,0.00,101
05/05/2006 19.00,2,74,0.00,101
05/05/2006 20.00,2,74,0.00,101
05/05/2006 21.00,2,103,0.00,127
05/05/2006 22.00,2,138,0.00,155
05/05/2006 23.00,2,166,"0,06054434",169
06/05/2006 0.00,2,173,2,171
06/05/2006 1.00,,167,2,167
06/05/2006 2.00,1,,,
06/05/2006 3.00,1,106,0.00,127
06/05/2006 4.00,1,87,0.00,110
06/05/2006 5.00,1,12,0.00,41
06/05/2006 6.00,1,14,0.00,42
06/05/2006 7.00,1,46,0.00,73
06/05/2006 8.00,1,67,0.00,94
06/05/2006 9.00,1,80,0.00,105
06/05/2006 10.00,1,79,0.00,105
06/05/2006 11.00,2,78,0.00,104
06/05/2006 12.00,2,99,0.00,123
06/05/2006 13.00,2,75,0.00,103
06/05/2006 14.00,2,38,0.00,67
06/05/2006 15.00,2,37,0.00,66
06/05/2006 16.00,2,61,0.00,89
06/05/2006 17.00,2,60,0.00,88
06/05/2006 18.00,2,63,0.00,91
06/05/2006 19.00,1,67,0.00,95
06/05/2006 20.00,1,76,0.00,103
06/05/2006 21.00,1,93,0.00,119
06/05/2006 22.00,2,167,5,171
06/05/2006 23.00,2,219,15,199
07/05/2006 0.00,1,158,0.00,173
07/05/2006 1.00,1,105,0.00,130
07/05/2006 2.00,1,128,0.00,150
07/05/2006 3.00,1,103,0.00,128
07/05/2006 4.00,1,97,0.00,121
07/05/2006 5.00,1,86,0.00,110
07/05/2006 6.00,1,78,0.00,104
07/05/2006 7.00,1,56,0.00,84
07/05/2006 8.00,2,57,0.00,85
07/05/2006 9.00,2,28,0.00,57
07/05/2006 10.00,2,24,0.00,54
07/05/2006 11.00,2,39,0.00,68
07/05/2006 12.00,2,59,0.00,88
07/05/2006 13.00,2,52,0.00,81
07/05/2006 14.00,2,49,0.00,78
07/05/2006 15.00,2,29,0.00,59
07/05/2006 16.00,2,7,0.00,37
07/05/2006 17.00,2,4,0.00,35
07/05/2006 18.00,2,28,0.00,58
07/05/2006 19.00,2,30,0.00,60
07/05/2006 20.00,1,31,0.00,62
07/05/2006 21.00,2,69,0.00,98
07/05/2006 22.00,2,150,0.00,169
07/05/2006 23.00,2,152,0.00,171
08/05/2006 0.00,2,158,0.00,171
08/05/2006 1.00,,116,0.00,138
08/05/2006 2.00,"0,92942105",,,
08/05/2006 3.00,"0,97803365",63,0.00,90
08/05/2006 4.00,1,61,0.00,85
08/05/2006 5.00,"0,88627279",67,0.00,91
08/05/2006 6.00,"0,99732003",93,0.00,113
08/05/2006 7.00,1,137,"0,35461438",144
08/05/2006 8.00,1,181,9,168
08/05/2006 9.00,1,150,6,143
08/05/2006 10.00,1,47,0.00,76
08/05/2006 11.00,1,8,0.00,38
08/05/2006 12.00,"0,95707734",4,0.00,34
08/05/2006 13.00,1,,,
08/05/2006 14.00,1,,,
08/05/2006 15.00,1,,,
08/05/2006 16.00,1,71,"0,84761583",70
08/05/2006 17.00,1,104,1,102
08/05/2006 18.00,1,117,2,114
08/05/2006 19.00,1,117,2,114
08/05/2006 20.00,1,110,2,108
08/05/2006 21.00,"0,94026328",117,2,114
08/05/2006 22.00,1,131,3,126
08/05/2006 23.00,"0,88124067",162,7,152
09/05/2006 0.00,"0,99608336",151,5,144
09/05/2006 1.00,"0,79809685",138,3,133
09/05/2006 2.00,"0,84606671",123,3,118
09/05/2006 3.00,"0,84999843",117,3,113
09/05/2006 4.00,"0,77099685",118,3,114
09/05/2006 5.00,"0,91828083",112,3,108
09/05/2006 6.00,"0,75329292",122,6,114
09/05/2006 7.00,"0,93168285",165,16,142
09/05/2006 8.00,1,207,28,165
09/05/2006 9.00,"0,8677522",149,8,137
09/05/2006 10.00,"0,94235322",146,9,132
09/05/2006 11.00,"0,91819438",140,10,125
09/05/2006 12.00,"0,78533859",115,5,108
09/05/2006 13.00,"0,88587616",112,3,107
09/05/2006 14.00,"0,84124511",109,3,105
09/05/2006 15.00,"0,7673743",117,3,112
09/05/2006 16.00,"0,71649989",139,3,133
09/05/2006 17.00,"0,9046693",141,3,137
09/05/2006 18.00,"0,76835062",135,3,131
09/05/2006 19.00,"0,75893117",160,4,154
09/05/2006 20.00,"0,80472464",193,11,177
09/05/2006 21.00,"0,70544714",174,11,158
09/05/2006 22.00,"0,71872509",118,2,114
09/05/2006 23.00,"0,53768993",85,"0,53624741",85
10/05/2006 0.00,"0,62581502",63,"0,24650073",63
10/05/2006 1.00,,95,4,90
10/05/2006 2.00,"0,95458061",,,
10/05/2006 3.00,1,42,"0,35029103",42
10/05/2006 4.00,1,59,2,57
10/05/2006 5.00,1,29,"0,00864919",30
10/05/2006 6.00,1,51,"0,46272928",50
10/05/2006 7.00,1,67,1,65
10/05/2006 8.00,1,75,1,72
10/05/2006 9.00,1,96,2,93
10/05/2006 10.00,1,74,1,72
10/05/2006 11.00,1,48,0.00,48
10/05/2006 12.00,1,60,"0,08649067",60
10/05/2006 13.00,1,83,"0,07351813",83
10/05/2006 14.00,1,86,"0,27244705",86
10/05/2006 15.00,1,55,"0,0043246",56
10/05/2006 16.00,1,60,"0,33731724",60
10/05/2006 17.00,1,93,"0,40218493",92
10/05/2006 18.00,1,91,"0,39353574",90
10/05/2006 19.00,2,96,"0,48002642",95
10/05/2006 20.00,1,101,"0,90816017",99
10/05/2006 21.00,1,99,"0,83464204",98
10/05/2006 22.00,1,101,1,99
10/05/2006 23.00,1,112,2,109
11/05/2006 0.00,1,116,2,113
11/05/2006 1.00,1,73,"0,10811365",73
11/05/2006 2.00,1,77,"0,70058081",76
11/05/2006 3.00,1,72,"0,30271923",71
11/05/2006 4.00,1,91,3,86
11/05/2006 5.00,1,94,4,89
11/05/2006 6.00,1,110,8,99
11/05/2006 7.00,2,185,38,128
11/05/2006 8.00,1,158,19,129
11/05/2006 9.00,1,120,5,112
11/05/2006 10.00,2,188,23,154
11/05/2006 11.00,1,130,5,123
11/05/2006 12.00,1,90,3,85
11/05/2006 13.00,1,51,"0,35894022",51
11/05/2006 14.00,1,96,3,92
18/05/2006 12.00,,,,
18/05/2006 13.00,"0,19514399",97,7,
18/05/2006 14.00,"0,05506445",108,"0,77409894",107
18/05/2006 15.00,"0,07558039",63,2,61
18/05/2006 16.00,"0,15217778",78,"0,23352694",79
18/05/2006 17.00,"0,25260144",98,"0,24650073",98
18/05/2006 18.00,"0,76100178",93,1,91
18/05/2006 19.00,"0,70608479",104,"0,36758817",103
18/05/2006 20.00,"0,82131801",107,2,105
18/05/2006 21.00,"0,53123605",122,3,118
18/05/2006 22.00,"0,6353199",130,4,124
18/05/2006 23.00,"0,59596403",156,7,146
19/05/2006 0.00,"0,65812816",184,15,162
19/05/2006 1.00,"0,6052167",169,13,149
19/05/2006 2.00,"0,60137854",191,27,151
19/05/2006 3.00,"0,59207706",152,13,133
19/05/2006 4.00,"0,60289184",112,5,104
19/05/2006 5.00,"0,63802817",104,3,100
19/05/2006 6.00,"0,55727634",99,2,96
19/05/2006 7.00,"0,64073543",129,6,120
19/05/2006 8.00,"0,72411417",140,13,120
19/05/2006 9.00,"0,97136823",193,28,151
19/05/2006 10.00,"0,86664672",137,8,126
19/05/2006 11.00,"0,70767843",97,3,93
19/05/2006 12.00,1,77,"0,12541204",77
19/05/2006 13.00,"0,87298568",67,"0,01297379",68
19/05/2006 14.00,"0,89936158",56,0.00,57
19/05/2006 15.00,"0,99114989",46,"0,0043246",47
19/05/2006 16.00,1,35,0.00,37
19/05/2006 17.00,1,64,"0,30271923",64
19/05/2006 18.00,2,96,2,93
19/05/2006 19.00,1,157,7,147
19/05/2006 20.00,1,111,"0,38921239",110
19/05/2006 21.00,1,99,"0,07784148",99
19/05/2006 22.00,1,95,1,93
19/05/2006 23.00,"0,97076311",95,"0,35461438",95
20/05/2006 0.00,"0,97318357",111,5,103
20/05/2006 1.00,"0,72656717",95,2,92
20/05/2006 2.00,"0,82585688",65,"0,3329914",65
20/05/2006 3.00,"0,67139594",46,"0,95140613",46
20/05/2006 4.00,"0,73492895",53,"0,92113396",53
20/05/2006 5.00,"0,90742028",24,0.00,27
20/05/2006 6.00,"0,91977989",30,"0,01729838",32
20/05/2006 7.00,"0,90178204",77,"0,5016494",76
20/05/2006 8.00,1,76,"0,13838583",76
20/05/2006 9.00,1,87,1,85
20/05/2006 10.00,1,60,"0,0043246",61
20/05/2006 11.00,1,53,0.00,54
20/05/2006 12.00,1,47,"0,00864919",49
20/05/2006 13.00,2,46,0.00,47
20/05/2006 14.00,1,52,0.00,54
20/05/2006 15.00,1,32,0.00,34
20/05/2006 16.00,2,25,0.00,27
20/05/2006 17.00,2,24,0.00,27
20/05/2006 18.00,1,27,0.00,30
20/05/2006 19.00,1,32,0.00,35
20/05/2006 20.00,1,45,0.00,46
20/05/2006 21.00,1,61,"0,45840468",61
20/05/2006 22.00,1,79,"0,51462443",78
20/05/2006 23.00,1,69,"0,11676285",69
21/05/2006 0.00,1,64,"0,48435226",64
21/05/2006 1.00,1,37,0.00,39
21/05/2006 2.00,1,32,0.00,35
21/05/2006 3.00,1,28,0.00,31
21/05/2006 4.00,1,20,0.00,23
21/05/2006 5.00,1,17,0.00,21
21/05/2006 6.00,1,19,0.00,22
21/05/2006 7.00,"0,95034379",22,0.00,25
21/05/2006 8.00,1,25,0.00,28
21/05/2006 9.00,"0,96173215",42,"0,09513987",43
21/05/2006 10.00,1,49,"0,0043246",50
21/05/2006 11.00,1,46,0.00,48
21/05/2006 12.00,1,53,0.00,54
21/05/2006 13.00,1,67,"0,4367817",67
21/05/2006 14.00,1,77,"0,40650953",77
21/05/2006 15.00,"0,97254693",83,3,79
21/05/2006 16.00,1,87,2,83
21/05/2006 17.00,1,99,4,93
21/05/2006 18.00,1,113,6,105
21/05/2006 19.00,1,121,8,109
21/05/2006 20.00,"0,96506079",133,11,117
21/05/2006 21.00,"0,80249233",130,9,116
21/05/2006 22.00,"0,88647619",135,10,120
21/05/2006 23.00,1,205,36,151
22/05/2006 0.00,1,249,70,144
22/05/2006 1.00,"0,8663284",135,14,114
22/05/2006 2.00,"0,92938443",84,2,81
22/05/2006 3.00,"0,8540644",61,2,58
22/05/2006 4.00,"0,86188513",82,8,71
22/05/2006 5.00,"0,86577108",128,29,84
22/05/2006 6.00,"0,96538013",161,46,91
22/05/2006 7.00,1,221,78,104
22/05/2006 8.00,"0,83574823",205,69,102
22/05/2006 9.00,"0,99057631",165,55,82
22/05/2006 10.00,"0,9686925",145,45,77
22/05/2006 11.00,1,138,34,88
22/05/2006 12.00,1,136,22,102
22/05/2006 13.00,"0,93206016",123,10,107
22/05/2006 14.00,1,137,11,121
22/05/2006 15.00,1,114,5,106
22/05/2006 16.00,2,111,5,105
22/05/2006 17.00,1,116,5,109
22/05/2006 18.00,2,168,18,142
22/05/2006 19.00,2,141,10,126
22/05/2006 20.00,2,142,8,130
22/05/2006 21.00,2,155,9,141
22/05/2006 22.00,1,164,14,144
22/05/2006 23.00,1,163,17,138
23/05/2006 0.00,1,222,51,146
23/05/2006 1.00,1,299,100,149
23/05/2006 2.00,1,229,64,133
23/05/2006 3.00,1,179,40,118
23/05/2006 4.00,1,163,36,109
23/05/2006 5.00,"0,95816452",154,32,106
23/05/2006 6.00,1,177,47,107
23/05/2006 7.00,1,269,98,122
23/05/2006 8.00,1,235,77,120
23/05/2006 9.00,1,121,22,88
23/05/2006 10.00,1,124,23,90
23/05/2006 11.00,1,123,20,92
23/05/2006 12.00,1,116,10,102
23/05/2006 13.00,1,112,4,105
23/05/2006 14.00,1,109,4,104
23/05/2006 15.00,1,88,2,85
23/05/2006 16.00,1,105,3,100
23/05/2006 17.00,2,113,3,109
23/05/2006 18.00,2,190,18,163
23/05/2006 19.00,1,171,10,156
23/05/2006 20.00,1,146,6,136
23/05/2006 21.00,1,159,11,142
23/05/2006 22.00,2,188,20,158
23/05/2006 23.00,1,172,18,144
24/05/2006 0.00,1,134,10,120
24/05/2006 1.00,1,143,14,122
24/05/2006 2.00,"0,84387101",139,19,111
24/05/2006 3.00,"0,96415261",119,14,99
24/05/2006 4.00,"0,83218059",144,32,97
24/05/2006 5.00,"0,92036975",154,43,90
24/05/2006 6.00,"0,99146822",171,53,91
24/05/2006 7.00,"0,92575273",186,58,99
24/05/2006 8.00,1,217,69,114
24/05/2006 9.00,"0,82343642",174,39,115
24/05/2006 10.00,"0,79823923",156,27,116
24/05/2006 11.00,"0,96230472",210,50,135
24/05/2006 12.00,"0,83125715",197,42,134
24/05/2006 13.00,"0,9401504",158,24,122
24/05/2006 14.00,"0,70852153",150,20,121
24/05/2006 15.00,"0,76133637",103,5,95
24/05/2006 16.00,"0,77003274",117,8,106
24/05/2006 17.00,"0,81352983",112,7,103
