"NetC","Provincia di TARANTO","","","","",""
"Stat","MARTINA FRANCA","","","","",""
,NO2,NOX,CO,O3,PM10
16/01/2012 7.00,"33,135148","76,068844","0,483019","43,280748",
16/01/2012 8.00,"79,796881","285,969618","1,018257","11,027937","5,371094"
16/01/2012 9.00,"82,382491","341,704609","1,518906","17,743779",
16/01/2012 10.00,"38,23455","108,809663","0,633088","49,373339","14,64843"
16/01/2012 11.00,"30,490777","92,622118","0,547173","60,153599",
16/01/2012 12.00,"29,871577","86,324007","0,537218","62,807706","24,414061"
16/01/2012 13.00,"28,912861","82,837764","0,53878","67,292384",
16/01/2012 14.00,"30,901037","92,22138","0,570581","65,123466","18,066401"
16/01/2012 15.00,"21,800259","58,33921","0,451724","69,458578",
16/01/2012 16.00,"30,044612","77,562974","0,515666","57,619232","15,13671"
16/01/2012 17.00,"35,344235","92,447054","0,61858","49,746203",
16/01/2012 18.00,"53,673087","137,514329","0,834487","24,95769","13,18359"
16/01/2012 19.00,"65,025401","189,749977","1,162715","15,917973",
16/01/2012 20.00,"62,237376","182,603624","0,99489","17,381058","14,64843"
16/01/2012 21.00,"60,031561","163,940151","0,921838","18,458406",
16/01/2012 22.00,"61,797748","183,866907","1,332649","16,018131","22,46093"
16/01/2012 23.00,"35,957989","70,499644","0,848786","26,108805",
