, Brindisi,,
,Quartiere Bozzano,,
Parm,SO2,NO2,PM10



20/01/2008 1.00,,"1,181063",
20/01/2008 2.00,"0,067405",,
20/01/2008 3.00,"0,009109","1,009744",
20/01/2008 4.00,"0,005465","0,584043",
20/01/2008 5.00,"0,009109","0,107724",
20/01/2008 6.00,"0,010931","0,105127",
20/01/2008 7.00,"0,007287","0,118106",
20/01/2008 8.00,"0,005465","0,31149",
20/01/2008 9.00,"0,012752","0,149255",
20/01/2008 10.00,"0,005465","5,832638",
20/01/2008 11.00,"0,005465","0,552893",
20/01/2008 12.00,"0,005465","3,733977",
20/01/2008 13.00,"0,224077","3,342021",
20/01/2008 14.00,0,"0,188191",
20/01/2008 15.00,"0,010931","0,462042",
20/01/2008 16.00,"0,007287","0,472425",
20/01/2008 17.00,"0,010931","3,767722",
20/01/2008 18.00,"0,009109","0,288127",
20/01/2008 19.00,"0,060118","24,179343",
20/01/2008 20.00,"0,575677","46,994624",
20/01/2008 21.00,"0,457263","38,045797",
20/01/2008 22.00,"0,927277","44,797335",
20/01/2008 23.00,"0,291482","1,793659",
21/01/2008 0.00,"0,193107","2,613914",
21/01/2008 1.00,"0,114771","2,715149",
21/01/2008 2.00,"0,375283","1,329022",
21/01/2008 3.00,"0,555637","2,921509",
21/01/2008 4.00,"0,72324","3,223915",
21/01/2008 5.00,"0,688626","3,151234",
21/01/2008 6.00,"0,298769","1,863745",
21/01/2008 7.00,"0,537419","11,231776",
21/01/2008 8.00,"1,134958","44,882992",
21/01/2008 9.00,"2,617873","56,010948",
21/01/2008 10.00,"1,012899","55,914908",
21/01/2008 11.00,"0,670408","34,054859",
21/01/2008 12.00,"0,114771","14,209104",
21/01/2008 13.00,"0,012752","7,334275",
21/01/2008 14.00,"0,071049","18,01965",
21/01/2008 15.00,"0,003644","0,587936",
21/01/2008 16.00,"0,025504","9,815806",
21/01/2008 17.00,"0,415362","47,896669",
21/01/2008 18.00,"1,238799","62,479549",
21/01/2008 19.00,"1,19872","63,268655",
21/01/2008 20.00,"1,528458","56,914273",
21/01/2008 21.00,"0,397145","44,654568",
21/01/2008 22.00,"0,156672","5,849509",
21/01/2008 23.00,"0,344313","2,887764",
22/01/2008 0.00,"0,650369","4,477659",
22/01/2008 1.00,,"4,053255",
22/01/2008 2.00,"1,274815",,
22/01/2008 3.00,"1,282089","3,73917",
22/01/2008 4.00,"1,554874","3,293999",
22/01/2008 5.00,"1,574877","4,236256",
22/01/2008 6.00,"1,714907","1,892299",
22/01/2008 7.00,"1,658532","22,969715",
22/01/2008 8.00,"3,660774","54,145927",
22/01/2008 9.00,"4,560964","54,099178",
22/01/2008 10.00,"1,426734",,
22/01/2008 11.00,"1,687629","1,980553",
22/01/2008 12.00,"1,567604","2,895552",
22/01/2008 13.00,"1,674899","2,123318",
22/01/2008 14.00,"1,591245","1,234276","1,953602"
22/01/2008 15.00,"1,794925","2,364723",
22/01/2008 16.00,"1,614886","1,774193","3,907204"
22/01/2008 17.00,"1,689447","2,334871",
22/01/2008 18.00,"2,545992","17,748397","27,35042"
22/01/2008 19.00,"2,906068","17,822375",
22/01/2008 20.00,"3,629858","58,679392","28,81562"
22/01/2008 21.00,"3,142482","21,410976",
22/01/2008 22.00,"3,733517","38,288506","25,88522"
22/01/2008 23.00,"3,708056","47,325594",
23/01/2008 0.00,"2,009515","2,416638","6,349206"
23/01/2008 1.00,"2,475069","0,734596",
23/01/2008 2.00,"1,543963","5,565275","3,418803"
23/01/2008 3.00,"1,640346","5,42251",
23/01/2008 4.00,"1,593063","6,646402","6,349206"
23/01/2008 5.00,"1,602156","5,51985",
23/01/2008 6.00,"1,545781","4,220681","5,372406"
23/01/2008 7.00,"1,607612","4,639892",
23/01/2008 8.00,"1,545781","6,425765","0,976801"
23/01/2008 9.00,"1,607612","0,415319",
23/01/2008 10.00,"1,462127","0,720319","5,372406"
23/01/2008 11.00,"1,547599","0,463341",
23/01/2008 12.00,"1,329372","1,386127","6,837607"
23/01/2008 13.00,"1,202072","1,127851",
23/01/2008 14.00,"1,216621","3,474404","3,907204"
23/01/2008 15.00,"0,860182","0,023361",
23/01/2008 16.00,"0,571029","0,089552","2,930403"
23/01/2008 17.00,"0,543751","1,817021",
23/01/2008 18.00,"0,170945","0,376383","3,907204"
23/01/2008 19.00,"0,156396","1,370552",
23/01/2008 20.00,"0,703785","0,706042","27,35042"
23/01/2008 21.00,"0,241869","1,957192",
23/01/2008 22.00,"0,08911","1,277105","28,81562"
23/01/2008 23.00,"0,016367","2,828064",
