,SIMAGE Brindisi,,,
,S. Pancrazio S.,,,
Parm,SO2,NO2,PM10,NOX



16/01/2010 5.00,"0,16125552","6,04678604","27,7999897","11,01131507"
16/01/2010 6.00,"0,04515175","9,17465934","27,7999897","14,81274774"
16/01/2010 7.00,"0,09424539","8,24278496","27,7999897","13,50150578"
16/01/2010 8.00,"0,08528664","11,70161399","27,7999897","17,51045546"
16/01/2010 9.00,"0,14333801","16,29477909","27,7999897","23,56083032"
16/01/2010 10.00,"0,16949729","13,41869133","27,7999897","20,2029568"
16/01/2010 11.00,"0,11001194","10,18959101","27,7999897","15,38730756"
16/01/2010 12.00,"0,14226305","8,61916981","27,7999897","13,57673151"
16/01/2010 13.00,"0,24295825","7,5042979","27,7999897","11,81543918"
16/01/2010 14.00,"0,58195283","10,21165166","27,7999897","16,38079041"
16/01/2010 15.00,"0,39382206","8,62176439","27,7999897","12,35498072"
16/01/2010 16.00,"0,24080831","7,64836137","27,7999897","10,75451435"
16/01/2010 17.00,"0,23901636","9,00982965","27,7999897","12,56249582"
16/01/2010 18.00,"0,21679898","9,34597646","27,7999897","13,30566345"
16/01/2010 19.00,"0,10857899","7,68729734","27,7999897","12,06964531"
16/01/2010 20.00,"0,14011311","12,62828774","27,7999897","18,2250884"
16/01/2010 21.00,"0,06342724","13,00596892","27,7999897","18,79316463"
16/01/2010 22.00,"0,41388951","18,7633317","27,7999897","26,43102912"
16/01/2010 23.00,"0,14369702","17,6082294","27,7999897","25,35973552"
17/01/2010 0.00,"0,15946357","12,47514036","27,7999897","19,04477618"
17/01/2010 1.00,"0,09997822","7,86380744","49,20000076","13,98008894"
17/01/2010 2.00,"0,18920675","10,3038005","49,20000076","16,19532258"
17/01/2010 3.00,"0,13903814","10,27784128","49,20000076","16,16549347"
17/01/2010 4.00,"0,40528874","8,54129596","49,20000076","14,32508449"
17/01/2010 5.00,"0,37232065","7,68989192","49,20000076","13,33938348"
17/01/2010 6.00,"0,13437926","7,12272198","49,20000076","13,0514554"
17/01/2010 7.00,"0,13724618","7,65095595","49,20000076","14,45089218"
17/01/2010 8.00,"0,12434554","9,10716957","49,20000076","16,85937357"
17/01/2010 9.00,"0,09209444","11,13054548","49,20000076","19,33139072"
17/01/2010 10.00,"0,28739301","10,12729614","49,20000076","16,77118066"
17/01/2010 11.00,"0,52784334","11,03320174","49,20000076","16,91773737"
17/01/2010 12.00,"0,35010327","10,52963447","49,20000076","15,94370912"
17/01/2010 13.00,"0,07847782","12,04813722","49,20000076","16,83213713"
17/01/2010 14.00,"0,43789783","11,82880214","49,20000076","15,81141784"
17/01/2010 15.00,"0,37052971","12,32588964","49,20000076","16,51437802"
17/01/2010 16.00,"0,15767161","13,07346061","49,20000076","17,97217669"
