, Brindisi,
,S. Pietro  Vernotico,
Parm,SO2,NO2
,,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
23/01/2008 11.00,"0,378515","11,793759"
23/01/2008 12.00,"0,293756","11,897584"
23/01/2008 13.00,"0,310212","14,693202"
23/01/2008 14.00,"0,703033","14,408972"
23/01/2008 15.00,"0,580525","13,717204"
23/01/2008 16.00,"0,422029","13,622464"
23/01/2008 17.00,"0,258276","11,86125"
23/01/2008 18.00,"0,414473","11,155202"
23/01/2008 19.00,"0,362149","10,854095"
23/01/2008 20.00,"0,556454","10,257081"
23/01/2008 21.00,"0,405663","9,806722"
23/01/2008 22.00,"0,362926","9,157788"
23/01/2008 23.00,"0,280736","9,41736"
24/01/2008 0.00,"0,475757","9,069531"
24/01/2008 1.00,,"10,286935"
24/01/2008 2.00,"0,078357",
24/01/2008 3.00,"0,113395","11,570528"
24/01/2008 4.00,"0,095277","9,757402"
24/01/2008 5.00,"0,065397","8,77751"
24/01/2008 6.00,"0,091316","9,317424"
24/01/2008 7.00,"0,083037","11,011139"
24/01/2008 8.00,"0,069597","10,32457"
24/01/2008 9.00,"0,097797","10,14936"
24/01/2008 10.00,"0,170633","10,446571"
24/01/2008 11.00,"0,538418","12,264889"
24/01/2008 12.00,"0,47902","10,17661"
24/01/2008 13.00,"0,487181","10,222037"
24/01/2008 14.00,"0,48286","9,360253"
24/01/2008 15.00,"0,190432","11,190243"
24/01/2008 16.00,"0,150354","11,785967"
24/01/2008 17.00,"0,147474","19,972943"
24/01/2008 18.00,"0,146154","22,993099"
24/01/2008 19.00,"0,184313","26,435044"
24/01/2008 20.00,"0,26399","37,913431"
24/01/2008 21.00,"0,124435","29,583687"
24/01/2008 22.00,"0,076558","20,165023"
24/01/2008 23.00,"0,129835","15,993673"
25/01/2008 0.00,"0,075838","13,201951"
25/01/2008 1.00,"0,098877","16,098797"
25/01/2008 2.00,"0,076678","13,538097"
25/01/2008 3.00,"0,064318","17,335674"
25/01/2008 4.00,"0,066237","16,951502"
25/01/2008 5.00,"0,051118","15,660117"
25/01/2008 6.00,"0,092036","17,714656"
25/01/2008 7.00,"0,056038","20,964525"
25/01/2008 8.00,"0,081957","18,049501"
25/01/2008 9.00,"0,060238","18,781499"
25/01/2008 10.00,"0,129595","20,556982"
25/01/2008 11.00,"0,113275","16,081934"
25/01/2008 12.00,"0,140875","16,884013"
25/01/2008 13.00,"0,152274","15,888545"
25/01/2008 14.00,"0,141835","15,699055"
25/01/2008 15.00,"0,105716","16,459613"
25/01/2008 16.00,"0,104516","16,703604"
25/01/2008 17.00,"0,117956","18,695842"
25/01/2008 18.00,"0,096237","19,630292"
25/01/2008 19.00,"0,163674","20,031335"
25/01/2008 20.00,"0,082437","23,814648"
25/01/2008 21.00,"0,073078","23,53431"
25/01/2008 22.00,"0,145554","22,606321"
25/01/2008 23.00,"0,048958","23,989863"
