Stat,Mesagne(RRQA),,,
,,,,,,,,,
Parm,SO2,NO2,NOX,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
03/05/2014 10.00,"2,6","7,9","11,6","11,0"
03/05/2014 11.00,"2,8","10,7","14,3","11,0"
03/05/2014 12.00,"3,1","16,5","20,9","11,0"
03/05/2014 13.00,"2,9","14,4","19,0","11,0"
03/05/2014 14.00,"3,0","6,9","10,5","11,0"
03/05/2014 15.00,"2,7","5,8","8,9","11,0"
03/05/2014 16.00,"2,5","5,3","7,9","11,0"
03/05/2014 17.00,"2,6","6,7","9,2","11,0"
03/05/2014 18.00,"2,5","7,3","9,7","11,0"
03/05/2014 19.00,"2,1","8,6","11,5","11,0"
03/05/2014 20.00,"2,2","14,3","17,4","11,0"
03/05/2014 21.00,"2,1","15,9","19,2","11,0"
03/05/2014 22.00,"2,4","8,8","12,2","11,0"
03/05/2014 23.00,"1,9","8,5","12,3","11,0"
04/05/2014 0.00,"2,2","6,9","11,4","11,0"
04/05/2014 1.00,,"7,6","12,3","5,2"
04/05/2014 2.00,"1,7",,,"5,2"
04/05/2014 3.00,"2,2","7,2","12,3","5,2"
04/05/2014 4.00,"2,7","6,4","11,7","5,2"
04/05/2014 5.00,"2,2","5,2","10,5","5,2"
04/05/2014 6.00,"2,3","7,3","13,0","5,2"
04/05/2014 7.00,"2,5","7,9","13,9","5,2"
04/05/2014 8.00,"2,2","5,7","11,3","5,2"
04/05/2014 9.00,"1,6","4,4","9,5","5,2"
04/05/2014 10.00,"1,5","5,5","9,5","5,2"
04/05/2014 11.00,"1,5","5,1","8,1","5,2"
04/05/2014 12.00,"1,4","5,8","9,3","5,2"
04/05/2014 13.00,"0,9","4,8","7,6","5,2"
04/05/2014 14.00,"1,9","5,1","7,2","5,2"
04/05/2014 15.00,"2,6","5,3","8,0","5,2"
04/05/2014 16.00,"2,3","4,6","8,1","5,2"
04/05/2014 17.00,"2,0","4,8","8,9","5,2"
04/05/2014 18.00,"2,1","6,1","10,6","5,2"
04/05/2014 19.00,"2,7","7,2","11,6","5,2"
04/05/2014 20.00,"2,8","6,2","10,1","5,2"
04/05/2014 21.00,"3,2","6,0","9,9","5,2"
04/05/2014 22.00,"3,1","5,3","9,3","5,2"
04/05/2014 23.00,"2,4","5,6","9,9","5,2"
05/05/2014 0.00,"1,8","5,4","9,8","5,2"
05/05/2014 1.00,"2,0","4,5","9,1","11,0"
05/05/2014 2.00,"2,3","5,3","9,8","11,0"
05/05/2014 3.00,"2,7","4,9","10,0","11,0"
05/05/2014 4.00,"3,2","4,5","10,0","11,0"
05/05/2014 5.00,"3,1","5,8","11,2","11,0"
05/05/2014 6.00,"2,8","11,5","17,1","11,0"
05/05/2014 7.00,"2,8","11,5","17,5","11,0"
05/05/2014 8.00,"2,8","13,8","21,1","11,0"
05/05/2014 9.00,"2,4","6,5","11,9","11,0"
05/05/2014 10.00,"2,9","6,0","10,6","11,0"
05/05/2014 11.00,"2,5","5,8","9,9","11,0"
05/05/2014 12.00,"2,6","6,0","9,1","11,0"
05/05/2014 13.00,"3,4","6,1","8,6","11,0"
05/05/2014 14.00,"2,4","5,0","6,7","11,0"
05/05/2014 15.00,"2,6","5,3","6,9","11,0"
05/05/2014 16.00,"2,6","5,8","7,4","11,0"
05/05/2014 17.00,"2,7","6,0","8,9","11,0"
05/05/2014 18.00,"2,6","6,0","9,8","11,0"
05/05/2014 19.00,"3,2","6,0","9,9","11,0"
05/05/2014 20.00,"3,8","7,9","12,1","11,0"
05/05/2014 21.00,"3,5","7,7","11,5","11,0"
05/05/2014 22.00,"4,1","6,1","9,8","11,0"
05/05/2014 23.00,"3,7","6,4","10,0","11,0"
06/05/2014 0.00,"3,5","7,7","12,0","11,0"
06/05/2014 1.00,,"6,2","10,8","20,5"
06/05/2014 2.00,"3,9",,,"20,5"
06/05/2014 3.00,"4,1","4,7","9,2","20,5"
06/05/2014 4.00,"3,6","4,6","9,1","20,5"
06/05/2014 5.00,"3,3","4,8","9,2","20,5"
06/05/2014 6.00,"3,3","6,9","11,6","20,5"
06/05/2014 7.00,"2,7","7,9","12,7","20,5"
06/05/2014 8.00,"2,9","8,6","13,8","20,5"
06/05/2014 9.00,"2,9","8,2","13,0","20,5"
06/05/2014 10.00,"2,4","6,9","10,5","20,5"
06/05/2014 11.00,"2,8","7,5","10,7","20,5"
06/05/2014 12.00,"2,4","6,9","9,4","20,5"
06/05/2014 13.00,"2,7","6,1","8,5","20,5"
06/05/2014 14.00,"3,0","5,8","8,4","20,5"
06/05/2014 15.00,"2,5","6,7","9,8","20,5"
06/05/2014 16.00,"2,6","6,4","8,8","20,5"
06/05/2014 17.00,"3,0","6,3","8,8","20,5"
06/05/2014 18.00,"2,2","7,4","9,8","20,5"
06/05/2014 19.00,"3,3","8,7","10,9","20,5"
06/05/2014 20.00,"2,8","18,6","21,5","20,5"
06/05/2014 21.00,"2,4","18,0","20,5","20,5"
06/05/2014 22.00,"3,0","34,0","37,5","20,5"
06/05/2014 23.00,"2,9","45,2","51,3","20,5"
07/05/2014 0.00,"2,4","18,0","21,9","20,5"
07/05/2014 1.00,"2,9","20,4","24,7","20,1"
07/05/2014 2.00,"2,6","15,6","21,0","20,1"
07/05/2014 3.00,"2,4","11,4","16,7","20,1"
07/05/2014 4.00,"3,1","8,1","13,2","20,1"
07/05/2014 5.00,"2,8","10,0","15,0","20,1"
07/05/2014 6.00,"2,6","16,2","21,9","20,1"
07/05/2014 7.00,"2,5","26,6","34,8","20,1"
07/05/2014 8.00,"3,1","23,1","30,2","20,1"
07/05/2014 9.00,"2,1","9,9","14,2","20,1"
07/05/2014 10.00,"1,7","8,5","11,9","20,1"
07/05/2014 11.00,"2,0","6,7","9,9","20,1"
07/05/2014 12.00,"2,5","5,3","8,6","20,1"
07/05/2014 13.00,"2,5","6,6","11,1","20,1"
07/05/2014 14.00,"2,0","4,8","9,4","20,1"
07/05/2014 15.00,"2,4","4,9","9,6","20,1"
07/05/2014 16.00,"1,6","5,2","9,2","20,1"
07/05/2014 17.00,"2,1","6,1","8,7","20,1"
07/05/2014 18.00,"2,1","8,3","10,6","20,1"
07/05/2014 19.00,"2,0","11,1","13,1","20,1"
07/05/2014 20.00,"2,6","18,7","20,6","20,1"
07/05/2014 21.00,"2,9","18,1","19,9","20,1"
07/05/2014 22.00,"2,6","12,4","14,7","20,1"
07/05/2014 23.00,"2,8","8,8","11,2","20,1"
08/05/2014 0.00,"3,5","5,2","8,2","20,1"
08/05/2014 1.00,,"4,2","7,3","16,0"
08/05/2014 2.00,"3,9",,,"16,0"
08/05/2014 3.00,"3,5","3,7","7,5","16,0"
08/05/2014 4.00,"3,4","4,5","8,5","16,0"
08/05/2014 5.00,"3,2","6,5","10,9","16,0"
08/05/2014 6.00,"2,9","9,9","14,4","16,0"
08/05/2014 7.00,"2,9","12,2","16,8","16,0"
08/05/2014 8.00,"2,7","8,8","13,1","16,0"
08/05/2014 9.00,"2,0","9,3","13,1","16,0"
08/05/2014 10.00,"1,6","8,0","10,8","16,0"
08/05/2014 11.00,"2,0","9,0","12,0","16,0"
08/05/2014 12.00,"2,3","9,2","12,7","16,0"
08/05/2014 13.00,"2,3","7,3","11,2","16,0"
08/05/2014 14.00,"1,6","8,0","13,1","16,0"
08/05/2014 15.00,"1,9","8,0","13,0","16,0"
08/05/2014 16.00,"2,2","7,9","11,1","16,0"
08/05/2014 17.00,"2,1","7,4","10,2","16,0"
08/05/2014 18.00,"1,6","6,9","9,6","16,0"
08/05/2014 19.00,"1,8","7,9","10,6","16,0"
08/05/2014 20.00,"2,4","9,0","12,0","16,0"
08/05/2014 21.00,"2,2","11,8","14,7","16,0"
08/05/2014 22.00,"2,3","6,8","9,6","16,0"
08/05/2014 23.00,"1,6","7,7","11,2","16,0"
09/05/2014 0.00,"1,8","7,5","11,4","16,0"
09/05/2014 1.00,"1,9","5,7","9,8","11,0"
09/05/2014 2.00,"2,0","3,8","8,0","11,0"
09/05/2014 3.00,"1,8","3,9","8,5","11,0"
09/05/2014 4.00,"1,8","3,8","8,6","11,0"
09/05/2014 5.00,"2,2","4,2","9,0","11,0"
09/05/2014 6.00,"2,3","6,2","10,8","11,0"
09/05/2014 7.00,"1,6","8,4","13,3","11,0"
09/05/2014 8.00,"2,4","7,6","12,3","11,0"
09/05/2014 9.00,"2,2","7,4","12,3","11,0"
09/05/2014 10.00,"2,3","7,7","11,8","11,0"
09/05/2014 11.00,"1,7","6,8","10,5","11,0"
09/05/2014 12.00,"2,0","6,5","10,0","11,0"
09/05/2014 13.00,"2,4","6,6","9,4","11,0"
09/05/2014 14.00,"2,3","5,6","8,3","11,0"
09/05/2014 15.00,"1,8","5,4","8,1","11,0"
09/05/2014 16.00,"2,4","5,6","7,5","11,0"
09/05/2014 17.00,"2,8","6,3","8,7","11,0"
09/05/2014 18.00,"2,0","9,7","13,1","11,0"
09/05/2014 19.00,"2,2","8,2","11,0","11,0"
09/05/2014 20.00,"1,9","13,5","16,0","11,0"
09/05/2014 21.00,"2,1","19,4","22,0","11,0"
09/05/2014 22.00,"2,0","10,9","13,3","11,0"
09/05/2014 23.00,"2,4","11,3","14,2","11,0"
10/05/2014 0.00,"2,6","8,9","12,5","11,0"
10/05/2014 1.00,,"10,0","14,3","9,3"
10/05/2014 2.00,"3,2",,,"9,3"
10/05/2014 3.00,"2,9","5,4","9,9","9,3"
10/05/2014 4.00,"2,5","6,2","10,9","9,3"
10/05/2014 5.00,"2,8","7,9","12,7","9,3"
10/05/2014 6.00,"3,0","12,2","17,6","9,3"
10/05/2014 7.00,"2,3","18,1","23,8","9,3"
10/05/2014 8.00,"2,3","17,9","24,0","9,3"
10/05/2014 9.00,"2,5","10,3","14,8","9,3"
10/05/2014 10.00,"2,2","6,9","10,2","9,3"
10/05/2014 11.00,"1,8","6,5","9,2","9,3"
10/05/2014 12.00,"3,1","6,4","9,6","9,3"
10/05/2014 13.00,"3,5","7,3","12,9","9,3"
10/05/2014 14.00,"4,0","5,5","11,0","9,3"
10/05/2014 15.00,"3,6","5,9","11,3","9,3"
10/05/2014 16.00,"3,0","5,8","10,9","9,3"
10/05/2014 17.00,"2,4","7,0","11,0","9,3"
10/05/2014 18.00,"2,9","9,0","12,1","9,3"
10/05/2014 19.00,"2,6","8,7","11,1","9,3"
10/05/2014 20.00,"3,0","23,9","26,3","9,3"
10/05/2014 21.00,"3,1","40,7","44,0","9,3"
10/05/2014 22.00,"2,9","44,4","47,6","9,3"
10/05/2014 23.00,"3,0","47,8","51,9","9,3"
11/05/2014 0.00,"2,8","28,6","32,2","9,3"
11/05/2014 1.00,"2,9","23,2","27,5","14,2"
11/05/2014 2.00,"2,6","18,5","22,0","14,2"
11/05/2014 3.00,"2,3","14,8","18,2","14,2"
11/05/2014 4.00,"2,9","10,1","13,5","14,2"
11/05/2014 5.00,"2,0","10,9","14,4","14,2"
11/05/2014 6.00,"2,5","15,2","19,5","14,2"
11/05/2014 7.00,"1,6","12,8","17,3","14,2"
11/05/2014 8.00,"2,2","10,3","14,0","14,2"
11/05/2014 9.00,"1,8","8,2","11,3","14,2"
11/05/2014 10.00,"2,2","7,4","9,8","14,2"
11/05/2014 11.00,"1,9","5,9","8,3","14,2"
11/05/2014 12.00,"2,2","6,5","9,7","14,2"
11/05/2014 13.00,"1,9","5,9","10,1","14,2"
11/05/2014 14.00,"2,2","3,9","8,1","14,2"
11/05/2014 15.00,"1,8","3,9","8,7","14,2"
11/05/2014 16.00,"2,5","4,2","9,2","14,2"
11/05/2014 17.00,"2,5","4,7","9,4","14,2"
11/05/2014 18.00,"2,3","5,0","8,3","14,2"
11/05/2014 19.00,"1,5","6,5","9,0","14,2"
11/05/2014 20.00,"1,5","6,8","9,0","14,2"
11/05/2014 21.00,"1,8","7,9","9,6","14,2"
11/05/2014 22.00,"2,0","8,0","9,7","14,2"
11/05/2014 23.00,"2,1","5,5","7,8","14,2"
12/05/2014 0.00,"1,8","4,7","7,3","14,2"
12/05/2014 1.00,,"3,9","7,0","25,7"
12/05/2014 2.00,"2,9",,,"25,7"
12/05/2014 3.00,"2,0","3,9","7,4","25,7"
12/05/2014 4.00,"2,5","3,6","6,8","25,7"
12/05/2014 5.00,"1,8","4,3","7,5","25,7"
12/05/2014 6.00,"1,6","6,4","9,9","25,7"
12/05/2014 7.00,"2,2","7,7","11,5","25,7"
12/05/2014 8.00,"1,6","11,1","15,4","25,7"
12/05/2014 9.00,"1,4","11,0","14,9","25,7"
12/05/2014 10.00,"1,1","10,9","15,1","25,7"
12/05/2014 11.00,"1,2","5,1","8,7","25,7"
12/05/2014 12.00,"1,2","5,4","9,2","25,7"
12/05/2014 13.00,"0,9","10,4","15,2","25,7"
12/05/2014 14.00,"0,9","10,5","15,7","25,7"
12/05/2014 15.00,"1,0","6,8","11,0","25,7"
12/05/2014 16.00,"0,7","6,8","10,7","25,7"
12/05/2014 17.00,"1,0","6,6","10,3","25,7"
12/05/2014 18.00,"1,2","7,0","10,4","25,7"
12/05/2014 19.00,"1,1","7,9","10,9","25,7"
12/05/2014 20.00,"0,9","10,8","14,1","25,7"
12/05/2014 21.00,"1,4","11,7","14,3","25,7"
12/05/2014 22.00,"2,0","9,1","11,4","25,7"
12/05/2014 23.00,"1,9","6,6","9,1","25,7"
13/05/2014 0.00,"1,8","3,7","6,8","25,7"
13/05/2014 1.00,"1,4","3,7","7,1","22,9"
13/05/2014 2.00,"1,3","3,6","7,3","22,9"
13/05/2014 3.00,"1,2","3,8","7,2","22,9"
13/05/2014 4.00,"1,5","4,5","7,8","22,9"
13/05/2014 5.00,"1,7","6,8","10,1","22,9"
13/05/2014 6.00,"1,2","11,0","14,7","22,9"
13/05/2014 7.00,"1,8","16,5","21,5","22,9"
13/05/2014 8.00,"1,2","20,5","27,4","22,9"
13/05/2014 9.00,"1,0","13,8","18,9","22,9"
13/05/2014 10.00,"1,0","9,5","13,0","22,9"
13/05/2014 11.00,"0,6","7,3","10,0","22,9"
13/05/2014 12.00,"0,8","8,0","10,5","22,9"
13/05/2014 13.00,"0,5","7,2","9,6","22,9"
13/05/2014 14.00,"1,6","8,9","11,5","22,9"
13/05/2014 15.00,"1,5","7,5","10,5","22,9"
13/05/2014 16.00,"1,4","10,3","13,7","22,9"
13/05/2014 17.00,"1,3","18,5","22,2","22,9"
13/05/2014 18.00,"1,5","13,4","17,2","22,9"
13/05/2014 19.00,"1,5","10,9","14,3","22,9"
13/05/2014 20.00,"1,2","12,5","15,8","22,9"
13/05/2014 21.00,"1,6","11,2","13,9","22,9"
13/05/2014 22.00,"1,6","8,5","11,4","22,9"
13/05/2014 23.00,"1,1","5,8","9,0","22,9"
14/05/2014 0.00,"1,1","6,0","9,2","22,9"
14/05/2014 1.00,,"6,0","9,6","11,1"
14/05/2014 2.00,"0,7",,,"11,1"
14/05/2014 3.00,"1,1","4,9","8,6","11,1"
14/05/2014 4.00,"1,0","4,7","8,5","11,1"
14/05/2014 5.00,"1,2","5,2","9,0","11,1"
14/05/2014 6.00,"1,1","7,0","11,4","11,1"
14/05/2014 7.00,"1,1","9,4","14,3","11,1"
14/05/2014 8.00,"1,0","8,7","13,6","11,1"
14/05/2014 9.00,"0,6","7,4","11,5","11,1"
14/05/2014 10.00,"0,3","6,6","10,1","11,1"
14/05/2014 11.00,,,,"11,1"
14/05/2014 12.00,,"6,6","19,8","11,1"
14/05/2014 13.00,"1,3","6,2","11,0","11,1"
14/05/2014 14.00,"1,5","5,0","8,1","11,1"
14/05/2014 15.00,"1,9","4,9","7,3","11,1"
14/05/2014 16.00,"2,1","5,0","7,2","11,1"
14/05/2014 17.00,"2,3","4,7","7,4","11,1"
14/05/2014 18.00,"2,5","5,2","8,0","11,1"
14/05/2014 19.00,"2,3","4,8","7,6","11,1"
14/05/2014 20.00,"2,1","5,6","8,2","11,1"
14/05/2014 21.00,"2,9","5,1","7,2","11,1"
14/05/2014 22.00,"2,7","4,5","7,0","11,1"
14/05/2014 23.00,"3,1","4,1","7,0","11,1"
15/05/2014 0.00,"3,4","3,9","6,5","11,1"
15/05/2014 1.00,"3,5","3,9","6,2","11,5"
15/05/2014 2.00,"3,0","3,9","6,7","11,5"
15/05/2014 3.00,"3,0","3,9","6,5","11,5"
15/05/2014 4.00,"3,7","3,7","6,4","11,5"
15/05/2014 5.00,"3,9","4,1","7,3","11,5"
15/05/2014 6.00,"4,3","6,3","9,9","11,5"
15/05/2014 7.00,"4,0","8,1","12,4","11,5"
15/05/2014 8.00,"3,3","6,3","11,4","11,5"
15/05/2014 9.00,"4,5","6,7","12,6","11,5"
15/05/2014 10.00,"5,8","6,8","12,6","11,5"
15/05/2014 11.00,"4,3","5,2","10,3","11,5"
15/05/2014 12.00,"5,1","6,3","10,4","11,5"
15/05/2014 13.00,"5,0","5,1","7,7","11,5"
15/05/2014 14.00,"4,6","4,9","7,1","11,5"
15/05/2014 15.00,"4,9","4,5","7,1","11,5"
15/05/2014 16.00,"4,9","5,3","8,5","11,5"
15/05/2014 17.00,"4,8","5,2","9,2","11,5"
15/05/2014 18.00,"5,0","5,9","10,2","11,5"
15/05/2014 19.00,"4,8","5,8","10,4","11,5"
15/05/2014 20.00,"4,8","6,0","10,5","11,5"
15/05/2014 21.00,"4,3","5,6","9,6","11,5"
15/05/2014 22.00,"3,9","5,1","9,3","11,5"
15/05/2014 23.00,"4,2","5,7","10,0","11,5"
16/05/2014 0.00,"4,6","4,9","9,3","11,5"
16/05/2014 1.00,,"4,6","8,9","6,0"
16/05/2014 2.00,"4,5",,,"6,0"
16/05/2014 3.00,"5,1","4,4","9,2","6,0"
16/05/2014 4.00,"4,6","4,8","9,8","6,0"
16/05/2014 5.00,"4,9","6,7","11,9","6,0"
16/05/2014 6.00,"5,1","7,7","13,2","6,0"
16/05/2014 7.00,"5,2","12,1","18,4","6,0"
16/05/2014 8.00,"4,9","12,2","18,7","6,0"
16/05/2014 9.00,"5,2","10,1","15,9","6,0"
16/05/2014 10.00,"4,6","8,9","13,9","6,0"
16/05/2014 11.00,"4,0","7,7","12,0","6,0"
16/05/2014 12.00,"4,3","9,0","12,9","6,0"
16/05/2014 13.00,"5,8","8,8","13,4","6,0"
16/05/2014 14.00,"5,6","7,0","11,4","6,0"
16/05/2014 15.00,"5,1","9,8","14,3","6,0"
16/05/2014 16.00,"5,0","9,2","13,9","6,0"
16/05/2014 17.00,"4,8","13,6","18,7","6,0"
16/05/2014 18.00,"5,5","12,3","17,4","6,0"
16/05/2014 19.00,"5,9","12,6","17,2","6,0"
16/05/2014 20.00,"5,2","20,8","26,6","6,0"
16/05/2014 21.00,"5,5","20,1","25,5","6,0"
16/05/2014 22.00,"5,0","14,0","19,1","6,0"
16/05/2014 23.00,"4,8","9,6","13,9","6,0"
17/05/2014 0.00,"4,7","10,1","14,9","6,0"
17/05/2014 1.00,"5,2","7,0","11,8","10,1"
17/05/2014 2.00,"4,4","6,2","10,9","10,1"
17/05/2014 3.00,"4,1","5,8","11,0","10,1"
17/05/2014 4.00,"4,5","6,1","11,6","10,1"
17/05/2014 5.00,"3,7","7,3","13,3","10,1"
17/05/2014 6.00,"4,3","11,3","18,1","10,1"
17/05/2014 7.00,"4,3","13,8","21,7","10,1"
17/05/2014 8.00,"4,0","8,4","14,6","10,1"
17/05/2014 9.00,"3,5","7,5","13,1","10,1"
17/05/2014 10.00,"3,5","7,2","11,9","10,1"
17/05/2014 11.00,"3,8","10,9","16,1","10,1"
17/05/2014 12.00,"3,8","7,1","11,8","10,1"
17/05/2014 13.00,"3,6","13,2","17,2","10,1"
17/05/2014 14.00,"3,8","8,6","12,1","10,1"
17/05/2014 15.00,"4,6","7,8","12,0","10,1"
17/05/2014 16.00,"4,6","10,9","14,6","10,1"
17/05/2014 17.00,"3,9","10,0","13,7","10,1"
17/05/2014 18.00,"4,5","12,0","15,7","10,1"
17/05/2014 19.00,"5,2","18,5","22,8","10,1"
17/05/2014 20.00,"4,3","21,7","26,1","10,1"
17/05/2014 21.00,"4,8","25,8","30,1","10,1"
17/05/2014 22.00,"4,6","22,2","26,7","10,1"
17/05/2014 23.00,"4,4","15,2","19,7","10,1"
18/05/2014 0.00,"4,6","13,4","17,9","10,1"
18/05/2014 1.00,,"14,5","19,2","10,4"
18/05/2014 2.00,"3,7",,,"10,4"
18/05/2014 3.00,"3,6","9,5","14,7","10,4"
18/05/2014 4.00,"4,0","10,4","15,9","10,4"
18/05/2014 5.00,"3,1","10,7","16,3","10,4"
18/05/2014 6.00,"4,3","10,5","16,3","10,4"
18/05/2014 7.00,"4,0","11,2","17,7","10,4"
18/05/2014 8.00,"2,9","7,0","12,4","10,4"
18/05/2014 9.00,"2,2","5,4","10,2","10,4"
18/05/2014 10.00,"2,0","5,4","9,3","10,4"
18/05/2014 11.00,"1,8","5,4","8,1","10,4"
18/05/2014 12.00,"2,0","5,6","7,9","10,4"
18/05/2014 13.00,"1,4","4,5","7,1","10,4"
18/05/2014 14.00,"1,0","3,4","6,8","10,4"
18/05/2014 15.00,"2,0","3,8","7,9","10,4"
18/05/2014 16.00,"2,0","3,8","7,2","10,4"
18/05/2014 17.00,"1,5","4,1","7,3","10,4"
18/05/2014 18.00,"1,9","4,6","7,6","10,4"
18/05/2014 19.00,"1,5","7,1","10,0","10,4"
18/05/2014 20.00,"1,3","7,8","10,8","10,4"
18/05/2014 21.00,"1,6","10,8","13,7","10,4"
18/05/2014 22.00,"2,3","10,7","13,9","10,4"
18/05/2014 23.00,"1,9","9,6","13,1","10,4"
19/05/2014 0.00,"2,3","8,5","11,8","10,4"
19/05/2014 1.00,"1,7","6,5","10,2","13,1"
19/05/2014 2.00,"2,2","7,7","12,0","13,1"
19/05/2014 3.00,"1,9","6,4","10,9","13,1"
19/05/2014 4.00,"1,8","5,4","10,2","13,1"
19/05/2014 5.00,"1,8","12,4","18,8","13,1"
19/05/2014 6.00,"3,0","24,5","34,7","13,1"
19/05/2014 7.00,"2,9","18,8","25,9","13,1"
19/05/2014 8.00,"2,1","18,9","24,7","13,1"
19/05/2014 9.00,"2,1","12,7","17,4","13,1"
19/05/2014 10.00,"1,4","9,2","12,7","13,1"
19/05/2014 11.00,"1,5","7,7","11,1","13,1"
19/05/2014 12.00,"1,1","7,4","12,7","13,1"
19/05/2014 13.00,"0,9","7,9","20,8","13,1"
19/05/2014 14.00,"2,3","6,9","25,1","13,1"
19/05/2014 15.00,"2,4","9,6","35,3","13,1"
19/05/2014 16.00,"1,3","10,9","35,6","13,1"
19/05/2014 17.00,"1,9","11,1","28,5","13,1"
19/05/2014 18.00,"1,4","13,7","26,5","13,1"
19/05/2014 19.00,"1,8","15,6","24,9","13,1"
19/05/2014 20.00,"2,0","12,8","19,8","13,1"
19/05/2014 21.00,"2,1","12,5","18,3","13,1"
19/05/2014 22.00,"2,5","8,3","13,4","13,1"
19/05/2014 23.00,"2,7","6,7","11,5","13,1"
20/05/2014 0.00,"2,5","6,4","11,4","13,1"
20/05/2014 1.00,,"5,5","10,8","12,3"
20/05/2014 2.00,"2,6",,,"12,3"
20/05/2014 3.00,"2,6","4,0","9,5","12,3"
20/05/2014 4.00,"2,9","4,9","10,0","12,3"
20/05/2014 5.00,"2,8","9,5","15,0","12,3"
20/05/2014 6.00,"3,0","13,3","19,3","12,3"
20/05/2014 7.00,"2,9","18,5","26,1","12,3"
20/05/2014 8.00,"2,2","23,0","30,2","12,3"
20/05/2014 9.00,"1,8","13,9","20,2","12,3"
20/05/2014 10.00,"1,7","10,1","15,8","12,3"
20/05/2014 11.00,"2,1","9,1","14,2","12,3"
20/05/2014 12.00,"2,4","8,0","12,9","12,3"
20/05/2014 13.00,"3,1","6,0","11,7","12,3"
20/05/2014 14.00,"3,3","7,0","13,8","12,3"
20/05/2014 15.00,"3,1","5,3","12,2","12,3"
20/05/2014 16.00,"2,2","5,8","11,8","12,3"
20/05/2014 17.00,"2,4","6,0","11,2","12,3"
20/05/2014 18.00,"2,1","6,0","11,3","12,3"
20/05/2014 19.00,"2,3","7,0","11,9","12,3"
20/05/2014 20.00,"1,9","12,0","16,5","12,3"
20/05/2014 21.00,"2,0","20,3","24,6","12,3"
20/05/2014 22.00,"2,9","16,0","20,0","12,3"
20/05/2014 23.00,"2,2","15,9","20,1","12,3"
21/05/2014 0.00,"2,9","9,8","14,1","12,3"
21/05/2014 1.00,"2,2","8,3","13,0","8,5"
21/05/2014 2.00,"2,0","8,3","13,7","8,5"
21/05/2014 3.00,"2,4","7,9","13,4","8,5"
21/05/2014 4.00,"2,3","6,6","12,3","8,5"
21/05/2014 5.00,"2,1","7,6","13,5","8,5"
21/05/2014 6.00,"2,6","16,5","23,5","8,5"
21/05/2014 7.00,"2,6","20,4","28,7","8,5"
21/05/2014 8.00,"2,2","17,6","25,3","8,5"
21/05/2014 9.00,"2,5","12,4","18,9","8,5"
21/05/2014 10.00,"2,0","7,4","12,3","8,5"
21/05/2014 11.00,"2,6","5,8","10,4","8,5"
21/05/2014 12.00,"2,9","6,0","18,7","8,5"
21/05/2014 13.00,,,,"8,5"
21/05/2014 14.00,,,,"8,5"
21/05/2014 15.00,,,,"8,5"
21/05/2014 16.00,,,,"8,5"
21/05/2014 17.00,,,,"8,5"
21/05/2014 18.00,,,,"8,5"
21/05/2014 19.00,,,,"8,5"
21/05/2014 20.00,,,,"8,5"
21/05/2014 21.00,,,,"8,5"
21/05/2014 22.00,,,,"8,5"
21/05/2014 23.00,,,,"8,5"
22/05/2014 0.00,,,,"8,5"
22/05/2014 1.00,,,,"12,5"
22/05/2014 2.00,,,,"12,5"
22/05/2014 3.00,,,,"12,5"
22/05/2014 4.00,,,,"12,5"
22/05/2014 5.00,,,,"12,5"
22/05/2014 6.00,,,,"12,5"
22/05/2014 7.00,,,,"12,5"
22/05/2014 8.00,,,,"12,5"
22/05/2014 9.00,,,,"12,5"
22/05/2014 10.00,,,,"12,5"
22/05/2014 11.00,,,,"12,5"
22/05/2014 12.00,,,,"12,5"
22/05/2014 13.00,,,,"12,5"
22/05/2014 14.00,,,,"12,5"
22/05/2014 15.00,,,,"12,5"
22/05/2014 16.00,,,,"12,5"
22/05/2014 17.00,,,,"12,5"
22/05/2014 18.00,,,,"12,5"
22/05/2014 19.00,,,,"12,5"
22/05/2014 20.00,,,,"12,5"
22/05/2014 21.00,,,,"12,5"
22/05/2014 22.00,,,,"12,5"
22/05/2014 23.00,,,,"12,5"
23/05/2014 0.00,,,,"12,5"
23/05/2014 1.00,,,,"14,1"
23/05/2014 2.00,,,,"14,1"
23/05/2014 3.00,,,,"14,1"
23/05/2014 4.00,,,,"14,1"
23/05/2014 5.00,,,,"14,1"
23/05/2014 6.00,,,,"14,1"
23/05/2014 7.00,,,,"14,1"
23/05/2014 8.00,,,,"14,1"
23/05/2014 9.00,,,,"14,1"
23/05/2014 10.00,,,,"14,1"
23/05/2014 11.00,,,,"14,1"
23/05/2014 12.00,,,,"14,1"
23/05/2014 13.00,,,,"14,1"
23/05/2014 14.00,,,,"14,1"
23/05/2014 15.00,,,,"14,1"
23/05/2014 16.00,,,,"14,1"
23/05/2014 17.00,,,,"14,1"
23/05/2014 18.00,,,,"14,1"
23/05/2014 19.00,,,,"14,1"
23/05/2014 20.00,,,,"14,1"
23/05/2014 21.00,,,,"14,1"
23/05/2014 22.00,,,,"14,1"
23/05/2014 23.00,,,,"14,1"
24/05/2014 0.00,,,,"14,1"
24/05/2014 1.00,,,,"22,1"
24/05/2014 2.00,,,,"22,1"
24/05/2014 3.00,,,,"22,1"
24/05/2014 4.00,,,,"22,1"
24/05/2014 5.00,,,,"22,1"
24/05/2014 6.00,,,,"22,1"
